DLL Path: C:\Windows\System32\BootMenuUX.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CreateAdvancedOptionsButton                                                                          0x5ed8cc77                                         
CreateAdvancedRecoveryToolsButtonCollection                                                          0xe6f5abd7                                         
CreateAdvancedStartupButton                                                                          0x73ec5f3e                                         
CreateAdvancedStartupLaunchPage                                                                      0x563e1bda                                         
CreateBareMetalRecoveryButton                                                                        0xe9866d71                                         
CreateBasicResetFinalChecksPage                                                                      0x07f00076                                         
CreateBasicResetLandingPage                                                                          0x57551fb8                                         
CreateBasicSystemResetButton                                                                         0x9237185f                                         
CreateBasicSystemResetLaunchPage                                                                     0x9f927d7b                                         
CreateBitlockerLandingPage                                                                           0x1b359bb2                                         
CreateBlackWallpaperButton                                                                           0x1b2b2b1a                                         
CreateBootableDeviceButtonCollection                                                                 0x2f601c39                                         
CreateBootableOSButtonCollection                                                                     0xa9619c0b                                         
CreateCSRTFinalPage                                                                                  0xddf5d59c                                         
CreateClearWallpaperPage                                                                             0xd5332925                                         
CreateCloudRecoveryButton                                                                            0x840f185b                                         
CreateDefaultOSButton                                                                                0xb31d7e1c                                         
CreateDefaultOSButtonCollection                                                                      0xdba12748                                         
CreateDefaultOSListButton                                                                            0x41c1d5d8                                         
CreateDeviceListButton                                                                               0x7c55ff21                                         
CreateDirectFactoryResetButton                                                                       0x0c80d12b                                         
CreateDownloadCloudPBRConfirmButton                                                                  0xe346f736                                         
CreateFactoryResetFinalChecksPage                                                                    0xbc8c7f8c                                         
CreateFactoryResetLandingPage                                                                        0x9ad183ce                                         
CreateFactorySystemResetButton                                                                       0x453fff35                                         
CreateFactorySystemResetLaunchPage                                                                   0xe7bedf51                                         
CreateFirmwareSettingsButton                                                                         0xf9d12d83                                         
CreateFiveMinuteTimeoutAction                                                                        0xfd7237fa                                         
CreateFiveSecondTimeoutAction                                                                        0xc2afaf84                                         
CreateFlightRemovalConfirmButton                                                                     0x74358557                                         
CreateFlightRemovalProgressPage                                                                      0xb9a9599f                                         
CreateKeyboardLayoutButtonCollection                                                                 0x20671c70                                         
CreateLanguageButtonCollection                                                                       0xd7656b05                                         
CreateOSListButton                                                                                   0xe3e1bd73                                         
CreateOneMinuteTimeoutAction                                                                         0x02017bb2                                         
CreatePBRCancelButton                                                                                0x0368c4ff                                         
CreatePBRFactoryResetKeepPackagesButton                                                              0x461de2f8                                         
CreatePBRFactoryResetNotKeepPackagesButton                                                           0x759e58c9                                         
CreatePBRFinalPage                                                                                   0xa4124744                                         
CreatePBRResetButtonCollection                                                                       0x0f249b48                                         
CreatePBRResetPage                                                                                   0xf3a8d61d                                         
CreatePBRUsePayloadButton                                                                            0xf19e4170                                         
CreatePBRUseReconstructionButton                                                                     0xf6ed6968                                         
CreatePBRfactoryResetAllVolumesButton                                                                0xff98fbd8                                         
CreatePBRfactoryResetBareMetalDisabled                                                               0x37fb8b7d                                         
CreatePBRfactoryResetBareMetalEnabled                                                                0x781910d0                                         
CreatePBRfactoryResetCancelOperationButton                                                           0xaaaec3ab                                         
CreatePBRfactoryResetContinueChecksButton                                                            0x35ae3f6a                                         
CreatePBRfactoryResetDataEraseDisabled                                                               0xec165fda                                         
CreatePBRfactoryResetDataEraseEnabled                                                                0x75cc4d8d                                         
CreatePBRfactoryResetOsOnlyButton                                                                    0x54ad4078                                         
CreatePasswordButton                                                                                 0x2554f348                                         
CreatePasswordPage                                                                                   0x29339c49                                         
CreatePayloadWiFiNetworksCollection                                                                  0xf8e9951b                                         
CreateRecoveryToolsListButton                                                                        0xa6792311                                         
CreateRestartButton                                                                                  0xc59e4a9a                                         
CreateSelectOSPage                                                                                   0x0f4ec318                                         
CreateSetWallpaperPage                                                                               0x9d6fd84a                                         
CreateShutdownButton                                                                                 0x3c391531                                         
CreateSkippableSelectOSPage                                                                          0xd3ea3713                                         
CreateTenSecondTimeoutAction                                                                         0x58883b41                                         
CreateThirtySecondTimeoutAction                                                                      0x3340b81e                                         
CreateTopLevelRecoveryToolsButtonCollection                                                          0xcf6e840c                                         
CreateTopLevelRecoveryToolsPage                                                                      0x2eac78e1                                         
CreateUninstallPage                                                                                  0xd25e0c10                                         
CreateUninstallQualityUpdateConfirmButton                                                            0xb0bbb389                                         
CreateUninstallToolsButtonCollection                                                                 0xba89d68c                                         
CreateUserNameButtonCollection                                                                       0x1f6ca261                                         
CreateUserSelectionPage                                                                              0xb94e30db                                         
CreateWiFiConnectButton                                                                              0xcba4ad8e                                         
CreateWiFiInitPage                                                                                   0x935d8459                                         
CreateWiFiNetworkButtonCollection                                                                    0xd6e4421a                                         
CreateWinReSkipPage                                                                                  0xcdc79f72                                         
CreateWinReTargetOSButtonCollection                                                                  0x5f67b34f                                         
CreateWinReTargetOSPage                                                                              0x84c66ba4                                         
CreateZeroSecondTimeoutAction                                                                        0x5182d1da                                         
InitializePasswordDatabase                                                                           0xf0b1b53f                                         
InitializeSRTSyncInterface                                                                           0x19dd053e                                         
InitializeSyncInterface                                                                              0x8293a805                                         
UtilBcdCloseSystemStore                                                                              0xaf811654                                         
UtilGetCurrentKeyboardLayout                                                                         0x259c1e35                                         
