DLL Path: C:\Windows\System32\IumSdk.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AcquireSRWLockExclusive                                                                              0x53260d8c                                         
AcquireSRWLockShared                                                                                 0xf218f3ab                                         
AssignMemoryToSocDomain                                                                              0xf616abe3                                         
AwaitSmc                                                                                             0x2aae123e                                         
CloseHandle                                                                                          0x3870ca07                                         
CloseThreadpoolIo                                                                                    0x6a5ab565                                         
CloseThreadpoolTimer                                                                                 0xe85797ae                                         
CloseThreadpoolWait                                                                                  0x6be52262                                         
CloseThreadpoolWork                                                                                  0x6be55f10                                         
CreateEventW                                                                                         0x5d01f1b2                                         
CreateSecureDevice                                                                                   0x6f9a94f0                                         
CreateSecureSection                                                                                  0xe4451415                                         
CreateSecureSectionSpecifyPages                                                                      0xf1e3b9d8                                         
CreateSemaphoreW                                                                                     0xf8ef4914                                         
CreateThread                                                                                         0x7f08f451                                         
CreateThreadpoolIo                                                                                   0x8f7646c3                                         
CreateThreadpoolTimer                                                                                0x0b49144c                                         
CreateThreadpoolWait                                                                                 0x462a8340                                         
CreateThreadpoolWork                                                                                 0x462abfee                                         
DebugBreak                                                                                           0xd2542b91                                         
DecryptData                                                                                          0xa1883c9a                                         
DecryptISKBoundData                                                                                  0x76854199                                         
DeleteCriticalSection                                                                                0x2d86c378                                         
DmaMapMemory                                                                                         0xa09a876e                                         
DuplicateHandle                                                                                      0xee96b40c                                         
EmitSmc                                                                                              0xc9216257                                         
EncryptData                                                                                          0x4b440c04                                         
EnterCriticalSection                                                                                 0xc06eb743                                         
EventRegister                                                                                        0x88079b4c                                         
EventSetInformation                                                                                  0x674d7f99                                         
EventUnregister                                                                                      0xa3094b8f                                         
EventWrite                                                                                           0x5c5f3952                                         
EventWriteTransfer                                                                                   0x07b90e77                                         
ExitProcess                                                                                          0xb769339e                                         
ExitThread                                                                                           0x7acb5457                                         
FileTimeToSystemTime                                                                                 0x1fb7928b                                         
FlushSecureSectionBuffers                                                                            0x926f4650                                         
FreeLibrary                                                                                          0x30eece3c                                         
FreeLibraryWhenCallbackReturns                                                                       0xffd4b3ae                                         
GetCommandLineW                                                                                      0xb511fc63                                         
GetCurrentProcess                                                                                    0xca8d7527                                         
GetCurrentProcessId                                                                                  0xa3bf64b4                                         
GetCurrentThread                                                                                     0xe03908c0                                         
GetCurrentThreadId                                                                                   0xd29e428d                                         
GetDmaEnabler                                                                                        0x2635f830                                         
GetEnvironmentStringsW                                                                               0x4b44f97b                                         
GetEnvironmentVariableW                                                                              0x87889717                                         
GetExitCodeThread                                                                                    0xb263c852                                         
GetExposedSecureSection                                                                              0xf4273759                                         
GetFipsModeFromIumKernelState                                                                        0x29fea17d                                         
GetLastError                                                                                         0x2082eae3                                         
GetLocalTime                                                                                         0x12d7e0df                                         
GetModuleHandleW                                                                                     0x5a153f6e                                         
GetProcAddress                                                                                       0xcf31bb1f                                         
GetProcessHeap                                                                                       0xc6580d02                                         
GetSecureIdentityKey                                                                                 0x2f8398df                                         
GetSecureIdentitySigningKey                                                                          0x87fa712e                                         
GetSeedFromIumKernelState                                                                            0x63fc7c47                                         
GetSignedReport                                                                                      0x8764f71b                                         
GetStartupInfoW                                                                                      0x348b755b                                         
GetSystemFirmwareTable                                                                               0x650be28f                                         
GetSystemInfo                                                                                        0x8308eff6                                         
GetSystemTime                                                                                        0x830ee3b9                                         
GetSystemTimeAsFileTime                                                                              0x4bbf083c                                         
GetTaggedData                                                                                        0x9ef808ab                                         
GetTaggedDataSize                                                                                    0xf801b866                                         
GetThreadId                                                                                          0x2537b22a                                         
GetThreadPriority                                                                                    0x3a45e99f                                         
GetTickCount                                                                                         0x41ad16b9                                         
GetTickCount64                                                                                       0x614db023                                         
GetTpmBindingInfo                                                                                    0xfd5cabbd                                         
GetTraceEnableFlags                                                                                  0x932f8608                                         
GetTraceEnableLevel                                                                                  0x93989b73                                         
GetTraceLoggerHandle                                                                                 0xaaa4c0c0                                         
