DLL Path: C:\Windows\System32\WinFax.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
FaxAbort                                                                                             0x5d3f6d5c                                         
FaxAccessCheck                                                                                       0x9966a794                                         
FaxClose                                                                                             0x5d691a3a                                         
FaxCompleteJobParamsA                                                                                0x9acb6abd                                         
FaxCompleteJobParamsW                                                                                0x9acb6ad3                                         
FaxConnectFaxServerA                                                                                 0x0090c1a5                                         
FaxConnectFaxServerW                                                                                 0x0090c1bb                                         
FaxEnableRoutingMethodA                                                                              0x76bd8235                                         
FaxEnableRoutingMethodW                                                                              0x76bd824b                                         
FaxEnumGlobalRoutingInfoA                                                                            0x33f6cd9f                                         
FaxEnumGlobalRoutingInfoW                                                                            0x33f6cdb5                                         
FaxEnumJobsA                                                                                         0x4430a428                                         
FaxEnumJobsW                                                                                         0x4430a43e                                         
FaxEnumPortsA                                                                                        0xd84cedf2                                         
FaxEnumPortsW                                                                                        0xd84cee08                                         
FaxEnumRoutingMethodsA                                                                               0x9fd48f96                                         
FaxEnumRoutingMethodsW                                                                               0x9fd48fac                                         
FaxFreeBuffer                                                                                        0x62179780                                         
FaxGetConfigurationA                                                                                 0x678e1ddd                                         
FaxGetConfigurationW                                                                                 0x678e1df3                                         
FaxGetDeviceStatusA                                                                                  0x1615be79                                         
FaxGetDeviceStatusW                                                                                  0x1615be8f                                         
FaxGetJobA                                                                                           0x7ff19dc0                                         
FaxGetJobW                                                                                           0x7ff19dd6                                         
FaxGetLoggingCategoriesA                                                                             0x37012cb2                                         
FaxGetLoggingCategoriesW                                                                             0x37012cc8                                         
FaxGetPageData                                                                                       0x99425b7b                                         
FaxGetPortA                                                                                          0x7e9233aa                                         
FaxGetPortW                                                                                          0x7e9233c0                                         
FaxGetRoutingInfoA                                                                                   0x88f26459                                         
FaxGetRoutingInfoW                                                                                   0x88f2646f                                         
FaxInitializeEventQueue                                                                              0x4cee289d                                         
FaxOpenPort                                                                                          0x0e71e81b                                         
FaxPrintCoverPageA                                                                                   0x293df14e                                         
FaxPrintCoverPageW                                                                                   0x293df164                                         
FaxRegisterRoutingExtensionW                                                                         0xea895905                                         
FaxRegisterServiceProviderW                                                                          0xb4d0ed1c                                         
FaxSendDocumentA                                                                                     0xe582096e                                         
FaxSendDocumentForBroadcastA                                                                         0x4a519388                                         
FaxSendDocumentForBroadcastW                                                                         0x4a51939e                                         
FaxSendDocumentW                                                                                     0xe5820984                                         
FaxSetConfigurationA                                                                                 0x49c4b5e9                                         
FaxSetConfigurationW                                                                                 0x49c4b5ff                                         
FaxSetGlobalRoutingInfoA                                                                             0x4c4325d6                                         
FaxSetGlobalRoutingInfoW                                                                             0x4c4325ec                                         
FaxSetJobA                                                                                           0x1bac76cc                                         
FaxSetJobW                                                                                           0x1bac76e2                                         
FaxSetLoggingCategoriesA                                                                             0x039ceabe                                         
FaxSetLoggingCategoriesW                                                                             0x039cead4                                         
FaxSetPortA                                                                                          0x91a82e36                                         
FaxSetPortW                                                                                          0x91a82e4c                                         
FaxSetRoutingInfoA                                                                                   0x304b8965                                         
FaxSetRoutingInfoW                                                                                   0x304b897b                                         
FaxStartPrintJobA                                                                                    0xf165e25b                                         
FaxStartPrintJobW                                                                                    0xf165e271                                         
FaxUnregisterServiceProviderW                                                                        0xb554e69f                                         
