DLL Path: C:\Windows\System32\authz.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AuthzAccessCheck                                                                                     0x36fa4c61                                         
AuthzAddSidsToContext                                                                                0xb26086f5                                         
AuthzCachedAccessCheck                                                                               0x52905279                                         
AuthzComputeEffectivePermission                                                                      0x681baf28                                         
AuthzEnumerateSecurityEventSources                                                                   0x415f6c35                                         
AuthzEvaluateSacl                                                                                    0xc83cb02b                                         
AuthzFreeAuditEvent                                                                                  0xe89ae44c                                         
AuthzFreeCentralAccessPolicyCache                                                                    0xe63f75d2                                         
AuthzFreeContext                                                                                     0x8231e7d8                                         
AuthzFreeHandle                                                                                      0xc8ccbbbf                                         
AuthzFreeResourceManager                                                                             0x57b75a56                                         
AuthzGetInformationFromContext                                                                       0xa7e886d0                                         
AuthzInitializeCompoundContext                                                                       0x1ca4be2d                                         
AuthzInitializeContextFromAuthzContext                                                               0x3e87b14d                                         
AuthzInitializeContextFromSid                                                                        0xd302809c                                         
AuthzInitializeContextFromToken                                                                      0x9dbaa59d                                         
AuthzInitializeObjectAccessAuditEvent                                                                0xd0c7f7a5                                         
AuthzInitializeObjectAccessAuditEvent2                                                               0xe9c6ec77                                         
AuthzInitializeRemoteAccessCheck                                                                     0x97a60f9f                                         
AuthzInitializeRemoteResourceManager                                                                 0xd8c87772                                         
AuthzInitializeResourceManager                                                                       0xe8a20f66                                         
AuthzInitializeResourceManagerEx                                                                     0x99638a43                                         
AuthzInstallSecurityEventSource                                                                      0xd686a7f3                                         
AuthzModifyClaims                                                                                    0x46ccf512                                         
AuthzModifySecurityAttributes                                                                        0x64d90218                                         
AuthzModifySids                                                                                      0x16e6d3cc                                         
AuthzOpenObjectAudit                                                                                 0x510289f1                                         
AuthzRegisterCapChangeNotification                                                                   0x8fa728f7                                         
AuthzRegisterSecurityEventSource                                                                     0x7ec7eaa1                                         
AuthzReportSecurityEvent                                                                             0x7fc06507                                         
AuthzReportSecurityEventFromParams                                                                   0x5be8f07f                                         
AuthzSetAppContainerInformation                                                                      0xbf583607                                         
AuthzShutdownRemoteAccessCheck                                                                       0x3cd9cea9                                         
AuthzUninstallSecurityEventSource                                                                    0x23720d76                                         
AuthzUnregisterCapChangeNotification                                                                 0x705c439a                                         
AuthzUnregisterSecurityEventSource                                                                   0x69200084                                         
AuthziAccessCheckEx                                                                                  0x5e069b27                                         
AuthziAllocateAuditParams                                                                            0xe8ac52da                                         
AuthziCheckContextMembership                                                                         0x87a820c9                                         
AuthziFreeAuditEventType                                                                             0x84191677                                         
AuthziFreeAuditParams                                                                                0x8401aab7                                         
AuthziFreeAuditQueue                                                                                 0x51b04d18                                         
AuthziGenerateAdminAlertAuditW                                                                       0x716e41b4                                         
AuthziInitializeAuditEvent                                                                           0xe426d065                                         
AuthziInitializeAuditEventType                                                                       0x42629c47                                         
AuthziInitializeAuditParams                                                                          0x81348287                                         
AuthziInitializeAuditParamsFromArray                                                                 0x0dec4efa                                         
AuthziInitializeAuditParamsWithRM                                                                    0x15a248a2                                         
AuthziInitializeAuditQueue                                                                           0xe4ff6ae8                                         
AuthziInitializeContextFromSid                                                                       0x57887e25                                         
AuthziLogAuditEvent                                                                                  0x2e826c75                                         
AuthziModifyAuditEvent                                                                               0x6c952e3b                                         
AuthziModifyAuditEvent2                                                                              0xff3af5cd                                         
AuthziModifyAuditEventType                                                                           0xf3d7f51d                                         
AuthziModifyAuditQueue                                                                               0x6d6dc8be                                         
AuthziModifySecurityAttributes                                                                       0xe95effa1                                         
AuthziQuerySecurityAttributes                                                                        0x7b2c9f4f                                         
AuthziSourceAudit                                                                                    0x6f75cc82                                         
FreeClaimDefinitions                                                                                 0x6bb51fe9                                         
FreeClaimDictionary                                                                                  0x15e04663                                         
GenerateNewCAPID                                                                                     0xe5718fbb                                         
GetCentralAccessPoliciesByCapID                                                                      0x8387e5b4                                         
GetCentralAccessPoliciesByDN                                                                         0x9ad94f05                                         
GetClaimDefinitions                                                                                  0x0cd7e5e7                                         
GetClaimDomainInfo                                                                                   0xdd678c4f                                         
GetDefaultCAPESecurityDescriptor                                                                     0xc833e0ba                                         
InitializeClaimDictionary                                                                            0x3cad2273                                         
RefreshClaimDictionary                                                                               0xb93f3490                                         
