DLL Path: C:\Windows\System32\d3d10level9.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
D3D10CheckLevel9Hardware                                                                             0xc628f7de                                         
D3D10Level9DumpJournal                                                                               0x98ff9c03                                         
D3D11CreateDeviceExternalImplementation                                                              0xdda7274f                                         
D3DKMTAcquireKeyedMutex                                                                              0x1d71c61b                                         
D3DKMTAcquireKeyedMutex2                                                                             0xcbaa89ad                                         
D3DKMTChangeVideoMemoryReservation                                                                   0x2c381854                                         
D3DKMTCheckMultiPlaneOverlaySupport                                                                  0x76ec12a4                                         
D3DKMTCheckMultiPlaneOverlaySupport2                                                                 0x546e6756                                         
D3DKMTCloseAdapter                                                                                   0xa8a6a5c3                                         
D3DKMTConfigureSharedResource                                                                        0x4ff9648d                                         
D3DKMTCreateAllocation                                                                               0x0d616406                                         
D3DKMTCreateAllocation2                                                                              0xb98de4f8                                         
D3DKMTCreateContext                                                                                  0xa5a10865                                         
D3DKMTCreateContextVirtual                                                                           0x046f9bac                                         
D3DKMTCreateDevice                                                                                   0xd05bb550                                         
D3DKMTCreateKeyedMutex                                                                               0x04e160a5                                         
D3DKMTCreateKeyedMutex2                                                                              0xa10d7577                                         
D3DKMTCreatePagingQueue                                                                              0xe7dbb69b                                         
D3DKMTCreateSynchronizationObject                                                                    0x4acb48a9                                         
D3DKMTCreateSynchronizationObject2                                                                   0xa4345dfb                                         
D3DKMTDestroyAllocation                                                                              0xa4f3c39c                                         
D3DKMTDestroyAllocation2                                                                             0x436c374e                                         
D3DKMTDestroyContext                                                                                 0x41f79fbb                                         
D3DKMTDestroyDevice                                                                                  0x39f1b9e6                                         
D3DKMTDestroyKeyedMutex                                                                              0x9c73c03b                                         
D3DKMTDestroyPagingQueue                                                                             0x71ba08f1                                         
D3DKMTDestroySynchronizationObject                                                                   0xc15cfe7f                                         
D3DKMTEscape                                                                                         0x1939379d                                         
D3DKMTEvict                                                                                          0x3ed4ef27                                         
D3DKMTFlushHeapTransitions                                                                           0x90d1f42a                                         
D3DKMTFreeGpuVirtualAddress                                                                          0x63a05647                                         
D3DKMTGetAllocationPriority                                                                          0x5ec6d1b4                                         
