DLL Path: C:\Windows\System32\drivers\ks.sys
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CBaseUnknown@@QEAA@AEBU_GUID@@PEAUIUnknown@@@Z                                                    0x9a67c5bc                                         
??0CBaseUnknown@@QEAA@PEAUIUnknown@@@Z                                                               0xfc58dc77                                         
??1CBaseUnknown@@UEAA@XZ                                                                             0xab96a670                                         
??_FCBaseUnknown@@QEAAXXZ                                                                            0xa996feb8                                         
?IndirectedAddRef@CBaseUnknown@@UEAAKXZ                                                              0x82ed73ec                                         
?IndirectedQueryInterface@CBaseUnknown@@UEAAJAEBU_GUID@@PEAPEAX@Z                                    0x7e5acf7d                                         
?IndirectedRelease@CBaseUnknown@@UEAAKXZ                                                             0x8d0a4087                                         
?NonDelegatedAddRef@CBaseUnknown@@UEAAKXZ                                                            0xcc3d56fb                                         
?NonDelegatedQueryInterface@CBaseUnknown@@UEAAJAEBU_GUID@@PEAPEAX@Z                                  0xb820cf4c                                         
?NonDelegatedRelease@CBaseUnknown@@UEAAKXZ                                                           0x00568576                                         
DllInitialize                                                                                        0x64e77af3                                         
KoCreateInstance                                                                                     0x20759828                                         
KoDeviceInitialize                                                                                   0xd71487c1                                         
KoDriverInitialize                                                                                   0x4ee197fd                                         
KoRelease                                                                                            0x1eb8d560                                         
KsAcquireCachedMdl                                                                                   0x926d0a22                                         
KsAcquireControl                                                                                     0xe479b40e                                         
KsAcquireDevice                                                                                      0xda052d3d                                         
KsAcquireDeviceSecurityLock                                                                          0xd089c67e                                         
KsAcquireResetValue                                                                                  0xedd850ad                                         
KsAddDevice                                                                                          0x63669e7c                                         
KsAddEvent                                                                                           0xb58ada8e                                         
KsAddIrpToCancelableQueue                                                                            0x92869ff9                                         
KsAddItemToObjectBag                                                                                 0xc688d7ff                                         
KsAddObjectCreateItemToDeviceHeader                                                                  0x6d01c0c2                                         
KsAddObjectCreateItemToObjectHeader                                                                  0x7799a1e9                                         
KsAllocateDefaultClock                                                                               0x85498d79                                         
KsAllocateDefaultClockEx                                                                             0xfde2d916                                         
KsAllocateDeviceHeader                                                                               0x4e1b9541                                         
KsAllocateExtraData                                                                                  0x55155cc6                                         
KsAllocateObjectBag                                                                                  0x746e08a9                                         
KsAllocateObjectCreateItem                                                                           0x9b4a1482                                         
KsAllocateObjectHeader                                                                               0x58b37668                                         
KsCacheMedium                                                                                        0x3afc2c58                                         
KsCancelIo                                                                                           0xc0890a01                                         
KsCancelRoutine                                                                                      0x9167318f                                         
KsCompletePendingRequest                                                                             0x07ec202a                                         
KsCopyObjectBagItems                                                                                 0x5727e0c1                                         
KsCreateAllocator                                                                                    0xbd31e898                                         
KsCreateBusEnumObject                                                                                0x7279fe0d                                         
KsCreateClock                                                                                        0xab1e76e3                                         
KsCreateDefaultAllocator                                                                             0xf6f0d55d                                         
KsCreateDefaultAllocatorEx                                                                           0x767ba9fa                                         
KsCreateDefaultClock                                                                                 0x59a3c928                                         
KsCreateDefaultSecurity                                                                              0x17a43334                                         
KsCreateDevice                                                                                       0x10c7bfe7                                         
KsCreateFilterFactory                                                                                0x0fc556d5                                         
KsCreatePin                                                                                          0xc99eaf5e                                         
KsCreateTopologyNode                                                                                 0xa3bc6f3a                                         
KsDecrementCountedWorker                                                                             0xe8c7c1a6                                         
KsDefaultAddEventHandler                                                                             0x89ec9b51                                         
KsDefaultDeviceIoCompletion                                                                          0xbcd0798a                                         
