DLL Path: C:\Windows\System32\gdi32full.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AbortDocImpl                                                                                         0xfe4cb3e5                                         
AbortPath                                                                                            0x69b5ce2a                                         
AddFontMemResourceEx                                                                                 0xd9f36b29                                         
AddFontResourceA                                                                                     0xfa19bace                                         
AddFontResourceExA                                                                                   0xe773c70b                                         
AddFontResourceExW                                                                                   0xe773c721                                         
AddFontResourceTracking                                                                              0x2f6ffa60                                         
AddFontResourceWImpl                                                                                 0x94ae7316                                         
AngleArc                                                                                             0x840ea722                                         
AnimatePalette                                                                                       0x8d857013                                         
AnyLinkedFonts                                                                                       0xaf98fdee                                         
Arc                                                                                                  0x0b87d67b                                         
ArcTo                                                                                                0x0cd76c7e                                         
BeginPath                                                                                            0x25bad717                                         
BeginPathImpl                                                                                        0xa71870c9                                         
BitBlt                                                                                               0xa9804e46                                         
CancelDC                                                                                             0x838f2bd2                                         
CheckColorsInGamut                                                                                   0x0da7830a                                         
ChoosePixelFormat                                                                                    0x9aef7651                                         
Chord                                                                                                0x0cf65895                                         
ClearBitmapAttributes                                                                                0xdfc71510                                         
ClearBrushAttributes                                                                                 0xc0095ab7                                         
CloseEnhMetaFile                                                                                     0xff9acf9d                                         
CloseFigure                                                                                          0x3453af3d                                         
CloseFigureImpl                                                                                      0x890cebef                                         
CloseMetaFile                                                                                        0xf6b17662                                         
ColorCorrectPalette                                                                                  0x73381385                                         
ColorMatchToTarget                                                                                   0x1d82f9db                                         
CombineTransform                                                                                     0xf422cffe                                         
CopyEnhMetaFileA                                                                                     0x57a7bcc3                                         
CopyEnhMetaFileW                                                                                     0x57a7bcd9                                         
CopyMetaFileA                                                                                        0xb62b3a48                                         
CopyMetaFileW                                                                                        0xb62b3a5e                                         
CreateBitmap                                                                                         0x551f6c56                                         
CreateBitmapIndirect                                                                                 0x08d55b48                                         
CreateBrushIndirect                                                                                  0x2c2bc18f                                         
CreateColorSpaceA                                                                                    0xc994da05                                         
CreateColorSpaceW                                                                                    0xc994da1b                                         
CreateCompatibleBitmap                                                                               0xa245f556                                         
CreateCompatibleDC                                                                                   0xa05cbae0                                         
CreateDCA                                                                                            0xed68ee21                                         
CreateDCAImpl                                                                                        0x36aefcd3                                         
CreateDCExW                                                                                          0xeb5d1b34                                         
CreateDCW                                                                                            0xed68ee37                                         
CreateDIBPatternBrush                                                                                0x86a3b38a                                         
CreateDIBPatternBrushPt                                                                              0xbe5ec8ce                                         
CreateDIBSection                                                                                     0xfff5b73d                                         
CreateDIBitmap                                                                                       0xdf080563                                         
CreateDPIScaledDIBSection                                                                            0x764c57e6                                         
CreateDiscardableBitmap                                                                              0x18b2eea4                                         
CreateEllipticRgn                                                                                    0xf12b7c76                                         
CreateEllipticRgnIndirect                                                                            0x477f8b68                                         
CreateEnhMetaFileA                                                                                   0x181054dc                                         
CreateEnhMetaFileW                                                                                   0x181054f2                                         
CreateFontA                                                                                          0xeb9a1ab1                                         
CreateFontIndirectA                                                                                  0x4a40a1e3                                         
CreateFontIndirectExA                                                                                0xdcf0c760                                         
CreateFontIndirectExW                                                                                0xdcf0c776                                         
CreateFontIndirectW                                                                                  0x4a40a1f9                                         
CreateFontIndirectWImpl                                                                              0xdd6cdcab                                         
CreateFontW                                                                                          0xeb9a1ac7                                         
CreateHalftonePalette                                                                                0x9e6c1d99                                         
CreateHatchBrush                                                                                     0xf4f35fe5                                         
CreateICA                                                                                            0xed690366                                         
CreateICW                                                                                            0xed69037c                                         
CreateMetaFileA                                                                                      0xa2902101                                         
CreateMetaFileW                                                                                      0xa2902117                                         
CreatePalette                                                                                        0x1b7e2f48                                         
CreatePatternBrush                                                                                   0xe05f74bb                                         
CreatePen                                                                                            0xed6925bc                                         
CreatePenIndirect                                                                                    0x315d1aae                                         
CreatePolyPolygonRgn                                                                                 0xc54a7d0c                                         
CreateRectRgn                                                                                        0xbe2c162e                                         
CreateRoundRectRgn                                                                                   0x3845d476                                         
CreateScalableFontResourceA                                                                          0x291dabf0                                         
CreateScalableFontResourceWImpl                                                                      0x98aa2538                                         
CreateScaledCompatibleBitmap                                                                         0x814ccbc2                                         
CreateSessionMappedDIBSection                                                                        0xc7214f38                                         
CreateSolidBrush                                                                                     0xe2afed58                                         
DPtoLP                                                                                               0xac66f618                                         
DeleteColorSpace                                                                                     0x2f90fdc3                                         
DeleteDC                                                                                             0x9f3bef5f                                         
DeleteEMFSpoolData                                                                                   0x3d6c1a77                                         
DeleteEnhMetaFile                                                                                    0x58d6899a                                         
DeleteMetaFile                                                                                       0xac36297f                                         
DescribePixelFormat                                                                                  0xccda8491                                         
DeviceCapabilitiesExA                                                                                0x4d381b5d                                         
DocumentEventEx                                                                                      0x0ff83163                                         
DrawEscape                                                                                           0x1e778fc4                                         
DwmCreatedBitmapRemotingOutput                                                                       0x89eb2078                                         
DwmGetDirtyRgnImpl                                                                                   0x46e3e4f2                                         
Ellipse                                                                                              0xc6fcf733                                         
EndDoc                                                                                               0xb0d18572                                         
EndDocImpl                                                                                           0x2044d4a4                                         
EndFormPage                                                                                          0x26dbbf6d                                         
EndPage                                                                                              0xcb088d99                                         
EndPageImpl                                                                                          0x1181984b                                         
EndPath                                                                                              0xcb088f49                                         
EndPathImpl                                                                                          0x300af1fb                                         
EngAcquireSemaphore                                                                                  0xa80faced                                         
EngComputeGlyphSet                                                                                   0x0f94bb2c                                         
EngCreateBitmap                                                                                      0xfcb80550                                         
EngCreateDeviceBitmap                                                                                0x461711c0                                         
EngCreateDeviceSurface                                                                               0x416d312c                                         
EngCreatePalette                                                                                     0xb629e782                                         
EngCreateSemaphore                                                                                   0x3a1553d7                                         
EngDeletePalette                                                                                     0x3ee06c61                                         
EngDeleteSemaphore                                                                                   0xca808c76                                         
EngDeleteSurface                                                                                     0x54e31b9b                                         
EngFindResource                                                                                      0x731fe128                                         
EngFreeModule                                                                                        0xcd279667                                         
EngGetCurrentCodePage                                                                                0xd66f213a                                         
EngGetDriverName                                                                                     0x116e3aec                                         
EngGetPrinterDataFileName                                                                            0x1066571e                                         
EngLoadModule                                                                                        0x89f019e5                                         
EngMultiByteToUnicodeN                                                                               0x92428676                                         
EngMultiByteToWideChar                                                                               0xde455648                                         
EngQueryEMFInfo                                                                                      0x0b7a2799                                         
EngQueryLocalTime                                                                                    0x52ee64cf                                         
EngReleaseSemaphore                                                                                  0x9db61e64                                         
EngUnicodeToMultiByteN                                                                               0x487955f6                                         
EngWideCharToMultiByte                                                                               0xe1a4ad88                                         
EnumEnhMetaFile                                                                                      0xb442a51c                                         
EnumFontFamiliesA                                                                                    0x573abd3c                                         
EnumFontFamiliesExA                                                                                  0x10df1cf9                                         
EnumFontFamiliesExW                                                                                  0x10df1d0f                                         
EnumFontFamiliesW                                                                                    0x573abd52                                         
EnumFontsA                                                                                           0xc601bec5                                         
EnumFontsW                                                                                           0xc601bedb                                         
EnumICMProfilesA                                                                                     0x16c39e98                                         
EnumICMProfilesW                                                                                     0x16c39eae                                         
EnumMetaFile                                                                                         0xce022441                                         
EnumObjects                                                                                          0x1c61d144                                         
EscapeImpl                                                                                           0x35437048                                         
EudcLoadLinkW                                                                                        0xf84bf96b                                         
EudcUnloadLinkW                                                                                      0x520a15ce                                         
ExcludeClipRect                                                                                      0x82586665                                         
ExtCreatePen                                                                                         0xddc6442d                                         
ExtEscapeImpl                                                                                        0x31445cd9                                         
ExtFloodFill                                                                                         0xd2ed15b1                                         
ExtSelectClipRgnImpl                                                                                 0x64cbfff7                                         
ExtTextOutA                                                                                          0x8f5d2914                                         
ExtTextOutAImpl                                                                                      0xdd5d7946                                         
ExtTextOutW                                                                                          0x8f5d292a                                         
ExtTextOutWImpl                                                                                      0xdeeb945c                                         
FillPath                                                                                             0xac136f59                                         
FillPathImpl                                                                                         0x5ca75a0b                                         
FillRgn                                                                                              0x0cf8de13                                         
FixBrushOrgEx                                                                                        0x294fd815                                         
FlattenPath                                                                                          0x1d2479a0                                         
FloodFill                                                                                            0xe28ff740                                         
FontIsLinked                                                                                         0xbf6fb6af                                         
FrameRgn                                                                                             0x47542e37                                         
GdiAddFontResourceW                                                                                  0xb8757c18                                         
GdiAddGlsBounds                                                                                      0xdfe9d393                                         
GdiAddGlsRecord                                                                                      0x047d8fc7                                         
GdiAddInitialFonts                                                                                   0x27f0dff6                                         
GdiAlphaBlend                                                                                        0xf73dcb84                                         
