DLL Path: C:\Windows\System32\mprddm.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DDMAdminConnectionClearStats                                                                         0x308f6e29                                         
DDMAdminConnectionEnum                                                                               0xdf76e208                                         
DDMAdminConnectionEnumEx                                                                             0x98b78d65                                         
DDMAdminConnectionGetInfo                                                                            0x347a1c3f                                         
DDMAdminConnectionGetInfoEx                                                                          0x3b72315c                                         
DDMAdminInterfaceConnect                                                                             0x15f1a9be                                         
DDMAdminInterfaceDisconnect                                                                          0x2926c49e                                         
DDMAdminPortClearStats                                                                               0x1a2f4a5e                                         
DDMAdminPortDisconnect                                                                               0x41388692                                         
DDMAdminPortEnum                                                                                     0x3906fa7d                                         
DDMAdminPortGetInfo                                                                                  0xf1735c94                                         
DDMAdminPortReset                                                                                    0x5acc902b                                         
DDMAdminRemoveQuarantine                                                                             0xc00e8689                                         
DDMAdminRoutingDomainConnectionEnumEx                                                                0xb02352a5                                         
DDMAdminServerGetInfo                                                                                0x880af126                                         
DDMAdminServerGetInfoEx                                                                              0xb68bdc03                                         
DDMAdminServerSetInfo                                                                                0x23c5ca32                                         
DDMAdminServerSetInfoEx                                                                              0x2c61280f                                         
DDMAdminUpdateConnection                                                                             0xfae244b6                                         
DDMAdminUpdateQoSPolicies                                                                            0xbf6042b1                                         
DDMConnectInterface                                                                                  0x6e01df95                                         
DDMDisconnectInterface                                                                               0xaab078b5                                         
DDMGetIdentityAttributes                                                                             0x2016de6b                                         
DDMHandleRoutingDomainConfigChange                                                                   0x983fc062                                         
DDMPlumbRDIkev2TunnelPolicy                                                                          0x588a7c77                                         
DDMPostCleanup                                                                                       0x8ff57988                                         
DDMRegisterConnectionNotification                                                                    0x2c6c56b6                                         
DDMSendUserMessage                                                                                   0x32fa7ec8                                         
DDMServiceInitialize                                                                                 0xfc7828fd                                         
DDMServicePostListens                                                                                0x1cc1f7b3                                         
DDMTransportCreate                                                                                   0x4683101b                                         
DdmDeleteIkev2PskPolicy                                                                              0x1f1d43ec                                         
DdmGetKey                                                                                            0xa0706d03                                         
DdmPlumbIkev2PskPolicy                                                                               0xfe52f539                                         
DdmSetKey                                                                                            0xbc6e548f                                         
DdmUpdateGlobalPhoneBookContext                                                                      0xc7b1c678                                         
IfObjectConnectionChangeNotification                                                                 0xd030fb68                                         
IfObjectFreePhonebookContext                                                                         0x96ed6ab7                                         
IfObjectGetStatistics                                                                                0x656b6936                                         
IfObjectLoadDestinationInfo                                                                          0xf6422699                                         
IfObjectLoadPhonebookInfo                                                                            0x50c97d9c                                         
IfObjectSetDialoutHoursRestriction                                                                   0x757b54d0                                         
IfObjectUpdatePbkExtraInfo                                                                           0x96ca241b                                         
IfObjectUpdatePbkInfo                                                                                0x86b5f677                                         
MarkInterfaceAsReachable                                                                             0xaba440cc                                         
RasAcctConfigChangeNotification                                                                      0xf0df9e89                                         
RasAcctProviderFreeAttributes                                                                        0xc3ec70da                                         
RasAcctProviderInitialize                                                                            0x1b2a3bc3                                         
RasAcctProviderInterimAccounting                                                                     0xb4d7aaf4                                         
RasAcctProviderStartAccounting                                                                       0x6a6a37ea                                         
RasAcctProviderStopAccounting                                                                        0xd2afd9e2                                         
RasAcctProviderTerminate                                                                             0x1288a09a                                         
RasAuthConfigChangeNotification                                                                      0x5f8d4240                                         
RasAuthProviderAuthenticateUser                                                                      0xc2e11a26                                         
RasAuthProviderFreeAttributes                                                                        0x389fbad1                                         
RasAuthProviderInitialize                                                                            0x1271223a                                         
RasAuthProviderTerminate                                                                             0x02c11431                                         
RasConnectionInitiate                                                                                0xb77e2632                                         
ReConnectInterface                                                                                   0x68b73b97                                         
ReConnectPersistentInterface                                                                         0x9e1d3108                                         
TimerQInsert                                                                                         0x0bea0f6c                                         
TimerQRemove                                                                                         0x20428145                                         
