DLL Path: C:\Windows\System32\resutils.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CloseClusterCryptProvider                                                                            0xddd3059a                                         
ClusAddClusterHealthFault                                                                            0x6f6bf399                                         
ClusGetClusterHealthFaults                                                                           0x20740783                                         
ClusRemoveClusterHealthFault                                                                         0xbe15ef1e                                         
ClusWorkerCheckTerminate                                                                             0xd82801bd                                         
ClusWorkerCreate                                                                                     0xa27b25aa                                         
ClusWorkerStart                                                                                      0xb87ba2a4                                         
ClusWorkerTerminate                                                                                  0xaa207a3f                                         
ClusWorkerTerminateEx                                                                                0xb4280f5c                                         
ClusWorkersTerminate                                                                                 0x39c02ed2                                         
ClusterClearBackupStateForSharedVolume                                                               0xf227c0bb                                         
ClusterDecrypt                                                                                       0xb6b088e2                                         
ClusterEncrypt                                                                                       0x18a9334c                                         
ClusterEnumTasks                                                                                     0x430bf662                                         
ClusterFileShareCreate                                                                               0x81682eee                                         
ClusterFileShareDelete                                                                               0x82d600ad                                         
ClusterFileShareUpdate                                                                               0xab404cdd                                         
ClusterFreeTaskInfo                                                                                  0x540a6508                                         
ClusterFreeTaskList                                                                                  0x540bf698                                         
ClusterGetTaskNode                                                                                   0xa7646ea0                                         
ClusterGetVolumeNameForVolumeMountPoint                                                              0x4a11f83c                                         
ClusterGetVolumePathName                                                                             0x4f09c82d                                         
ClusterIsClusterDisk                                                                                 0x3cd72990                                         
ClusterIsPathOnSharedVolume                                                                          0x7e4862dc                                         
ClusterPrepareSharedVolumeForBackup                                                                  0x0bb61f82                                         
ClusterSharedVolumeCheckSnapshotPresence                                                             0xb5c4a8b9                                         
ClusterSharedVolumeCreateSnapshot                                                                    0x4da2ba3a                                         
ClusterSharedVolumeReleaseSnapshot                                                                   0xde558a07                                         
ClusterTaskChangeFromXML                                                                             0x24cc6725                                         
ClusterTaskChangeFromXMLFile                                                                         0xf56da125                                         
ClusterTaskChange_TS_V1                                                                              0xbd20f1cc                                         
ClusterTaskCreateFromXML                                                                             0xd9894053                                         
ClusterTaskCreateFromXMLFile                                                                         0x022f6153                                         
ClusterTaskCreate_TS_V1                                                                              0x17f05d3a                                         
ClusterTaskDelete                                                                                    0x5f514b8d                                         
ClusterTaskDelete_TS_V1                                                                              0x716a4239                                         
ClusterTaskExists_TS_V1                                                                              0x109ce0a6                                         
ClusterTaskQuery                                                                                     0x78346eb0                                         
CreateClusterStorageSpacesClustering                                                                 0x0c4c898f                                         
CreateClusterStorageSpacesResourceLocator                                                            0x223628eb                                         
CreateClusterStorageSpacesSubProvider                                                                0x9b730044                                         
FreeClusterCrypt                                                                                     0x35f8ba9b                                         
FreeClusterHealthFault                                                                               0xfcf5a85b                                         
FreeClusterHealthFaultArray                                                                          0x19dcc71a                                         
InitializeClusterHealthFault                                                                         0xb8edca6b                                         
InitializeClusterHealthFaultArray                                                                    0x858cb32a                                         
OpenClusterCryptProvider                                                                             0x562aacb6                                         
OpenClusterCryptProviderEx                                                                           0x8b88bb93                                         
ResUtilAddUnknownProperties                                                                          0x72b75e53                                         
ResUtilCreateDirectoryTree                                                                           0xfe0a1566                                         
ResUtilDupGroup                                                                                      0x6414fe63                                         
ResUtilDupParameterBlock                                                                             0xa2920942                                         
ResUtilDupResource                                                                                   0xae1e56de                                         
ResUtilDupString                                                                                     0x02d8558d                                         
ResUtilEnumGroups                                                                                    0x38451aa2                                         
ResUtilEnumGroupsEx                                                                                  0x5df6547f                                         
ResUtilEnumPrivateProperties                                                                         0x027ac3ca                                         
ResUtilEnumProperties                                                                                0x3eb816af                                         
ResUtilEnumResources                                                                                 0x45065afd                                         
