DLL Path: C:\Windows\System32\rtm.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BestMatchInTable                                                                                     0xfaad29ff                                         
CheckTable                                                                                           0x917d244b                                         
CreateTable                                                                                          0xec8f9081                                         
DeleteFromTable                                                                                      0x9eff9454                                         
DestroyTable                                                                                         0x4635bd77                                         
DumpTable                                                                                            0xaf3568a3                                         
EnumOverTable                                                                                        0xcd959f7e                                         
InsertIntoTable                                                                                      0x7420993c                                         
MgmAddGroupMembershipEntry                                                                           0x8ad4943a                                         
MgmDeInitialize                                                                                      0xef0d84c1                                         
MgmDeRegisterMProtocol                                                                               0x896f4073                                         
MgmDeleteGroupMembershipEntry                                                                        0xe0d3d544                                         
MgmGetFirstMfe                                                                                       0x41c8cb46                                         
MgmGetFirstMfeStats                                                                                  0xcf6800d5                                         
MgmGetMfe                                                                                            0x7d95ed3e                                         
MgmGetMfeStats                                                                                       0xb0111dcd                                         
MgmGetNextMfe                                                                                        0x516432fd                                         
MgmGetNextMfeStats                                                                                   0xc61bd2ec                                         
MgmGetProtocolOnInterface                                                                            0x0aa5e566                                         
MgmGroupEnumerationEnd                                                                               0x2e03d891                                         
MgmGroupEnumerationGetNext                                                                           0x4cb3d019                                         
MgmGroupEnumerationStart                                                                             0xbf5ce488                                         
MgmInitialize                                                                                        0xbfdab2d8                                         
MgmRegisterMProtocol                                                                                 0xdfc6ceaa                                         
MgmReleaseInterfaceOwnership                                                                         0xc8cad4b7                                         
MgmTakeInterfaceOwnership                                                                            0xeec6f03b                                         
NextMatchInTable                                                                                     0xb56c10b0                                         
RtmAddNextHop                                                                                        0x09c1e687                                         
RtmAddRoute                                                                                          0x0ea716f0                                         
RtmAddRouteToDest                                                                                    0xa7a98663                                         
RtmBlockConvertRoutesToStatic                                                                        0x17858991                                         
RtmBlockDeleteRoutes                                                                                 0xed939eb8                                         
RtmBlockMethods                                                                                      0x13f5fd37                                         
RtmBlockSetRouteEnable                                                                               0xdd968865                                         
RtmCleanupInstances                                                                                  0xf0270468                                         
RtmCloseEnumerationHandle                                                                            0x20ad24c1                                         
RtmConvertIpv6AddressAndLengthToNetAddress                                                           0xd7040809                                         
