DLL Path: C:\Windows\System32\spoolss.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AbortPrinter                                                                                         0xa1880041                                         
AddFormW                                                                                             0x789f7619                                         
AddJobW                                                                                              0x7fc8f4e0                                         
AddMonitorW                                                                                          0x5543074d                                         
AddPerMachineConnectionW                                                                             0x14408531                                         
AddPortExW                                                                                           0x201f59c7                                         
AddPortW                                                                                             0x79546c0a                                         
AddPrintDeviceObject                                                                                 0x082dbb02                                         
AddPrintProcessorW                                                                                   0xada3a932                                         
AddPrintProvidorW                                                                                    0x77a69507                                         
AddPrinterConnectionW                                                                                0x3c7f6ef9                                         
AddPrinterDriverExW                                                                                  0xd3942bf2                                         
AddPrinterDriverW                                                                                    0x0e88b775                                         
AddPrinterExW                                                                                        0xfe9bea86                                         
AddPrinterW                                                                                          0xf5a7c109                                         
AdjustPointers                                                                                       0x1c22a164                                         
AdjustPointersInStructuresArray                                                                      0xf9ec9d3e                                         
AlignKMPtr                                                                                           0x469b66de                                         
AlignRpcPtr                                                                                          0x2cdf8b6b                                         
AllocSplStr                                                                                          0x9ffd0df8                                         
AllowRemoteCalls                                                                                     0x0f2f009f                                         
AppendPrinterNotifyInfoData                                                                          0x3b70b880                                         
BuildOtherNamesFromMachineName                                                                       0xe6d8f615                                         
CacheAddName                                                                                         0x451d3663                                         
CacheCreateAndAddNode                                                                                0xfef96b6f                                         
CacheCreateAndAddNodeWithIPAddresses                                                                 0x87630c42                                         
CacheDeleteNode                                                                                      0x22ac88f2                                         
CacheIsNameCluster                                                                                   0x837d1ff8                                         
CacheIsNameInNodeList                                                                                0xe9c711ef                                         
CallDrvDevModeConversion                                                                             0x3decfcd7                                         
CallRouterFindFirstPrinterChangeNotification                                                         0x25443c7c                                         
CheckLocalCall                                                                                       0x1468ffca                                         
ClosePrinter                                                                                         0xd5aec75f                                         
ConfigurePortW                                                                                       0xdd585e43                                         
CreatePrinterIC                                                                                      0xd22e02e9                                         
DeleteFormW                                                                                          0x1cdbec03                                         
DeleteJobNamedProperty                                                                               0x3d0dd4fd                                         
DeleteMonitorW                                                                                       0xa0a7acf7                                         
DeletePerMachineConnectionW                                                                          0x7fef8f1b                                         
DeletePortW                                                                                          0x1d90e1f4                                         
DeletePrintProcessorW                                                                                0x12740b9c                                         
DeletePrintProvidorW                                                                                 0x255f5231                                         
DeletePrinter                                                                                        0xcbab0adc                                         
DeletePrinterConnectionW                                                                             0x6546b123                                         
DeletePrinterDataExW                                                                                 0x9554c42a                                         
DeletePrinterDataW                                                                                   0x2855e1ad                                         
DeletePrinterDriverExW                                                                               0xd270db9c                                         
DeletePrinterDriverW                                                                                 0xbc41749f                                         
DeletePrinterIC                                                                                      0x62993b88                                         
DeletePrinterKeyW                                                                                    0x6dd7f6dc                                         
DllAllocSplMem                                                                                       0xa0cbda7a                                         
DllAllocSplStr                                                                                       0xa0cbf5f4                                         
DllFreeSplMem                                                                                        0xc4c620b1                                         
DllFreeSplStr                                                                                        0xc4c63c2b                                         
DllMain                                                                                              0x79f31ec6                                         
DllReallocSplMem                                                                                     0xf9c2e171                                         
DllReallocSplStr                                                                                     0xf9c2fceb                                         
EndDocPrinter                                                                                        0x04641eb6                                         
EndPagePrinter                                                                                       0xa76994fd                                         
EnumFormsW                                                                                           0xc603d298                                         
EnumJobsW                                                                                            0x0e0a2cbf                                         
EnumMonitorsW                                                                                        0x10e8a2cc                                         
EnumPerMachineConnectionsW                                                                           0xe43c1cb0                                         
EnumPortsW                                                                                           0xdd5786a9                                         
EnumPrintProcessorDatatypesW                                                                         0x8da4c60d                                         
EnumPrintProcessorsW                                                                                 0xea691fd1                                         
EnumPrinterDataExW                                                                                   0x5856486c                                         
EnumPrinterDataW                                                                                     0xf1456d6f                                         
EnumPrinterDriversW                                                                                  0x67a218f4                                         
EnumPrinterKeyW                                                                                      0xc944125e                                         
EnumPrintersW                                                                                        0xbde49408                                         
FindClosePrinterChangeNotification                                                                   0x9399616d                                         
FlushPrinter                                                                                         0x458dc4eb                                         
FormatPrinterForRegistryKey                                                                          0xfb451bfb                                         
FormatRegistryKeyForPrinter                                                                          0xbe1733fb                                         
FreeOtherNames                                                                                       0xf6a45f3d                                         
FreePrintPropertyValue                                                                               0x415bad56                                         
GetFormW                                                                                             0x74773a30                                         
GetJobAttributes                                                                                     0xbdbfca27                                         
GetJobAttributesEx                                                                                   0x2cdaf944                                         
GetJobNamedPropertyValue                                                                             0xa80aca47                                         
GetJobW                                                                                              0x511d1217                                         
GetNetworkId                                                                                         0x1174b97c                                         
GetPrintProcessorDirectoryW                                                                          0xdc0d8c1e                                         
GetPrinterDataExW                                                                                    0x996354f7                                         
GetPrinterDataW                                                                                      0x19ffdb3a                                         
GetPrinterDriverDirectoryW                                                                           0x0147dae1                                         
GetPrinterDriverExW                                                                                  0x1466d3a9                                         
GetPrinterDriverW                                                                                    0xc050056c                                         
GetPrinterW                                                                                          0x61a5a1c0                                         
GetServerPolicy                                                                                      0x74018fec                                         
GetShrinkedSize                                                                                      0x7d665a58                                         
GetSpoolerTlsIndexes                                                                                 0x21bfd70c                                         
ImpersonatePrinterClient                                                                             0x6163c82f                                         
InitializeRouter                                                                                     0x7af92678                                         
IsNameTheLocalMachineOrAClusterSpooler                                                               0x5517d5ab                                         
IsNamedPipeRpcCall                                                                                   0xb14930b5                                         
MIDL_user_allocate1                                                                                  0xc4a0e55e                                         
MIDL_user_free1                                                                                      0x450a5dfb                                         
