DLL Path: C:\Windows\System32\tapi32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
GetTapi16CallbackMsg                                                                                 0x9e71e02e                                         
LAddrParamsInited                                                                                    0x117d9c4d                                         
LOpenDialAsst                                                                                        0x54aae4b8                                         
LocWizardDlgProc                                                                                     0xd5aaf33f                                         
MMCAddProvider                                                                                       0xa6c63e56                                         
MMCConfigProvider                                                                                    0xcfe0c9e3                                         
MMCGetAvailableProviders                                                                             0x7a613f01                                         
MMCGetDeviceFlags                                                                                    0x4abd6e5f                                         
MMCGetLineInfo                                                                                       0xa9567e16                                         
MMCGetLineStatus                                                                                     0x70abebce                                         
MMCGetPhoneInfo                                                                                      0x1db55fc8                                         
MMCGetPhoneStatus                                                                                    0x784a0200                                         
MMCGetProviderList                                                                                   0x06d25849                                         
MMCGetServerConfig                                                                                   0x154bd66f                                         
MMCInitialize                                                                                        0xe5ed7a54                                         
MMCRemoveProvider                                                                                    0xf9cd49db                                         
MMCSetLineInfo                                                                                       0xe9aefd22                                         
MMCSetPhoneInfo                                                                                      0x691dc054                                         
MMCSetServerConfig                                                                                   0xbca4fb7b                                         
MMCShutdown                                                                                          0xb463a3de                                         
NonAsyncEventThread                                                                                  0xdd652488                                         
TAPIWndProc                                                                                          0xab0e9e30                                         
TUISPIDLLCallback                                                                                    0x7530148c                                         
internalConfig                                                                                       0xbd7e5238                                         
internalCreateDefLocation                                                                            0x6265035e                                         
internalNewLocationW                                                                                 0xd717af1c                                         
internalPerformance                                                                                  0x04916e74                                         
internalRemoveLocation                                                                               0x4eec7d29                                         
internalRenameLocationW                                                                              0x1e49b18a                                         
lineAccept                                                                                           0x3307b43d                                         
lineAddProvider                                                                                      0x4c40b281                                         
lineAddProviderA                                                                                     0xd45702e2                                         
lineAddProviderW                                                                                     0xd45702f8                                         
lineAddToConference                                                                                  0x945e3d51                                         
lineAgentSpecific                                                                                    0x2b2ea442                                         
lineAnswer                                                                                           0x33d7d2fd                                         
lineBlindTransfer                                                                                    0xbaa87a5b                                         
lineBlindTransferA                                                                                   0x0fb7c5fc                                         
lineBlindTransferW                                                                                   0x0fb7c612                                         
lineClose                                                                                            0x01b533e3                                         
lineCompleteCall                                                                                     0x14d08782                                         
lineCompleteTransfer                                                                                 0x44a5e54b                                         
lineConfigDialog                                                                                     0xf18f0fd3                                         
lineConfigDialogA                                                                                    0x23710a74                                         
lineConfigDialogEdit                                                                                 0x3f904ed9                                         
lineConfigDialogEditA                                                                                0x319a2a3a                                         
lineConfigDialogEditW                                                                                0x319a2a50                                         
lineConfigDialogW                                                                                    0x23710a8a                                         
lineConfigProvider                                                                                   0x7ace522e                                         
lineCreateAgentA                                                                                     0x9c961c31                                         
lineCreateAgentSessionA                                                                              0x53b107b5                                         
lineCreateAgentSessionW                                                                              0x53b107cb                                         
lineCreateAgentW                                                                                     0x9c961c47                                         
lineDeallocateCall                                                                                   0x66d1f5f7                                         
lineDevSpecific                                                                                      0x2346fbb2                                         
lineDevSpecificFeature                                                                               0xc927295e                                         
lineDial                                                                                             0xc1fe3987                                         
lineDialA                                                                                            0x01c56aa8                                         
lineDialW                                                                                            0x01c56abe                                         
lineDrop                                                                                             0xc1fe61a2                                         
lineForward                                                                                          0x31f861e2                                         
lineForwardA                                                                                         0x71049e63                                         
lineForwardW                                                                                         0x71049e79                                         
lineGatherDigits                                                                                     0x093f6b8c                                         
lineGatherDigitsA                                                                                    0x312cdd4d                                         
lineGatherDigitsW                                                                                    0x312cdd63                                         
lineGenerateDigits                                                                                   0x1d835f3c                                         
lineGenerateDigitsA                                                                                  0xcdef46fd                                         
lineGenerateDigitsW                                                                                  0xcdef4713                                         
lineGenerateTone                                                                                     0xfb5c370e                                         
lineGetAddressCaps                                                                                   0x3ccf563a                                         
lineGetAddressCapsA                                                                                  0xd6ba1dbb                                         
lineGetAddressCapsW                                                                                  0xd6ba1dd1                                         
lineGetAddressID                                                                                     0xa8d78640                                         
lineGetAddressIDA                                                                                    0xc3c84e81                                         
lineGetAddressIDW                                                                                    0xc3c84e97                                         
lineGetAddressStatus                                                                                 0xd4a00277                                         
lineGetAddressStatusA                                                                                0x68a05198                                         
lineGetAddressStatusW                                                                                0x68a051ae                                         
lineGetAgentActivityListA                                                                            0xcba9b2c6                                         
lineGetAgentActivityListW                                                                            0xcba9b2dc                                         
lineGetAgentCapsA                                                                                    0xf92619c4                                         
lineGetAgentCapsW                                                                                    0xf92619da                                         
lineGetAgentGroupListA                                                                               0xa86e8686                                         
lineGetAgentGroupListW                                                                               0xa86e869c                                         
lineGetAgentInfo                                                                                     0xb23af568                                         
lineGetAgentSessionInfo                                                                              0xf28cd4ec                                         
lineGetAgentSessionList                                                                              0xf28e667c                                         
lineGetAgentStatusA                                                                                  0xd5fb73e1                                         
lineGetAgentStatusW                                                                                  0xd5fb73f7                                         
lineGetAppPriority                                                                                   0x53982fd0                                         
lineGetAppPriorityA                                                                                  0xc69e2a11                                         
