DLL Path: C:\Windows\System32\AppXDeploymentClient.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AppInstallerUpdateAllTask                                                                            0x04d0af43                                         
AppxAddPackageToAllUserStoreForPbr                                                                   0x9c9a34c6                                         
AppxCleanupOrphanPackages                                                                            0x826612ad                                         
AppxCleanupSystemAppsMigratedToFOD                                                                   0xa1a6e8a8                                         
AppxCleanupWCIReparsePoints                                                                          0xe17704b8                                         
AppxCreateSharedLocalFolder                                                                          0x5ffcc7d0                                         
AppxCreateSharedLocalFolderForFamilyName                                                             0x489dfffa                                         
AppxDeletePackageFiles                                                                               0x85bb8c90                                         
AppxDestagePackage                                                                                   0xfef6aa67                                         
AppxDoesSharedLocalFolderExistForFamilyName                                                          0xd131affe                                         
AppxGetPackageInstalledLocation                                                                      0xda8aab03                                         
AppxGetStagedPackageFullNameFromFamilyName                                                           0x8e001a4d                                         
AppxIsStagedPackageStoreSigned                                                                       0xfab62aa5                                         
AppxPackageRepositoryRecoverStagedPackages                                                           0xfe9e1557                                         
AppxPackageRepositoryRecoverUserInstalls                                                             0x5d080ca9                                         
AppxPreRegisterAllInboxPackages                                                                      0x9e574922                                         
AppxPreRegisterPackage                                                                               0x46bdba56                                         
AppxPreStageCleanupRunTask                                                                           0x8a560429                                         
AppxRecoverUserInstallsForUpgrade                                                                    0xba6aa92c                                         
AppxRegisterPackage                                                                                  0xccc32a8f                                         
AppxRemoveAllPackagesForUserSid                                                                      0x9560230a                                         
AppxRemovePackageForAllUsers                                                                         0xd378304a                                         
AppxRemovePackageForUserSid                                                                          0x5027a03e                                         
AppxRequestRemovePackageForUser                                                                      0xa7dfd247                                         
AppxResetPackage                                                                                     0x7e16a76d                                         
AppxStagePackage                                                                                     0x47d7d81e                                         
AppxSvcPrepareForSysprepGeneralize                                                                   0x9f301ebc                                         
AppxValidatePackages                                                                                 0xbf4954e7                                         
AppxValidatePackagesWithOptions                                                                      0x92c8010f                                         
CheckAppInstallerUpdateAvailability                                                                  0xfe570450                                         
CheckComCallerHasCapabilities                                                                        0x9ac35bfb                                         
CheckForUpdatesAndWaitForInstallerIfNeeded                                                           0xccf31711                                         
CleanupProfileForUser                                                                                0x23615b04                                         
ClientDeleteAllPackagesFromMainPackageArray                                                          0xa9dae1d3                                         
ClientExistsAnyPackageToBeInstalledForUser                                                           0x886e29e8                                         
ClientGetAllPackagesToBeInstalledForUser                                                             0x32f301cc                                         
CreateCanonicalPriFile                                                                               0xf43a9a8c                                         
DeleteApplicabilityInfoArray                                                                         0x17479e6a                                         
DeleteAutoUpdateSettings                                                                             0xbc800c85                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetActivationFactory                                                                              0xb8e9118b                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
EnsurePackageFamilyIsRegisteredBeforeActivation                                                      0xffebe174                                         
ExistPackagesPendingDeferredRemovalForUser                                                           0x3f5c97b3                                         
FixJunctionsForAppsIfNecessary                                                                       0xc1251220                                         
FreeApplicationSecret                                                                                0x23633041                                         
GeneratePreInstalledPriFiles                                                                         0x70f48095                                         
GetApplicability                                                                                     0x3f03882c                                         
GetApplicability2                                                                                    0x1f748dde                                         
GetApplicability4                                                                                    0x1f748de0                                         
GetApplicability5                                                                                    0x1f748de1                                         
GetApplicationSecret                                                                                 0xe8deb5ff                                         
GetBundleApplicablePackages                                                                          0x1e90784b                                         
GetMetadataRootForPackage                                                                            0xb77eb11d                                         
GetNotificationPayload                                                                               0xf3020116                                         
GetNotificationPayloadForUser                                                                        0xe3d7e33c                                         
GetPackageRegistrationStatusForUser                                                                  0xe3f23476                                         
GetPackageRegistrationStatusForUserAndDefaultAccount                                                 0xaee8da7b                                         
HasPackageFamilyBeenRegisteredForUser                                                                0xc951f2fd                                         
IsPackageInstalled                                                                                   0x329f95ed                                         
IsPackageMetadataUnderSystemMetadata                                                                 0x748e6cd2                                         
IsSharedAppsEnabled                                                                                  0x5889c717                                         
MSIXForceReRegisterPackage                                                                           0x438ed83d                                         
MsixAppxAllUserStoreIsInboxPackage                                                                   0x15b0faac                                         
MsixEnsurePackageIsRegistered                                                                        0x3bb1cc8e                                         
MsixGetOutdatedPackagesForUser                                                                       0x2f0fea45                                         
MsixIsPackageFeatureSupported                                                                        0x2fd7c580                                         
MsixIsPackageRegisteredOrNewerAvailable                                                              0xc6ec64df                                         
MsixIsPackageRegistrationPending                                                                     0xdcedbe2e                                         
MsixIsPayloadFileStaged                                                                              0xb4ea8ac4                                         
MsixPackageVolumeIsRepairNeeded                                                                      0x74493bee                                         
MsixPackageVolumeRepair                                                                              0x35bd62cd                                         
MsixPreRegisterPackagesIfNeeded                                                                      0xdb4dec05                                         
MsixPreRegisterUupProducts                                                                           0x35205020                                         
MsixRemovePackageByUriAsync                                                                          0x6a4a9bc9                                         
MsixRepairPackageAsync                                                                               0x688cb093                                         
MsixResetPackageAsync                                                                                0xa78b2a93                                         
NotifyPackageStatusChanged                                                                           0xe46e8078                                         
PauseAutoUpdateSettings                                                                              0x875ecb10                                         
PopulateProtocolAndFTA                                                                               0x5202b38f                                         
RDSRecoverRequests                                                                                   0x3d8e66e0                                         
ReArmAppxPreStageCleanupTask                                                                         0xfb40616b                                         
RegisterNotification                                                                                 0x03c71dd1                                         
RegisterNotificationForUser                                                                          0x8c5bff97                                         
RemoveDeferredPackages                                                                               0x19d6dfd3                                         
RepairPackageFileAcls                                                                                0x108634f7                                         
RequestContentGroups                                                                                 0x33bca4a9                                         
RequestContentGroupsForFullTrust                                                                     0x47cf2f85                                         
ResetApplicationSecrets                                                                              0x23e9ed15                                         
ScheduleAppInstallerBackgroundUpdate                                                                 0x4a8ce184                                         
SetApplicationSecret                                                                                 0x7ab4e28b                                         
UnregisterNotification                                                                               0x18b9ca14                                         
