DLL Path: C:\Windows\System32\DriverStore\FileRepository\cvusbdrv.inf_amd64_df64fee291ac1ff3\bin\bcmbipdll.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BIP_SetVersion                                                                                       0xe0d64c51                                         
CCM_CreateContainer                                                                                  0x9745a26e                                         
CCM_DeleteContainer                                                                                  0x27b0db0d                                         
CCM_GetContainerInfo                                                                                 0x53442326                                         
CCM_GetInfo                                                                                          0xe4aa1503                                         
CCM_ListObjects                                                                                      0x2fab9c7d                                         
COS_CVDecrypt                                                                                        0x4aef927d                                         
COS_CVEncrypt                                                                                        0xace83ce7                                         
COS_CVGetRandom                                                                                      0xf2d8d343                                         
COS_CVHOTPUnblock                                                                                    0x34dc890b                                         
COS_CVHash                                                                                           0x03944f66                                         
COS_CVHashObject                                                                                     0x067889fd                                         
COS_CVHmac                                                                                           0x0394801b                                         
COS_CVOtpGetMac                                                                                      0x21516b26                                         
COS_CVOtpGetValue                                                                                    0xbbfbdef2                                         
COS_CVSign                                                                                           0x039a7813                                         
COS_CVVerify                                                                                         0x5ad5e137                                         
COS_GetInfo                                                                                          0xd0138895                                         
CSS_AuthenticateSetFeatures                                                                          0x36ec4a37                                         
CSS_AuthorizeSessionObject                                                                           0xf98f1da3                                         
CSS_Bind                                                                                             0x0e88f5ca                                         
CSS_CVInit                                                                                           0xd586d5da                                         
CSS_ChallengeSuper                                                                                   0x7fd01bbf                                         
CSS_ChangeAuthObject                                                                                 0xd5f99cbc                                         
CSS_CheckSensorFirmwareUpgradable                                                                    0xa94eb9f9                                         
CSS_ContactlessRegisterEvent                                                                         0x4d42b197                                         
CSS_CreateObject                                                                                     0xa43fa378                                         
CSS_CreateObjectGUID                                                                                 0x39fd01a1                                         
CSS_DeauthorizeSessionObject                                                                         0x8ba90eec                                         
CSS_DeleteObject                                                                                     0xfdb98877                                         
CSS_DuplicateObject                                                                                  0x381a8d9f                                         
CSS_EnableAndLockRadio                                                                               0x3b65c53f                                         
CSS_EnableFingerprint                                                                                0x5064291c                                         
CSS_EnableNFC                                                                                        0xcfd6462b                                         
CSS_EnableRadio                                                                                      0x1ed84783                                         
CSS_EnableSmartcard                                                                                  0x8f1ae3b5                                         
CSS_EnableWBDI                                                                                       0xcaa3ea5a                                         
CSS_EraseFpEnrollmentsStatusAndClearStatus                                                           0x0ba668e8                                         
CSS_ExportObject                                                                                     0x5bbaedc6                                         
CSS_FingerprintCapture                                                                               0x0b18d609                                         
CSS_FingerprintCaptureCancel                                                                         0x8410680f                                         
CSS_FingerprintCaptureGetResult                                                                      0x2c5449c8                                         
CSS_FingerprintCaptureStart                                                                          0x052c3d37                                         
CSS_FingerprintCaptureWait                                                                           0xf868121e                                         
CSS_FingerprintCommitEnrollment                                                                      0xf56c555e                                         
CSS_FingerprintCommitEnrollmentSecure                                                                0x79728545                                         
CSS_FingerprintCommitFeatureSet                                                                      0xc7014a36                                         
CSS_FingerprintCreateFeatureSet                                                                      0x6867b8c1                                         
CSS_FingerprintCreateTemplate                                                                        0x01be2d65                                         
CSS_FingerprintDiscardEnrollment                                                                     0xed1a94af                                         
CSS_FingerprintEnroll                                                                                0xb8594341                                         
CSS_FingerprintIdentify                                                                              0xc49746b1                                         
