DLL Path: C:\Windows\System32\DriverStore\FileRepository\iacamera64.inf_amd64_9ca40c8a0728be0c\pvl_perspective_control64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
pvl_perspective_control_create                                                                       0x36282f13                                         
pvl_perspective_control_destroy                                                                      0x2adcf989                                         
pvl_perspective_control_enhance_contrast                                                             0x9949a47e                                         
pvl_perspective_control_get_available_correction_range                                               0x54473fa2                                         
pvl_perspective_control_get_default_config                                                           0x9ce980b8                                         
pvl_perspective_control_get_primary_lines                                                            0x6f5c429c                                         
pvl_perspective_control_get_quadrangle                                                               0xf8384342                                         
pvl_perspective_control_get_warped_image                                                             0x211351a3                                         
pvl_perspective_control_process_frame                                                                0x2f702368                                         
pvl_perspective_control_process_image                                                                0x2fa3ae40                                         
pvl_perspective_control_reset                                                                        0x0a6e9ba2                                         
pvl_perspective_control_set_control_mode                                                             0x591df7af                                         
pvl_perspective_control_set_correction_value                                                         0xe1aa0ede                                         
pvl_perspective_control_set_primary_lines                                                            0x5192daa8                                         
pvl_perspective_control_set_quadrangle                                                               0xbf3af6ce                                         
