DLL Path: C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_e09549ff94cfc588\lib\concrt140.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$_SpinWait@$00@details@Concurrency@@QEAA@P6AXXZ@Z                                                0x5676093c                                         
??0?$_SpinWait@$0A@@details@Concurrency@@QEAA@P6AXXZ@Z                                               0x0e5d370d                                         
??0SchedulerPolicy@Concurrency@@QEAA@AEBV01@@Z                                                       0xaac50abe                                         
??0SchedulerPolicy@Concurrency@@QEAA@XZ                                                              0x52a21cb7                                         
??0SchedulerPolicy@Concurrency@@QEAA@_KZZ                                                            0x839fc943                                         
??0_Cancellation_beacon@details@Concurrency@@QEAA@XZ                                                 0x9bb8a221                                         
??0_Concurrent_queue_base_v4@details@Concurrency@@IEAA@_K@Z                                          0xd3005ea1                                         
??0_Concurrent_queue_iterator_base_v4@details@Concurrency@@IEAA@AEBV_Concurrent_queue_base_v4@12@@Z  0x6e0c79ca                                         
??0_Condition_variable@details@Concurrency@@QEAA@XZ                                                  0x2b589e59                                         
??0_Context@details@Concurrency@@QEAA@PEAVContext@2@@Z                                               0xaad3773d                                         
??0_NonReentrantBlockingLock@details@Concurrency@@QEAA@XZ                                            0x2a0b019d                                         
??0_NonReentrantPPLLock@details@Concurrency@@QEAA@XZ                                                 0x662b9a00                                         
??0_ReaderWriterLock@details@Concurrency@@QEAA@XZ                                                    0x99bc74c6                                         
??0_ReentrantBlockingLock@details@Concurrency@@QEAA@XZ                                               0xf0157392                                         
??0_ReentrantLock@details@Concurrency@@QEAA@XZ                                                       0xba1d8889                                         
??0_ReentrantPPLLock@details@Concurrency@@QEAA@XZ                                                    0xf204bed5                                         
??0_Runtime_object@details@Concurrency@@QEAA@H@Z                                                     0x90962597                                         
??0_Runtime_object@details@Concurrency@@QEAA@XZ                                                      0xdd97f3c7                                         
??0_Scheduler@details@Concurrency@@QEAA@PEAVScheduler@2@@Z                                           0x3a681671                                         
??0_Scoped_lock@_NonReentrantPPLLock@details@Concurrency@@QEAA@AEAV123@@Z                            0x8fa49a60                                         
??0_Scoped_lock@_ReentrantPPLLock@details@Concurrency@@QEAA@AEAV123@@Z                               0x34abc255                                         
??0_SpinLock@details@Concurrency@@QEAA@AECJ@Z                                                        0xf31b1e6b                                         
??0_StructuredTaskCollection@details@Concurrency@@QEAA@PEAV_CancellationTokenState@12@@Z             0x443d5c86                                         
??0_TaskCollection@details@Concurrency@@QEAA@PEAV_CancellationTokenState@12@@Z                       0x316809d1                                         
??0_TaskCollection@details@Concurrency@@QEAA@XZ                                                      0xc4ab924c                                         
??0_Timer@details@Concurrency@@IEAA@I_N@Z                                                            0xcdee15e4                                         
??0agent@Concurrency@@QEAA@AEAVScheduleGroup@1@@Z                                                    0x53028c67                                         
??0agent@Concurrency@@QEAA@AEAVScheduler@1@@Z                                                        0x1ced99cc                                         
??0agent@Concurrency@@QEAA@XZ                                                                        0xf3a48ef7                                         
??0bad_target@Concurrency@@QEAA@PEBD@Z                                                               0x06f76b58                                         
??0bad_target@Concurrency@@QEAA@XZ                                                                   0x522c9595                                         
??0context_self_unblock@Concurrency@@QEAA@PEBD@Z                                                     0x51324526                                         
??0context_self_unblock@Concurrency@@QEAA@XZ                                                         0x8196b863                                         
??0context_unblock_unbalanced@Concurrency@@QEAA@PEBD@Z                                               0x25d3bfe9                                         
??0context_unblock_unbalanced@Concurrency@@QEAA@XZ                                                   0xaf9b49a6                                         
??0critical_section@Concurrency@@QEAA@XZ                                                             0x1300f627                                         
??0default_scheduler_exists@Concurrency@@QEAA@PEBD@Z                                                 0xa897914d                                         
??0default_scheduler_exists@Concurrency@@QEAA@XZ                                                     0x8606090a                                         
??0event@Concurrency@@QEAA@XZ                                                                        0xc59c388a                                         
??0improper_lock@Concurrency@@QEAA@PEBD@Z                                                            0xd0700ba1                                         
??0improper_lock@Concurrency@@QEAA@XZ                                                                0xa536795e                                         
??0improper_scheduler_attach@Concurrency@@QEAA@PEBD@Z                                                0x45cedc8b                                         
??0improper_scheduler_attach@Concurrency@@QEAA@XZ                                                    0xb28d6548                                         
??0improper_scheduler_detach@Concurrency@@QEAA@PEBD@Z                                                0xac20ed5f                                         
??0improper_scheduler_detach@Concurrency@@QEAA@XZ                                                    0x29f02c1c                                         
??0improper_scheduler_reference@Concurrency@@QEAA@PEBD@Z                                             0xedbb3c45                                         
??0improper_scheduler_reference@Concurrency@@QEAA@XZ                                                 0x9cdaf802                                         
??0invalid_link_target@Concurrency@@QEAA@PEBD@Z                                                      0x6b069b45                                         
??0invalid_link_target@Concurrency@@QEAA@XZ                                                          0x554ed702                                         
??0invalid_multiple_scheduling@Concurrency@@QEAA@PEBD@Z                                              0xbd15e182                                         
??0invalid_multiple_scheduling@Concurrency@@QEAA@XZ                                                  0x39c286bf                                         
??0invalid_oversubscribe_operation@Concurrency@@QEAA@PEBD@Z                                          0xb2ac7e3f                                         
??0invalid_oversubscribe_operation@Concurrency@@QEAA@XZ                                              0xfa964cfc                                         
??0invalid_scheduler_policy_key@Concurrency@@QEAA@PEBD@Z                                             0xda7e4c87                                         
??0invalid_scheduler_policy_key@Concurrency@@QEAA@XZ                                                 0xb06c3744                                         
??0invalid_scheduler_policy_thread_specification@Concurrency@@QEAA@PEBD@Z                            0x4baacfd6                                         
??0invalid_scheduler_policy_thread_specification@Concurrency@@QEAA@XZ                                0x0b956b13                                         
??0invalid_scheduler_policy_value@Concurrency@@QEAA@PEBD@Z                                           0x274832fb                                         
??0invalid_scheduler_policy_value@Concurrency@@QEAA@XZ                                               0x817d03b8                                         
??0message_not_found@Concurrency@@QEAA@PEBD@Z                                                        0x0a91f51b                                         
??0message_not_found@Concurrency@@QEAA@XZ                                                            0x56fab5d8                                         
??0missing_wait@Concurrency@@QEAA@PEBD@Z                                                             0x7adbfdd9                                         
??0missing_wait@Concurrency@@QEAA@XZ                                                                 0xdbd20f96                                         
??0nested_scheduler_missing_detach@Concurrency@@QEAA@PEBD@Z                                          0x6e4ff18d                                         
??0nested_scheduler_missing_detach@Concurrency@@QEAA@XZ                                              0x0818494a                                         
??0operation_timed_out@Concurrency@@QEAA@PEBD@Z                                                      0x306e3a25                                         
??0operation_timed_out@Concurrency@@QEAA@XZ                                                          0xecfa05e2                                         
??0reader_writer_lock@Concurrency@@QEAA@XZ                                                           0x1d1ebb9f                                         
??0scheduler_not_attached@Concurrency@@QEAA@PEBD@Z                                                   0xc358eed7                                         
??0scheduler_not_attached@Concurrency@@QEAA@XZ                                                       0x0d323194                                         
??0scheduler_resource_allocation_error@Concurrency@@QEAA@J@Z                                         0xd7ca3f8e                                         
??0scheduler_resource_allocation_error@Concurrency@@QEAA@PEBDJ@Z                                     0x02d6cf49                                         
??0scheduler_worker_creation_error@Concurrency@@QEAA@J@Z                                             0x8554164f                                         
??0scheduler_worker_creation_error@Concurrency@@QEAA@PEBDJ@Z                                         0x7b001e8a                                         
??0scoped_lock@critical_section@Concurrency@@QEAA@AEAV12@@Z                                          0x39475fd5                                         
??0scoped_lock@reader_writer_lock@Concurrency@@QEAA@AEAV12@@Z                                        0x5bbbc7cd                                         
??0scoped_lock_read@reader_writer_lock@Concurrency@@QEAA@AEAV12@@Z                                   0xaaf383a8                                         
??0unsupported_os@Concurrency@@QEAA@PEBD@Z                                                           0x6390a795                                         
??0unsupported_os@Concurrency@@QEAA@XZ                                                               0x0e9f3b52                                         
??1SchedulerPolicy@Concurrency@@QEAA@XZ                                                              0x022df938                                         
??1_Cancellation_beacon@details@Concurrency@@QEAA@XZ                                                 0x02070842                                         
??1_Concurrent_queue_base_v4@details@Concurrency@@MEAA@XZ                                            0x2f367d34                                         
??1_Concurrent_queue_iterator_base_v4@details@Concurrency@@IEAA@XZ                                   0x4a03ce19                                         
??1_Concurrent_vector_base_v4@details@Concurrency@@IEAA@XZ                                           0x2b8dadfe                                         
??1_Condition_variable@details@Concurrency@@QEAA@XZ                                                  0x2e72445a                                         
??1_NonReentrantBlockingLock@details@Concurrency@@QEAA@XZ                                            0xec43645e                                         
??1_ReentrantBlockingLock@details@Concurrency@@QEAA@XZ                                               0x2395e5f3                                         
??1_Scoped_lock@_NonReentrantPPLLock@details@Concurrency@@QEAA@XZ                                    0x9a55f206                                         
??1_Scoped_lock@_ReentrantPPLLock@details@Concurrency@@QEAA@XZ                                       0x6010a49b                                         
??1_SpinLock@details@Concurrency@@QEAA@XZ                                                            0x7554ef71                                         
??1_StructuredTaskCollection@details@Concurrency@@QEAA@XZ                                            0xebcb8a62                                         
??1_TaskCollection@details@Concurrency@@QEAA@XZ                                                      0x73085fcd                                         
??1_Timer@details@Concurrency@@MEAA@XZ                                                               0x4556984b                                         
??1agent@Concurrency@@UEAA@XZ                                                                        0x3b06993c                                         
??1critical_section@Concurrency@@QEAA@XZ                                                             0xb40862c8                                         
??1event@Concurrency@@QEAA@XZ                                                                        0xd9154fcb                                         
??1reader_writer_lock@Concurrency@@QEAA@XZ                                                           0x1db3d480                                         
??1scoped_lock@critical_section@Concurrency@@QEAA@XZ                                                 0x43bab88e                                         
??1scoped_lock@reader_writer_lock@Concurrency@@QEAA@XZ                                               0x6352b3c6                                         
??1scoped_lock_read@reader_writer_lock@Concurrency@@QEAA@XZ                                          0x16c384a1                                         
??4?$_SpinWait@$00@details@Concurrency@@QEAAAEAV012@$$QEAV012@@Z                                     0x0fae64a7                                         
??4?$_SpinWait@$00@details@Concurrency@@QEAAAEAV012@AEBV012@@Z                                       0x1419a370                                         
??4?$_SpinWait@$0A@@details@Concurrency@@QEAAAEAV012@$$QEAV012@@Z                                    0x931e7e58                                         
??4?$_SpinWait@$0A@@details@Concurrency@@QEAAAEAV012@AEBV012@@Z                                      0x44a59ce1                                         
??4SchedulerPolicy@Concurrency@@QEAAAEAV01@AEBV01@@Z                                                 0x6fdd6500                                         
??_F?$_SpinWait@$00@details@Concurrency@@QEAAXXZ                                                     0x8b3cc570                                         
??_F?$_SpinWait@$0A@@details@Concurrency@@QEAAXXZ                                                    0x44d53121                                         
??_F_Context@details@Concurrency@@QEAAXXZ                                                            0x43af57df                                         
??_F_Scheduler@details@Concurrency@@QEAAXXZ                                                          0x8ec0de79                                         
?AgentEventGuid@Concurrency@@3U_GUID@@B                                                              0xca03609b                                         
?Alloc@Concurrency@@YAPEAX_K@Z                                                                       0xa45f06e6                                         
?Block@Context@Concurrency@@SAXXZ                                                                    0xba21925d                                         
?ChoreEventGuid@Concurrency@@3U_GUID@@B                                                              0x9edf5d3d                                         
?ConcRTEventGuid@Concurrency@@3U_GUID@@B                                                             0x924d3015                                         
?ConcRT_ProviderGuid@Concurrency@@3U_GUID@@B                                                         0xba67b65d                                         
?ContextEventGuid@Concurrency@@3U_GUID@@B                                                            0xfd301d91                                         
?Create@CurrentScheduler@Concurrency@@SAXAEBVSchedulerPolicy@2@@Z                                    0xa651970a                                         
?Create@Scheduler@Concurrency@@SAPEAV12@AEBVSchedulerPolicy@2@@Z                                     0x4e71239e                                         
?CreateResourceManager@Concurrency@@YAPEAUIResourceManager@1@XZ                                      0x9559719a                                         
?CreateScheduleGroup@CurrentScheduler@Concurrency@@SAPEAVScheduleGroup@2@AEAVlocation@2@@Z           0x7d15074d                                         
?CreateScheduleGroup@CurrentScheduler@Concurrency@@SAPEAVScheduleGroup@2@XZ                          0xd50b919d                                         
?CurrentContext@Context@Concurrency@@SAPEAV12@XZ                                                     0xcc9a53b1                                         
?Detach@CurrentScheduler@Concurrency@@SAXXZ                                                          0x6120de78                                         
?DisableTracing@Concurrency@@YAJXZ                                                                   0x71549621                                         
?EnableTracing@Concurrency@@YAJXZ                                                                    0x352f9ef4                                         
?Free@Concurrency@@YAXPEAX@Z                                                                         0x2dc25aeb                                         
?Get@CurrentScheduler@Concurrency@@SAPEAVScheduler@2@XZ                                              0x2f7b9fd4                                         
?GetExecutionContextId@Concurrency@@YAIXZ                                                            0x4a47958a                                         
?GetNumberOfVirtualProcessors@CurrentScheduler@Concurrency@@SAIXZ                                    0xf2b00678                                         
?GetOSVersion@Concurrency@@YA?AW4OSVersion@IResourceManager@1@XZ                                     0x87320a33                                         
?GetPolicy@CurrentScheduler@Concurrency@@SA?AVSchedulerPolicy@2@XZ                                   0xe6f0c77e                                         
?GetPolicyValue@SchedulerPolicy@Concurrency@@QEBAIW4PolicyElementKey@2@@Z                            0x89db1687                                         
?GetProcessorCount@Concurrency@@YAIXZ                                                                0x8c84c76d                                         
?GetProcessorNodeCount@Concurrency@@YAIXZ                                                            0x19e2e673                                         
?GetSchedulerId@Concurrency@@YAIXZ                                                                   0x992edd70                                         
?GetSharedTimerQueue@details@Concurrency@@YAPEAXXZ                                                   0x2a368e2c                                         
?Id@Context@Concurrency@@SAIXZ                                                                       0xf070ae10                                         
?Id@CurrentScheduler@Concurrency@@SAIXZ                                                              0x9e403d0d                                         
?IsAvailableLocation@CurrentScheduler@Concurrency@@SA_NAEBVlocation@2@@Z                             0xb298a68b                                         
?IsCurrentTaskCollectionCanceling@Context@Concurrency@@SA_NXZ                                        0xeea47c69                                         
?LockEventGuid@Concurrency@@3U_GUID@@B                                                               0x7cdd2175                                         
?Log2@details@Concurrency@@YAK_K@Z                                                                   0x53e21292                                         
?NFS_Allocate@details@Concurrency@@YAPEAX_K0PEAX@Z                                                   0x7ee97aca                                         
