DLL Path: C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_e09549ff94cfc588\lib\libssl-3-x64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BIO_f_ssl                                                                                            0xff360835                                         
BIO_new_buffer_ssl_connect                                                                           0xe2346a5b                                         
BIO_new_ssl                                                                                          0x1ae75ab9                                         
BIO_new_ssl_connect                                                                                  0x7bb3b3a2                                         
BIO_ssl_copy_session_id                                                                              0xd1d41959                                         
BIO_ssl_shutdown                                                                                     0x8522200b                                         
DTLS_client_method                                                                                   0xae3a5c7a                                         
DTLS_get_data_mtu                                                                                    0x867d3e09                                         
DTLS_method                                                                                          0x704f055c                                         
DTLS_server_method                                                                                   0x5195c692                                         
DTLS_set_timer_cb                                                                                    0xedd345ab                                         
DTLSv1_2_client_method                                                                               0xe7615612                                         
DTLSv1_2_method                                                                                      0x0c9e19f4                                         
DTLSv1_2_server_method                                                                               0x8abcc02a                                         
DTLSv1_client_method                                                                                 0x66853321                                         
DTLSv1_listen                                                                                        0xf773f8b1                                         
DTLSv1_method                                                                                        0xf98119e3                                         
DTLSv1_server_method                                                                                 0x09e09d39                                         
ERR_load_SSL_strings                                                                                 0x1e92bc87                                         
OPENSSL_cipher_name                                                                                  0xf749f723                                         
OPENSSL_init_ssl                                                                                     0x30ed394d                                         
OSSL_QUIC_client_method                                                                              0x4c113e15                                         
OSSL_QUIC_client_thread_method                                                                       0x2135eb4c                                         
OSSL_default_cipher_list                                                                             0xa20d993f                                         
OSSL_default_ciphersuites                                                                            0x130acd01                                         
PEM_read_SSL_SESSION                                                                                 0x1c08c236                                         
PEM_read_bio_SSL_SESSION                                                                             0x245c778f                                         
PEM_write_SSL_SESSION                                                                                0xaf270ce5                                         
PEM_write_bio_SSL_SESSION                                                                            0x5dee81be                                         
SRP_Calc_A_param                                                                                     0x2e58de9c                                         
SSL_CIPHER_description                                                                               0x22c75f94                                         
SSL_CIPHER_find                                                                                      0xe6ff29d1                                         
SSL_CIPHER_get_auth_nid                                                                              0x3477e99b                                         
SSL_CIPHER_get_bits                                                                                  0x096690a1                                         
SSL_CIPHER_get_cipher_nid                                                                            0x21935184                                         
SSL_CIPHER_get_digest_nid                                                                            0x112b1a49                                         
SSL_CIPHER_get_handshake_digest                                                                      0xf2349115                                         
SSL_CIPHER_get_id                                                                                    0xa580eb9c                                         
SSL_CIPHER_get_kx_nid                                                                                0x134f8ecc                                         
SSL_CIPHER_get_name                                                                                  0x096d0230                                         
SSL_CIPHER_get_protocol_id                                                                           0xbc949ded                                         
SSL_CIPHER_get_version                                                                               0xa10a91f5                                         
SSL_CIPHER_is_aead                                                                                   0x0ec01696                                         
SSL_CIPHER_standard_name                                                                             0xf5f089c1                                         
SSL_COMP_add_compression_method                                                                      0x124db7de                                         
SSL_COMP_get0_name                                                                                   0xb656ecd4                                         
SSL_COMP_get_compression_methods                                                                     0x90c25f48                                         
SSL_COMP_get_id                                                                                      0x06b27a90                                         
SSL_COMP_get_name                                                                                    0x7d3e1e24                                         
SSL_COMP_set0_compression_methods                                                                    0x12d10a84                                         
SSL_CONF_CTX_clear_flags                                                                             0x429aae3c                                         
SSL_CONF_CTX_finish                                                                                  0xf410942a                                         
SSL_CONF_CTX_free                                                                                    0x42fca24b                                         
SSL_CONF_CTX_new                                                                                     0x575d1d93                                         
SSL_CONF_CTX_set1_prefix                                                                             0x74f95493                                         
SSL_CONF_CTX_set_flags                                                                               0x7a3bf901                                         
SSL_CONF_CTX_set_ssl                                                                                 0x55eaa5c6                                         
SSL_CONF_CTX_set_ssl_ctx                                                                             0xf2e9e554                                         
SSL_CONF_cmd                                                                                         0x33782a8f                                         
SSL_CONF_cmd_argv                                                                                    0x6ba2573e                                         
SSL_CONF_cmd_value_type                                                                              0xa7dd6cec                                         
SSL_CTX_SRP_CTX_free                                                                                 0xf2112308                                         
SSL_CTX_SRP_CTX_init                                                                                 0xf212b7ba                                         
SSL_CTX_add1_to_CA_list                                                                              0x2d7ec53e                                         
SSL_CTX_add_client_CA                                                                                0x48ab93ee                                         
SSL_CTX_add_client_custom_ext                                                                        0xbca5c515                                         
SSL_CTX_add_custom_ext                                                                               0x35910017                                         
SSL_CTX_add_server_custom_ext                                                                        0x15587b2d                                         
SSL_CTX_add_session                                                                                  0x4d657cb0                                         
