DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igdext32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
D3D11CreateDeviceExtensionContext                                                                    0xe47e5448                                         
D3D11CreateDeviceExtensionContext1                                                                   0x7448dd79                                         
D3D11D3D12DestroyDeviceExtensionContext2                                                             0x64301aae                                         
D3D11DestroyDeviceExtensionContext                                                                   0x20d80b9e                                         
D3D11EnumInternalExtensions                                                                          0x480ad944                                         
D3D11GetSupportedVersions                                                                            0xb7e21f01                                         
D3D11GetSupportedVersions2                                                                           0xb425ff53                                         
D3D12CreateDeviceExtensionContext                                                                    0xba9a3fc9                                         
D3D12DestroyDeviceExtensionContext                                                                   0xba71673f                                         
D3D12EnumInternalExtensions                                                                          0x10407805                                         
D3D12GetSupportedVersions                                                                            0x08ef1982                                         
D3D12GetSupportedVersions2                                                                           0x26d249f4                                         
_INTC_CreateDeviceExtensionContext                                                                   0xa8987877                                         
_INTC_CreateDeviceExtensionContext1                                                                  0xbba78788                                         
_INTC_D3D11_BeginUAVOverlap                                                                          0x9d78ea97                                         
_INTC_D3D11_CreateDeviceExtensionContext                                                             0x480f6893                                         
_INTC_D3D11_CreateDeviceExtensionContext1                                                            0x49fc7b24                                         
_INTC_D3D11_CreateTexture2D                                                                          0x4b224308                                         
_INTC_D3D11_EndUAVOverlap                                                                            0xe43d8e49                                         
_INTC_D3D11_GetSupportedVersions                                                                     0xdf15184c                                         
_INTC_D3D11_INT_CreateDeviceExtensionContext                                                         0xaabfc8bd                                         
_INTC_D3D11_INT_EnumExtensions                                                                       0xb8cca6bc                                         
_INTC_D3D11_INT_FindInternalExtensionsVersion                                                        0x9eaa7e4b                                         
_INTC_D3D11_MultiDrawIndexedInstancedIndirect                                                        0x9c876292                                         
_INTC_D3D11_MultiDrawIndexedInstancedIndirectCountIndirect                                           0xbb84d9ed                                         
_INTC_D3D11_MultiDrawInstancedIndirect                                                               0x0b2dda71                                         
_INTC_D3D11_MultiDrawInstancedIndirectCountIndirect                                                  0xbfa6e42c                                         
_INTC_D3D11_RegisterApplicationCallbacks                                                             0x1500aa86                                         
_INTC_D3D11_SetDepthBounds                                                                           0x17479839                                         
_INTC_D3D11_XessCreateContext                                                                        0x7f9b96a9                                         
_INTC_D3D11_XessDestroyContext                                                                       0x5b43f67f                                         
_INTC_D3D11_XessExecute                                                                              0xc8fd8303                                         
_INTC_D3D11_XessForceLegacyScaleFactors                                                              0x7646c68e                                         
_INTC_D3D11_XessGetExposureMultiplier                                                                0xdd2e4372                                         
_INTC_D3D11_XessGetInitParams                                                                        0x18f2fba8                                         
_INTC_D3D11_XessGetInputResolution                                                                   0xac5854f4                                         
_INTC_D3D11_XessGetIntelXeFXVersion                                                                  0x5048082d                                         
