DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igfxcmrt32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CM_AVS_STATE_MSG_EX@@QAE@XZ                                                                       0xde8b0937                                         
??0CM_FLAG@@QAE@XZ                                                                                   0xc5efff65                                         
?CloneKernel@CmDevice_RT@@UAEHAAPAVCmKernel@@PAV2@@Z                                                 0xf9493a0b                                         
?CreateBuffer@CmDevice_RT@@UAEHIAAPAVCmBuffer@@@Z                                                    0x7239d7d0                                         
?CreateBufferAlias@CmDevice_RT@@UAEHPAVCmBuffer@@AAPAVSurfaceIndex@@@Z                               0x5a1f3859                                         
?CreateBufferSVM@CmDevice_RT@@UAEHIAAPAXIAAPAVCmBufferSVM@@@Z                                        0x0075cad0                                         
?CreateBufferStateless@CmDevice_RT@@UAEHIIPAXAAPAVCmBufferStateless@@@Z                              0x72a95cb2                                         
?CreateBufferUP@CmDevice_RT@@UAEHIPAXAAPAVCmBufferUP@@@Z                                             0x61ee2803                                         
?CreateHevcVmeSurfaceG10@CmDevice_RT@@UAEHPAVCmSurface2D@@PAPAV2@1IIAAPAVSurfaceIndex@@@Z            0x98d28466                                         
?CreateKernel@CmDevice_RT@@UAEHPAVCmProgram@@PBDAAPAVCmKernel@@1@Z                                   0x4ca4288b                                         
?CreateKernel@CmDevice_RT@@UAEHPAVCmProgram@@PBDPBXAAPAVCmKernel@@1@Z                                0x0edb3275                                         
?CreateQueue@CmDevice_RT@@UAEHAAPAVCmQueue@@@Z                                                       0x859dfb9d                                         
?CreateQueueEx@CmDevice_RT@@UAEHAAPAVCmQueue@@UCM_QUEUE_CREATE_OPTION@@@Z                            0xa713956e                                         
?CreateSampler8x8@CmDevice_RT@@UAEHABUCM_SAMPLER_8X8_DESCR@@AAPAVCmSampler8x8@@@Z                    0xeef8ee7d                                         
?CreateSampler8x8Surface@CmDevice_RT@@UAEHPAVCmSurface2D@@AAPAVSurfaceIndex@@W4_CM_SAMPLER8x8_SURFACE_@@W4_CM_SURFACE_ADDRESS_CONTROL_MODE_@@@Z 0x1adb7925                                         
?CreateSampler8x8SurfaceEx@CmDevice_RT@@UAEHPAVCmSurface2D@@AAPAVSurfaceIndex@@W4_CM_SAMPLER8x8_SURFACE_@@W4_CM_SURFACE_ADDRESS_CONTROL_MODE_@@PAUCM_FLAG@@@Z 0x7d9adcb1                                         
?CreateSampler@CmDevice_RT@@UAEHABU_CM_SAMPLER_STATE@@AAPAVCmSampler@@@Z                             0x69088335                                         
?CreateSamplerEx@CmDevice_RT@@UAEHABU_CM_SAMPLER_STATE_EX@@AAPAVCmSampler@@@Z                        0x63d3894e                                         
?CreateSamplerSurface2D@CmDevice_RT@@UAEHPAVCmSurface2D@@AAPAVSurfaceIndex@@@Z                       0x424b06cd                                         
?CreateSamplerSurface2DEx@CmDevice_RT@@UAEHPAVCmSurface2D@@AAPAVSurfaceIndex@@PAUCM_FLAG@@@Z         0xdc49e9d9                                         
?CreateSamplerSurface2DUP@CmDevice_RT@@UAEHPAVCmSurface2DUP@@AAPAVSurfaceIndex@@@Z                   0x917a8057                                         
?CreateSamplerSurface3D@CmDevice_RT@@UAEHPAVCmSurface3D@@AAPAVSurfaceIndex@@@Z                       0x203f70cf                                         
?CreateSurface2D@CmDevice_RT@@UAEHIIW4_D3DFORMAT@@AAPAVCmSurface2D@@@Z                               0x0b44a7b1                                         
?CreateSurface2D@CmDevice_RT@@UAEHPAPAUIDirect3DSurface9@@IPAPAVCmSurface2D@@@Z                      0xa13de3bd                                         
?CreateSurface2D@CmDevice_RT@@UAEHPAUIDirect3DSurface9@@AAPAVCmSurface2D@@@Z                         0x5e2b7354                                         
?CreateSurface2DAlias@CmDevice_RT@@UAEHPAVCmSurface2D@@AAPAVSurfaceIndex@@@Z                         0x5e3fdc63                                         
?CreateSurface2DStateless@CmDevice_RT@@UAEHIIAAIAAPAVCmSurface2DStateless@@@Z                        0x8efaae9e                                         
?CreateSurface2DUP@CmDevice_RT@@UAEHIIW4_D3DFORMAT@@PAXAAPAVCmSurface2DUP@@@Z                        0x74e7ca84                                         
?CreateSurface3D@CmDevice_RT@@UAEHIIIW4_D3DFORMAT@@AAPAVCmSurface3D@@@Z                              0x0d605bfc                                         
?CreateTask@CmDevice_RT@@UAEHAAPAVCmTask@@@Z                                                         0x6caa1c79                                         
?CreateThreadGroupSpace@CmDevice_RT@@UAEHIIIIAAPAVCmThreadGroupSpace@@@Z                             0xbc28e859                                         
?CreateThreadGroupSpaceEx@CmDevice_RT@@UAEHIIIIIIAAPAVCmThreadGroupSpace@@@Z                         0x9e43f888                                         
?CreateThreadSpace@CmDevice_RT@@UAEHIIAAPAVCmThreadSpace@@@Z                                         0x4a62e64d                                         
?CreateVebox@CmDevice_RT@@UAEHAAPAVCmVebox@@@Z                                                       0x3d53a8db                                         
?CreateVmeSurfaceG7_5@CmDevice_RT@@UAEHPAVCmSurface2D@@PAPAV2@1IIAAPAVSurfaceIndex@@@Z               0x02b5f88a                                         
?DestroyBufferSVM@CmDevice_RT@@UAEHAAPAVCmBufferSVM@@@Z                                              0xa303d989                                         
?DestroyBufferStateless@CmDevice_RT@@UAEHAAPAVCmBufferStateless@@@Z                                  0x4c45298d                                         
?DestroyBufferUP@CmDevice_RT@@UAEHAAPAVCmBufferUP@@@Z                                                0x640407e7                                         
?DestroyEvent@CmQueue_RT@@UAEHAAPAVCmEvent@@@Z                                                       0x640e7462                                         
?DestroyEventFast@CmQueue_RT@@UAEHAAPAVCmEvent@@@Z                                                   0xfcbd3090                                         
?DestroyHevcVmeSurfaceG10@CmDevice_RT@@UAEHAAPAVSurfaceIndex@@@Z                                     0xd52afa19                                         
?DestroyKernel@CmDevice_RT@@UAEHAAPAVCmKernel@@@Z                                                    0x94894b6b                                         
?DestroyProgram@CmDevice_RT@@UAEHAAPAVCmProgram@@@Z                                                  0x6b401299                                         
?DestroySampler8x8@CmDevice_RT@@UAEHAAPAVCmSampler8x8@@@Z                                            0x4c00c0c1                                         
?DestroySampler8x8Surface@CmDevice_RT@@UAEHAAPAVSurfaceIndex@@@Z                                     0x0fa1169f                                         
?DestroySampler@CmDevice_RT@@UAEHAAPAVCmSampler@@@Z                                                  0xc4d49091                                         
?DestroySamplerSurface@CmDevice_RT@@UAEHAAPAVSurfaceIndex@@@Z                                        0xf44a65f7                                         
?DestroySurface2DStateless@CmDevice_RT@@UAEHAAPAVCmSurface2DStateless@@@Z                            0x4081ab57                                         
?DestroySurface2DUP@CmDevice_RT@@UAEHAAPAVCmSurface2DUP@@@Z                                          0x46566971                                         
?DestroySurface@CmDevice_RT@@UAEHAAPAVCmBuffer@@@Z                                                   0x37f03bec                                         
?DestroySurface@CmDevice_RT@@UAEHAAPAVCmSurface2D@@@Z                                                0x6e646ff1                                         
?DestroySurface@CmDevice_RT@@UAEHAAPAVCmSurface3D@@@Z                                                0x70b99892                                         
?DestroyTask@CmDevice_RT@@UAEHAAPAVCmTask@@@Z                                                        0x3bfd114f                                         
?DestroyThreadGroupSpace@CmDevice_RT@@UAEHAAPAVCmThreadGroupSpace@@@Z                                0x6ae7e54b                                         
?DestroyThreadSpace@CmDevice_RT@@UAEHAAPAVCmThreadSpace@@@Z                                          0x87aa4571                                         
?DestroyVebox@CmDevice_RT@@UAEHAAPAVCmVebox@@@Z                                                      0x2d372b31                                         
?DestroyVmeSurfaceG7_5@CmDevice_RT@@UAEHAAPAVSurfaceIndex@@@Z                                        0x740910fd                                         
?DispatchTask@CmDevice_RT@@UAEHXZ                                                                    0xad331681                                         
?Enqueue@CmQueue_RT@@UAEHPAVCmTask@@AAPAVCmEvent@@PBVCmThreadSpace@@@Z                               0x559f4434                                         
?EnqueueCopyCPUToCPU@CmQueue_RT@@UAEHPAE0IIAAPAVCmEvent@@@Z                                          0x48d8f4d4                                         
?EnqueueCopyCPUToGPU@CmQueue_RT@@UAEHPAVCmSurface2D@@PBEAAPAVCmEvent@@@Z                             0xb3d6762d                                         
?EnqueueCopyCPUToGPUFullStride@CmQueue_RT@@UAEHPAVCmSurface2D@@PBEIIIAAPAVCmEvent@@@Z                0xc6d72bc6                                         
?EnqueueCopyCPUToGPUFullStrideDup@CmQueue_RT@@UAEHPAVCmSurface2D@@PBEIIIAAPAVCmEvent@@@Z             0x1516b2ef                                         
?EnqueueCopyGPUToCPU@CmQueue_RT@@UAEHPAVCmSurface2D@@PAEAAPAVCmEvent@@@Z                             0xc0c3d68c                                         
?EnqueueCopyGPUToCPUFullStride@CmQueue_RT@@UAEHPAVCmSurface2D@@PAEIIIAAPAVCmEvent@@@Z                0x3b0dc3c5                                         
?EnqueueCopyGPUToCPUFullStrideDup@CmQueue_RT@@UAEHPAVCmSurface2D@@PAEIIIAAPAVCmEvent@@@Z             0x76c23aee                                         
?EnqueueCopyGPUToGPU@CmQueue_RT@@UAEHPAVCmSurface2D@@0IAAPAVCmEvent@@@Z                              0xdc54a873                                         
?EnqueueFast@CmQueue_RT@@UAEHPAVCmTask@@AAPAVCmEvent@@PBVCmThreadSpace@@@Z                           0x8751ed22                                         
?EnqueueInitSurface2D@CmQueue_RT@@UAEHPAVCmSurface2D@@IAAPAVCmEvent@@@Z                              0x1d2cb4c0                                         
?EnqueueReadBuffer@CmQueue_RT@@UAEHPAVCmBuffer@@IPBE_KPAVCmEvent@@AAPAV3@I@Z                         0x1c207442                                         
?EnqueueVebox@CmQueue_RT@@UAEHPAVCmVebox@@AAPAVCmEvent@@@Z                                           0xd678ac0d                                         
?EnqueueWithGroup@CmQueue_RT@@UAEHPAVCmTask@@AAPAVCmEvent@@PBVCmThreadGroupSpace@@@Z                 0x7016ec4a                                         
?EnqueueWithGroupFast@CmQueue_RT@@UAEHPAVCmTask@@AAPAVCmEvent@@PBVCmThreadGroupSpace@@@Z             0x84943678                                         
?EnqueueWithHints@CmQueue_RT@@UAEHPAVCmTask@@AAPAVCmEvent@@I@Z                                       0x78fb1de3                                         
?EnqueueWriteBuffer@CmQueue_RT@@UAEHPAVCmBuffer@@IPBE_KPAVCmEvent@@AAPAV3@I@Z                        0x32633f31                                         
?FlushPrintBuffer@CmDevice_RT@@UAEHXZ                                                                0xf5ae65a7                                         
?FlushPrintBufferIntoFile@CmDevice_RT@@UAEHPBD@Z                                                     0x4650c03f                                         
?GetCaps@CmDevice_RT@@UAEHW4_CM_DEVICE_CAP_NAME@@AAIPAX@Z                                            0x95f4749d                                         
?GetD3DDeviceManager@CmDevice_RT@@UAEHAAPAUIDirect3DDeviceManager9@@@Z                               0xf1d84b93                                         
?GetSurface2DInfo@CmDevice_RT@@UAEHIIW4_D3DFORMAT@@AAI1@Z                                            0xef76462d                                         
?GetVISAVersion@CmDevice_RT@@UAEHAAI0@Z                                                              0x2e5c259a                                         
?InitPrintBuffer@CmDevice_RT@@UAEHI@Z                                                                0x4b071faa                                         
?LoadProgram@CmDevice_RT@@UAEHPAXIAAPAVCmProgram@@PBD@Z                                              0xb4ebfaf7                                         
?SetCaps@CmDevice_RT@@UAEHW4_CM_DEVICE_CAP_NAME@@IPAX@Z                                              0xa756b247                                         
?SetL3Config@CmDevice_RT@@UAEHPBUL3ConfigRegisterValues@@@Z                                          0x3ca69898                                         
?SetResidentGroupAndParallelThreadNum@CmQueue_RT@@UAEHII@Z                                           0x18fa472c                                         
?SetSuggestedL3Config@CmDevice_RT@@UAEHW4_L3_SUGGEST_CONFIG@@@Z                                      0x3ceb2fb1                                         
?SetVmeSurfaceStateParam@CmDevice_RT@@UAEHPAVSurfaceIndex@@PAUCM_VME_SURFACE_STATE_PARAM@@@Z         0xc0b2d492                                         
CMRT_CreateBuffer                                                                                    0xc1c48568                                         
CMRT_CreateKernel                                                                                    0xd5a8218f                                         
CMRT_CreateQueue                                                                                     0x3d3c2b73                                         
CMRT_CreateSurface2D                                                                                 0x3c1adf2d                                         
CMRT_CreateSurface3D                                                                                 0x3c1adf4e                                         
CMRT_CreateTask                                                                                      0x85bd5321                                         
CMRT_CreateThreadSpace                                                                               0x1412d7b2                                         
CMRT_DestroyBuffer                                                                                   0xcaa803be                                         
CMRT_DestroyEvent                                                                                    0xb1059c86                                         
CMRT_DestroyProgram                                                                                  0x4efbf29c                                         
CMRT_DestroySurface2D                                                                                0x0364c5c3                                         
CMRT_DestroySurface3D                                                                                0x0364c5e4                                         
CMRT_DestroyTask                                                                                     0xf5e143f7                                         
CMRT_DestroyThreadSpace                                                                              0xd570bbc8                                         
CMRT_EnableGTPinMarkers                                                                              0x56427458                                         
CMRT_Enqueue                                                                                         0x3e24d572                                         
CMRT_GetCompleteTime                                                                                 0x5282fa42                                         
CMRT_GetEnqueueTime                                                                                  0x3438f0a1                                         
CMRT_GetHWEndTime                                                                                    0x9efd12df                                         
CMRT_GetHWStartTime                                                                                  0x9aabf616                                         
CMRT_GetKernelCount                                                                                  0x175f0784                                         
CMRT_GetKernelName                                                                                   0x7518309c                                         
CMRT_GetKernelThreadSpace                                                                            0xb7363f9f                                         
CMRT_GetSubmitTime                                                                                   0xd60511bd                                         
CMRT_GetSurfaceDetails                                                                               0x9d6802c9                                         
CMRT_LoadProgram                                                                                     0x216c7d92                                         
CMRT_PrepareGTPinBuffers                                                                             0xc864fa38                                         
CMRT_SetEventCallback                                                                                0x965ffc35                                         
CMRT_SetGTPinArguments                                                                               0xf386073e                                         
CMRT_SetGTPinCompileMode                                                                             0xe512e9d6                                         
CmrtCodeMarkerForGTPin_AddKernel                                                                     0x96599c2a                                         
CmrtCodeMarkerForGTPin_CreateQueue                                                                   0xfaf5d599                                         
CmrtCodeMarkerForGTPin_CreateTask                                                                    0x74375087                                         
CmrtCodeMarkerForGTPin_DestroyTask                                                                   0xb39aee1d                                         
CmrtCodeMarkerForGTPin_Enqueue                                                                       0x0f435c98                                         
CmrtCodeMarkerForGTPin_EnqueueWithGroup                                                              0x739cfec1                                         
CmrtCodeMarkerForGTPin_SetThreadCount                                                                0x72475a2d                                         
CreateCmDevice                                                                                       0xca59b2d9                                         
CreateCmDeviceEx                                                                                     0xc791d676                                         
DestroyCmDevice                                                                                      0xa2e7440f                                         
GetCmErrorString                                                                                     0x227569d6                                         
