DLL Path: C:\Windows\System32\Microsoft-Edge-WebView\libEGL.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
eglAcquireExternalContextANGLE                                                                       0xa70879b6                                         
eglBindAPI                                                                                           0x2d2037d4                                         
eglBindTexImage                                                                                      0xe7d2e6ce                                         
eglChooseConfig                                                                                      0xbbd49e14                                         
eglClientWaitSync                                                                                    0xd970436e                                         
eglClientWaitSyncKHR                                                                                 0xc86afd53                                         
eglCopyBuffers                                                                                       0x3ceb0465                                         
eglCopyMetalSharedEventANGLE                                                                         0x22149d8b                                         
eglCreateContext                                                                                     0x263b11f6                                         
eglCreateDeviceANGLE                                                                                 0x210c27c8                                         
eglCreateImage                                                                                       0x030a38d4                                         
eglCreateImageKHR                                                                                    0xbdf4c0f9                                         
eglCreateNativeClientBufferANDROID                                                                   0x68254512                                         
eglCreatePbufferFromClientBuffer                                                                     0x57519028                                         
eglCreatePbufferSurface                                                                              0x76e5e144                                         
eglCreatePixmapSurface                                                                               0x31606de9                                         
eglCreatePlatformPixmapSurface                                                                       0x190c402e                                         
eglCreatePlatformPixmapSurfaceEXT                                                                    0x30beaa9f                                         
eglCreatePlatformWindowSurface                                                                       0xbf425437                                         
eglCreatePlatformWindowSurfaceEXT                                                                    0xbe312e08                                         
eglCreateStreamKHR                                                                                   0x96f42282                                         
eglCreateStreamProducerD3DTextureANGLE                                                               0xf69346f4                                         
eglCreateSync                                                                                        0x1763170e                                         
eglCreateSyncKHR                                                                                     0x0d28acf3                                         
eglCreateWindowSurface                                                                               0xd79681f2                                         
eglDebugMessageControlKHR                                                                            0xf479a1cf                                         
eglDestroyContext                                                                                    0xd5d2db6c                                         
eglDestroyImage                                                                                      0x44152cca                                         
eglDestroyImageKHR                                                                                   0x6085b92f                                         
eglDestroyStreamKHR                                                                                  0x8ba42178                                         
eglDestroySurface                                                                                    0xb3b63c30                                         
eglDestroySync                                                                                       0xbc446444                                         
eglDestroySyncKHR                                                                                    0xbcc07669                                         
eglDupNativeFenceFDANDROID                                                                           0x774dbc39                                         
eglExportVkImageANGLE                                                                                0xf5fc898a                                         
eglForceGPUSwitchANGLE                                                                               0x96294a31                                         
eglGetCompositorTimingANDROID                                                                        0x04b05bd5                                         
eglGetCompositorTimingSupportedANDROID                                                               0x62652a9b                                         
eglGetConfigAttrib                                                                                   0x72755659                                         
eglGetConfigs                                                                                        0x04c730c6                                         
eglGetCurrentContext                                                                                 0x2e0d1045                                         
eglGetCurrentDisplay                                                                                 0x6d60bd16                                         
eglGetCurrentSurface                                                                                 0x0bf07109                                         
eglGetDisplay                                                                                        0x44227c13                                         
eglGetError                                                                                          0x4670d867                                         
eglGetFrameTimestampSupportedANDROID                                                                 0x9420ea03                                         
eglGetFrameTimestampsANDROID                                                                         0x63812ad0                                         
eglGetMscRateANGLE                                                                                   0x022c7333                                         
