DLL Path: C:\Windows\System32\Microsoft-Edge-WebView\wns_push_client.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0IAuthToken@ConnectionProvider@@QEAA@$$QEAU01@@Z                                                   0xe20e26b1                                         
??0IAuthToken@ConnectionProvider@@QEAA@AEBU01@@Z                                                     0xa6e8cd1a                                         
??0IAuthToken@ConnectionProvider@@QEAA@XZ                                                            0x0d3a1a54                                         
??0IAuthTokenChangedInfo@ConnectionProvider@@QEAA@$$QEAU01@@Z                                        0xedf08947                                         
??0IAuthTokenChangedInfo@ConnectionProvider@@QEAA@AEBU01@@Z                                          0xd8859230                                         
??0IAuthTokenChangedInfo@ConnectionProvider@@QEAA@XZ                                                 0x6f080c2a                                         
??0IByteBuffer@ConnectionProvider@@QEAA@$$QEAU01@@Z                                                  0xca45e1ac                                         
??0IByteBuffer@ConnectionProvider@@QEAA@AEBU01@@Z                                                    0x926f8d55                                         
??0IByteBuffer@ConnectionProvider@@QEAA@XZ                                                           0x5fa476ef                                         
??0ICallbackInfo@ConnectionProvider@@QEAA@$$QEAU01@@Z                                                0xcab117f7                                         
??0ICallbackInfo@ConnectionProvider@@QEAA@AEBU01@@Z                                                  0xc572b4e0                                         
??0ICallbackInfo@ConnectionProvider@@QEAA@XZ                                                         0x20c3d4da                                         
??0IConnectedInfo@ConnectionProvider@@QEAA@$$QEAU01@@Z                                               0x754cc11d                                         
??0IConnectedInfo@ConnectionProvider@@QEAA@AEBU01@@Z                                                 0x56a5dc86                                         
??0IConnectedInfo@ConnectionProvider@@QEAA@XZ                                                        0xc010eb40                                         
??0IConnectionChangedInfo@ConnectionProvider@@QEAA@$$QEAU01@@Z                                       0x8e5efa44                                         
??0IConnectionChangedInfo@ConnectionProvider@@QEAA@AEBU01@@Z                                         0xdbb99fed                                         
??0IConnectionChangedInfo@ConnectionProvider@@QEAA@XZ                                                0x4e50c487                                         
??0IConnectionProvider@ConnectionProvider@@QEAA@$$QEAU01@@Z                                          0xf38336d9                                         
??0IConnectionProvider@ConnectionProvider@@QEAA@AEBU01@@Z                                            0xe40bb342                                         
