DLL Path: C:\Windows\System32\Npcap\wpcap.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
bpf_dump                                                                                             0x8f3f7ab2                                         
bpf_filter                                                                                           0x60d9ac82                                         
bpf_image                                                                                            0x7784b49f                                         
bpf_validate                                                                                         0x597a6a26                                         
eproto_db                                                                                            0x96cf8823                                         
pcap_activate                                                                                        0xfb96b3f9                                         
pcap_breakloop                                                                                       0x24b13007                                         
pcap_bufsize                                                                                         0x110399c0                                         
pcap_can_set_rfmon                                                                                   0xbbb04846                                         
pcap_close                                                                                           0x1daffcbe                                         
pcap_compile                                                                                         0x507be751                                         
pcap_compile_nopcap                                                                                  0x59921f71                                         
pcap_create                                                                                          0xd416617c                                         
pcap_createsrcstr                                                                                    0x3b58fa5d                                         
pcap_datalink                                                                                        0x25d19a90                                         
pcap_datalink_ext                                                                                    0x93723820                                         
pcap_datalink_name_to_val                                                                            0xaf1b4294                                         
pcap_datalink_val_to_description                                                                     0x1fc35857                                         
pcap_datalink_val_to_description_or_dlt                                                              0xedfd931a                                         
pcap_datalink_val_to_name                                                                            0x1fbd08d4                                         
pcap_dispatch                                                                                        0x8c57ecb8                                         
pcap_dump                                                                                            0x7d06079e                                         
pcap_dump_close                                                                                      0xe8777413                                         
pcap_dump_file                                                                                       0x5c624ddd                                         
pcap_dump_flush                                                                                      0xe8add71f                                         
pcap_dump_ftell                                                                                      0xe8b1f534                                         
pcap_dump_ftell64                                                                                    0xdd04195e                                         
pcap_dump_hopen                                                                                      0xe8d39637                                         
pcap_dump_open                                                                                       0x5c675a2f                                         
pcap_dump_open_append                                                                                0x82beff06                                         
pcap_ether_aton                                                                                      0xb7ff7e11                                         
pcap_ether_hostton                                                                                   0x803b970e                                         
pcap_file                                                                                            0x7d06ed28                                         
pcap_fileno                                                                                          0xda76e5c5                                         
pcap_findalldevs                                                                                     0xe1f3aff4                                         
pcap_findalldevs_ex                                                                                  0xe190bd10                                         
pcap_free_datalinks                                                                                  0x6b7ea8c4                                         
pcap_free_tstamp_types                                                                               0x53c7e456                                         
pcap_freealldevs                                                                                     0xda34a5f5                                         
pcap_freecode                                                                                        0xf8397685                                         
pcap_get_airpcap_handle                                                                              0x64ce1a32                                         
pcap_get_tstamp_precision                                                                            0x701984eb                                         
pcap_geterr                                                                                          0xdc880ff1                                         
pcap_getevent                                                                                        0x1ecdd90a                                         
pcap_getnonblock                                                                                     0x864c515e                                         
pcap_hopen_offline                                                                                   0xd77531c4                                         
pcap_hopen_offline_with_tstamp_precision                                                             0x79f8a4e2                                         
pcap_init                                                                                            0x7d08a73c                                         
pcap_inject                                                                                          0xe1cfc005                                         
pcap_is_swapped                                                                                      0x46e24bb7                                         
pcap_lib_version                                                                                     0x2fa93744                                         
pcap_list_datalinks                                                                                  0x8266671e                                         
pcap_list_tstamp_types                                                                               0xbdb03c70                                         
pcap_live_dump                                                                                       0x885259ad                                         
pcap_live_dump_ended                                                                                 0xe707ee8c                                         
pcap_lookupdev                                                                                       0x069907c1                                         
pcap_lookupnet                                                                                       0x06993249                                         
pcap_loop                                                                                            0x7d0a5162                                         
pcap_major_version                                                                                   0xaa8ff346                                         
pcap_minor_version                                                                                   0x479db352                                         
pcap_nametoaddr                                                                                      0xda36f167                                         
pcap_nametoaddrinfo                                                                                  0x15cac233                                         
pcap_nametoeproto                                                                                    0x4dee5fa5                                         
pcap_nametollc                                                                                       0x5bf25627                                         
pcap_nametonetaddr                                                                                   0xa6f9f6ce                                         
pcap_nametoport                                                                                      0xda3f5bb1                                         
pcap_nametoportrange                                                                                 0x04374e1e                                         
pcap_nametoproto                                                                                     0x222c6aa0                                         
