DLL Path: C:\Windows\System32\VSPerf170.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?NotifyJITFinished@@YAXXZ                                                                            0x9780f7f2                                         
?NotifyJITStarted@@YAXXZ                                                                             0x010dd71f                                         
ClearProcessSecurityAcl                                                                              0x6f7b33b3                                         
CommentMarkAtProfileA                                                                                0x57584aaa                                         
CommentMarkAtProfileW                                                                                0x57584ac0                                         
CommentMarkProfileA                                                                                  0x2dfc2815                                         
CommentMarkProfileW                                                                                  0x2dfc282b                                         
EmitModuleLoadRecord                                                                                 0x654f0239                                         
EmitModuleLoadRecord2                                                                                0x0f2f498b                                         
EmitModuleUnloadRecord                                                                               0xb893b7fc                                         
EmitModuleUnloadRecord2                                                                              0xcb0ab7ae                                         
EnterFunction                                                                                        0x8ff90ca9                                         
ExitFunction                                                                                         0x4e9ef345                                         
IsMonitorRunning                                                                                     0xd74fc1ea                                         
MarkProfile                                                                                          0x4f6d0601                                         
NameProfileA                                                                                         0x9ee1a818                                         
NameProfileW                                                                                         0x9ee1a82e                                         
NameToken                                                                                            0xad4c44e7                                         
ObjectAllocated                                                                                      0x02db2745                                         
ResumeProfile                                                                                        0xda1081c7                                         
SetVspHeaderFlags                                                                                    0xcfe4aaa0                                         
SimulateThreadAttach                                                                                 0x41424616                                         
SourceLine                                                                                           0x36d3205e                                         
StartProfile                                                                                         0x3afd61e4                                         
StopProfile                                                                                          0xfc35e05c                                         
SuspendProfile                                                                                       0xee16a7d8                                         
WriteAllocationPackage                                                                               0x8224b362                                         
WriteDeallocationPackage                                                                             0xbb771fcb                                         
_CAP_End_Profiling                                                                                   0x3c288177                                         
_CAP_End_Profiling_TailMergeBackStop                                                                 0xc52488c7                                         
_CAP_Enter_CatchOrFinally                                                                            0x90a3f127                                         
_CAP_Enter_CatchOrFinally_Managed                                                                    0x26ee4e73                                         
_CAP_Enter_Function                                                                                  0x8bf1037a                                         
_CAP_Enter_Function_Managed                                                                          0xa38603c6                                         
_CAP_Exit_Function                                                                                   0x2d702356                                         
_CAP_Exit_Function_Managed                                                                           0x80a53fa2                                         
_CAP_Nullify_TailMerge                                                                               0xa56980d3                                         
_CAP_Profiling                                                                                       0x5c15c5e1                                         
_CAP_StartProfiling_Managed                                                                          0x717886db                                         
_CAP_StartProfiling_TailMerge_Managed                                                                0x32b1aa34                                         
_CAP_Start_Profiling                                                                                 0x19cd616e                                         
_CAP_Start_Profiling_TailMerge                                                                       0xbe7dde87                                         
_CAP_StopProfilingTailMergeBackStop_Managed                                                          0x0857be44                                         
_CAP_StopProfiling_Managed                                                                           0x1d61a113                                         
__CAP_End_Profiling                                                                                  0xb21efc36                                         
__CAP_End_Profiling_TailMergeBackStop                                                                0xc447cd46                                         
__CAP_Enter_CatchOrFinally                                                                           0x9a6aff06                                         
__CAP_Enter_CatchOrFinally_Managed                                                                   0xd1d8cb52                                         
__CAP_Enter_Function                                                                                 0xc0b6d619                                         
__CAP_Enter_Function_Managed                                                                         0x3b480565                                         
__CAP_Exit_Function                                                                                  0xa3669e15                                         
__CAP_Exit_Function_Managed                                                                          0xc34e0961                                         
__CAP_Nullify_TailMerge                                                                              0xd38d4312                                         
__CAP_Profiling                                                                                      0x8056b920                                         
__CAP_StartProfiling_Managed                                                                         0x093a887a                                         
__CAP_Start_Profiling                                                                                0xe74d87ed                                         
__CAP_Start_Profiling_TailMerge                                                                      0x57e36fc6                                         
__CAP_StopProfilingTailMergeBackStop_Managed                                                         0xf34f1de3                                         
__CAP_StopProfiling_Managed                                                                          0x600a6ad2                                         
vCommentMarkAtProfileW                                                                               0x2257f596                                         
vCommentMarkProfileW                                                                                 0xba472581                                         
vMarkProfile                                                                                         0x4cd30d57                                         
vResumeProfile                                                                                       0xc915b69d                                         
vStartProfile                                                                                        0xe52453fa                                         
vStopProfile                                                                                         0xf99be7b2                                         
vSuspendProfile                                                                                      0xbdc2776e                                         
