DLL Path: C:\Windows\System32\atmlib.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
ATMAddFont                                                                                           0x0105fc47                                         
ATMAddFontA                                                                                          0x21c58568                                         
ATMAddFontEx                                                                                         0x5a763364                                         
ATMAddFontExA                                                                                        0xa93ca025                                         
ATMAddFontExW                                                                                        0xa93ca03b                                         
ATMAddFontW                                                                                          0x21c5857e                                         
ATMBBoxBaseXYShowText                                                                                0xf69fc7e4                                         
ATMBBoxBaseXYShowTextA                                                                               0xca98c4a5                                         
ATMBBoxBaseXYShowTextW                                                                               0xca98c4bb                                         
ATMBeginFontChange                                                                                   0x1dc5ed09                                         
ATMClient                                                                                            0xd6baa466                                         
ATMEndFontChange                                                                                     0x68d24a3b                                         
ATMEnumFonts                                                                                         0xdbac0dc6                                         
ATMEnumFontsA                                                                                        0x512dc6c7                                         
ATMEnumFontsW                                                                                        0x512dc6dd                                         
ATMEnumMMFonts                                                                                       0x3f984340                                         
ATMEnumMMFontsA                                                                                      0x32a0ab81                                         
ATMEnumMMFontsW                                                                                      0x32a0ab97                                         
ATMFinish                                                                                            0xdd86a448                                         
ATMFontAvailable                                                                                     0xeeb5e79f                                         
ATMFontAvailableA                                                                                    0xc572dbc0                                         
ATMFontAvailableW                                                                                    0xc572dbd6                                         
ATMFontSelected                                                                                      0x14f795a7                                         
ATMFontStatus                                                                                        0x8d660a42                                         
ATMFontStatusA                                                                                       0x3a2752c3                                         
ATMFontStatusW                                                                                       0x3a2752d9                                         
ATMForceFontChange                                                                                   0x8e84bd53                                         
ATMGetBuildStr                                                                                       0x4d7a78b0                                         
ATMGetBuildStrA                                                                                      0xfcc98ef1                                         
ATMGetBuildStrW                                                                                      0xfcc98f07                                         
ATMGetFontBBox                                                                                       0x3ccc0109                                         
ATMGetFontInfo                                                                                       0x3cd091aa                                         
ATMGetFontInfoA                                                                                      0xd6e2c72b                                         
ATMGetFontInfoW                                                                                      0xd6e2c741                                         
ATMGetFontPaths                                                                                      0xd75a8c9e                                         
ATMGetFontPathsA                                                                                     0xc2ac209f                                         
ATMGetFontPathsW                                                                                     0xc2ac20b5                                         
ATMGetGlyphList                                                                                      0xce241387                                         
ATMGetGlyphListA                                                                                     0x92a684a8                                         
ATMGetGlyphListW                                                                                     0x92a684be                                         
ATMGetMenuName                                                                                       0xb0eba43d                                         
ATMGetMenuNameA                                                                                      0xce602c1e                                         
ATMGetMenuNameW                                                                                      0xce602c34                                         
ATMGetNtmFields                                                                                      0x620626ed                                         
ATMGetNtmFieldsA                                                                                     0xa2cb04ce                                         
ATMGetNtmFieldsW                                                                                     0xa2cb04e4                                         
ATMGetOutline                                                                                        0xbd49a487                                         
ATMGetOutlineA                                                                                       0x667e35a8                                         
ATMGetOutlineW                                                                                       0x667e35be                                         
ATMGetPostScriptName                                                                                 0x32936c23                                         
ATMGetPostScriptNameA                                                                                0x8500f0c4                                         
ATMGetPostScriptNameW                                                                                0x8500f0da                                         
ATMGetVersion                                                                                        0xb2ae698d                                         
ATMGetVersionEx                                                                                      0x17ef0a2a                                         
ATMGetVersionExA                                                                                     0x15d04fab                                         
ATMGetVersionExW                                                                                     0x15d04fc1                                         
ATMInstallSubstFontA                                                                                 0x13b604a7                                         
ATMInstallSubstFontW                                                                                 0x13b604bd                                         
ATMMakePFM                                                                                           0x96507d88                                         
ATMMakePFMA                                                                                          0x60602ec9                                         
ATMMakePFMW                                                                                          0x60602edf                                         
ATMMakePSS                                                                                           0x96507f3b                                         
ATMMakePSSA                                                                                          0x606066dc                                         
ATMMakePSSW                                                                                          0x606066f2                                         
ATMProperlyLoaded                                                                                    0x8becebed                                         
ATMRemoveFont                                                                                        0x1469a32c                                         
ATMRemoveFontA                                                                                       0xa19e08ed                                         
ATMRemoveFontW                                                                                       0xa19e0903                                         
ATMRemoveSubstFontA                                                                                  0x3205fefe                                         
ATMRemoveSubstFontW                                                                                  0x3205ff14                                         
ATMSelectEncoding                                                                                    0xb1c8528e                                         
ATMSelectObject                                                                                      0x83430dfe                                         
ATMSetFlags                                                                                          0x30b16620                                         
ATMXYShowText                                                                                        0x8e45967e                                         
ATMXYShowTextA                                                                                       0x56f8667f                                         
ATMXYShowTextW                                                                                       0x56f86695                                         
