DLL Path: C:\Windows\System32\clfsw32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AddLogContainer                                                                                      0x468120b3                                         
AddLogContainerSet                                                                                   0x54d0b65f                                         
AdvanceLogBase                                                                                       0x14697694                                         
AlignReservedLog                                                                                     0x3a5bac32                                         
AllocReservedLog                                                                                     0x4c9fa1f2                                         
CLFS_LSN_INVALID                                                                                     0x436aa7df                                         
CLFS_LSN_NULL                                                                                        0x9191af13                                         
CloseAndResetLogFile                                                                                 0xa458b7d3                                         
CreateLogContainerScanContext                                                                        0x794dc788                                         
CreateLogFile                                                                                        0x07d1cafb                                         
CreateLogMarshallingArea                                                                             0x308f8e26                                         
DeleteLogByHandle                                                                                    0x04191621                                         
DeleteLogFile                                                                                        0x90884fda                                         
DeleteLogMarshallingArea                                                                             0x3ba9e9a5                                         
DeregisterManageableLogClient                                                                        0xa70bcd91                                         
DumpLogRecords                                                                                       0x9ea6328f                                         
FlushLogBuffers                                                                                      0x63a4d7f6                                         
FlushLogToLsn                                                                                        0x58cc6279                                         
FreeReservedLog                                                                                      0x7d922209                                         
GetLogContainerName                                                                                  0x2fb75a8b                                         
GetLogFileInformation                                                                                0x76d30f4d                                         
GetLogIoStatistics                                                                                   0x3c2e434a                                         
GetLogReservationInfo                                                                                0x807f0105                                         
GetNextLogArchiveExtent                                                                              0xf248ef20                                         
HandleLogFull                                                                                        0x6d0284c6                                         
InstallLogPolicy                                                                                     0x3b345c8e                                         
LogTailAdvanceFailure                                                                                0xddad59eb                                         
LsnBlockOffset                                                                                       0x35cf5864                                         
LsnContainer                                                                                         0x9c626875                                         
LsnCreate                                                                                            0x60b86cc6                                         
LsnDecrement                                                                                         0x832c0989                                         
LsnEqual                                                                                             0x395fccea                                         
LsnGreater                                                                                           0xabaef8fc                                         
LsnIncrement                                                                                         0x17eaba77                                         
LsnInvalid                                                                                           0x3d824ef9                                         
LsnLess                                                                                              0xf23cd829                                         
LsnNull                                                                                              0xf23e340d                                         
LsnRecordSequence                                                                                    0x1654b5aa                                         
PrepareLogArchive                                                                                    0xff7ea378                                         
QueryLogPolicy                                                                                       0x6f50570d                                         
ReadLogArchiveMetadata                                                                               0x2e80b6e6                                         
ReadLogNotification                                                                                  0x46f4346a                                         
ReadLogRecord                                                                                        0x0a7fc102                                         
ReadLogRestartArea                                                                                   0x9b9dcc21                                         
ReadNextLogRecord                                                                                    0xf12a6f81                                         
ReadPreviousLogRestartArea                                                                           0xcaf0069e                                         
RegisterForLogWriteNotification                                                                      0xe7c3dd65                                         
RegisterManageableLogClient                                                                          0x956e88a8                                         
RemoveLogContainer                                                                                   0x426a4bd8                                         
RemoveLogContainerSet                                                                                0x4bc24b64                                         
RemoveLogPolicy                                                                                      0x1d1e1045                                         
ReserveAndAppendLog                                                                                  0xc83c246e                                         
ReserveAndAppendLogAligned                                                                           0x021216e2                                         
ScanLogContainers                                                                                    0x72745d62                                         
SetEndOfLog                                                                                          0x395e2d5f                                         
SetLogArchiveMode                                                                                    0xf1b663da                                         
SetLogArchiveTail                                                                                    0xf1b9ff9f                                         
SetLogFileSizeWithPolicy                                                                             0xfa1c5f1a                                         
TerminateLogArchive                                                                                  0x6ea46a52                                         
TerminateReadLog                                                                                     0xdb533b2c                                         
TruncateLog                                                                                          0xeb28b26d                                         
ValidateLog                                                                                          0x487f9511                                         
WriteLogRestartArea                                                                                  0x24261e70                                         
