DLL Path: C:\Windows\System32\combase.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CLIPFORMAT_UserFree                                                                                  0x544cca36                                         
CLIPFORMAT_UserFree64                                                                                0x9aa836e0                                         
CLIPFORMAT_UserMarshal                                                                               0xe3d2d03c                                         
CLIPFORMAT_UserMarshal64                                                                             0x23c7d666                                         
CLIPFORMAT_UserSize                                                                                  0x5453c78f                                         
CLIPFORMAT_UserSize64                                                                                0xb863ee79                                         
CLIPFORMAT_UserUnmarshal                                                                             0x1ce1eb5f                                         
CLIPFORMAT_UserUnmarshal64                                                                           0xdd0a4649                                         
CLSIDFromOle1Class                                                                                   0x09058a6f                                         
CLSIDFromProgID                                                                                      0xfe0d494d                                         
CLSIDFromProgIDEx                                                                                    0xb684d9ea                                         
CLSIDFromString                                                                                      0x0532a6bf                                         
CStdAsyncStubBuffer2_Connect                                                                         0x5884d584                                         
CStdAsyncStubBuffer2_Disconnect                                                                      0xdedaa2a4                                         
CStdAsyncStubBuffer2_Release                                                                         0xc3b19f1b                                         
CStdAsyncStubBuffer_AddRef                                                                           0xe07ce44e                                         
CStdAsyncStubBuffer_Connect                                                                          0xa47af632                                         
CStdAsyncStubBuffer_Disconnect                                                                       0x40fc2c92                                         
CStdAsyncStubBuffer_Invoke                                                                           0xf3e57954                                         
CStdAsyncStubBuffer_QueryInterface                                                                   0x3d31a66f                                         
CStdAsyncStubBuffer_Release                                                                          0x0fa7bfc9                                         
CStdStubBuffer2_Connect                                                                              0x96347cc6                                         
CStdStubBuffer2_CountRefs                                                                            0x11245a75                                         
CStdStubBuffer2_Disconnect                                                                           0x4de11aa6                                         
CStdStubBuffer2_QueryInterface                                                                       0xf0477e83                                         
CStdStubBuffer_AddRef                                                                                0x4c35d310                                         
CStdStubBuffer_Connect                                                                               0x8751bd34                                         
CStdStubBuffer_CountRefs                                                                             0xbe936e63                                         
CStdStubBuffer_DebugServerQueryInterface                                                             0x159ac94f                                         
CStdStubBuffer_DebugServerRelease                                                                    0x0e945ea9                                         
CStdStubBuffer_Disconnect                                                                            0xa932ac54                                         
CStdStubBuffer_Invoke                                                                                0x5f9e6816                                         
CStdStubBuffer_IsIIDSupported                                                                        0xbb18b182                                         
CStdStubBuffer_QueryInterface                                                                        0xd8463731                                         
CleanupComl2StateInAllTls                                                                            0xfc29baae                                         
CleanupOleStateInAllTls                                                                              0xaf0ae911                                         
CleanupTlsComl2State                                                                                 0xc5a3d8fe                                         
CleanupTlsOleState                                                                                   0x964923a1                                         
ClearCleanupFlag                                                                                     0x53d72a4e                                         
CoAddComDependencyOnPackage                                                                          0x3a9257c7                                         
CoAddRefServerProcess                                                                                0xe674f353                                         
CoAllowUnmarshalerCLSID                                                                              0x395fe1e7                                         
CoCancelCall                                                                                         0x69e256b9                                         
CoCopyProxy                                                                                          0x4e01e234                                         
CoCreateErrorInfo                                                                                    0x1fea9aa1                                         
CoCreateFreeThreadedMarshaler                                                                        0xe876bacd                                         
CoCreateGuid                                                                                         0x60621e74                                         
CoCreateInstance                                                                                     0xbecc6920                                         
CoCreateInstanceEx                                                                                   0xa38b3a7d                                         
CoCreateInstanceExFromPackage                                                                        0xd665981d                                         
CoCreateInstanceFromApp                                                                              0x48452235                                         
CoCreateInstanceFromPackage                                                                          0xacc27ae0                                         
CoCreateObjectInContext                                                                              0x5aff2e3e                                         
CoDeactivateObject                                                                                   0x369fb388                                         
CoDecodeProxy                                                                                        0xf1178dbd                                         
CoDecrementMTAUsage                                                                                  0x4cce3ba5                                         
CoDisableCallCancellation                                                                            0xf3af84f4                                         
CoDisconnectContext                                                                                  0xa21b85e6                                         
CoDisconnectObject                                                                                   0x1837d698                                         
CoEnableCallCancellation                                                                             0xdba123a7                                         
CoFileTimeNow                                                                                        0x257ed39a                                         
CoFreeUnusedLibraries                                                                                0x63ec1b4a                                         
CoFreeUnusedLibrariesEx                                                                              0x0f601f27                                         
CoGetActivationState                                                                                 0xc42195ea                                         
CoGetApartmentID                                                                                     0x89eaf450                                         
CoGetApartmentType                                                                                   0xb08040c5                                         
CoGetCallContext                                                                                     0x193e5938                                         
CoGetCallState                                                                                       0x7b6794f4                                         
CoGetCallerTID                                                                                       0x7cabf84b                                         
CoGetCancelObject                                                                                    0x60faffd4                                         
CoGetClassObject                                                                                     0xdd8e3844                                         
CoGetClassObjectFromPackage                                                                          0x1b9e0b84                                         
CoGetClassVersion                                                                                    0xb1c4ee93                                         
CoGetContextToken                                                                                    0x595fa35d                                         
CoGetCurrentLogicalThreadId                                                                          0x890c23fa                                         
CoGetCurrentProcess                                                                                  0x0ba581b9                                         
CoGetDefaultContext                                                                                  0x92579461                                         
CoGetErrorInfo                                                                                       0xebb6192d                                         
