DLL Path: C:\Windows\System32\crypt32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CertAddCRLContextToStore                                                                             0xf5634392                                         
CertAddCRLLinkToStore                                                                                0x691c4d5b                                         
CertAddCTLContextToStore                                                                             0x0dcd8f54                                         
CertAddCTLLinkToStore                                                                                0x07da605d                                         
CertAddCertificateContextToStore                                                                     0x566d5b54                                         
CertAddCertificateLinkToStore                                                                        0x53adac5d                                         
CertAddEncodedCRLToStore                                                                             0x15c39b7f                                         
CertAddEncodedCTLToStore                                                                             0xfebc7d81                                         
CertAddEncodedCertificateToStore                                                                     0x9f5e9b81                                         
CertAddEncodedCertificateToSystemStoreA                                                              0xf73b2647                                         
CertAddEncodedCertificateToSystemStoreW                                                              0xf73b265d                                         
CertAddEnhancedKeyUsageIdentifier                                                                    0xd9c254b3                                         
CertAddRefServerOcspResponse                                                                         0xf2dc4954                                         
CertAddRefServerOcspResponseContext                                                                  0x1f1c6819                                         
CertAddSerializedElementToStore                                                                      0x2e5d0102                                         
CertAddStoreToCollection                                                                             0x65cf3fd8                                         
CertAlgIdToOID                                                                                       0x358e25d3                                         
CertCloseServerOcspResponse                                                                          0xf7df71a4                                         
CertCloseStore                                                                                       0x43064256                                         
CertCompareCertificate                                                                               0x0764db9d                                         
CertCompareCertificateName                                                                           0x9f9fd2be                                         
CertCompareIntegerBlob                                                                               0xc154ee27                                         
CertComparePublicKeyInfo                                                                             0x51204b0e                                         
CertControlStore                                                                                     0x743c0341                                         
CertCreateCRLContext                                                                                 0x4457488d                                         
CertCreateCTLContext                                                                                 0x2d502a8f                                         
CertCreateCTLEntryFromCertificateContextProperties                                                   0x814519e5                                         
CertCreateCertificateChainEngine                                                                     0x73b44663                                         
CertCreateCertificateContext                                                                         0xd035318f                                         
CertCreateContext                                                                                    0x2cc49d2c                                         
CertCreateSelfSignCertificate                                                                        0x51f31be5                                         
CertDeleteCRLFromStore                                                                               0x707c0948                                         
CertDeleteCTLFromStore                                                                               0x7b3573ca                                         
CertDeleteCertificateFromStore                                                                       0x4b0009ca                                         
CertDuplicateCRLContext                                                                              0x12567474                                         
CertDuplicateCTLContext                                                                              0xfb4f5676                                         
CertDuplicateCertificateChain                                                                        0xab668ab4                                         
CertDuplicateCertificateContext                                                                      0x30795476                                         
CertDuplicateStore                                                                                   0xc807e6bb                                         
CertEnumCRLContextProperties                                                                         0x6a0d061b                                         
CertEnumCRLsInStore                                                                                  0xd1b5af00                                         
CertEnumCTLContextProperties                                                                         0xcbc1d29d                                         
CertEnumCTLsInStore                                                                                  0xd9cad142                                         
CertEnumCertificateContextProperties                                                                 0x3e018a9d                                         
CertEnumCertificatesInStore                                                                          0x45bb8942                                         
CertEnumPhysicalStore                                                                                0x4dad7992                                         
CertEnumSubjectInSortedCTL                                                                           0xec69e9c3                                         
CertEnumSystemStore                                                                                  0xd95da79a                                         
CertEnumSystemStoreLocation                                                                          0x99079493                                         
CertFindAttribute                                                                                    0x84477ee8                                         
CertFindCRLInStore                                                                                   0x690239f9                                         
CertFindCTLInStore                                                                                   0x51fb1bfb                                         
CertFindCertificateInCRL                                                                             0x8a5b5f4f                                         
CertFindCertificateInStore                                                                           0x8fe53ffb                                         
CertFindChainInStore                                                                                 0xfb1d889b                                         
CertFindExtension                                                                                    0xe9511f91                                         
CertFindRDNAttr                                                                                      0xff1459d3                                         
CertFindSubjectInCTL                                                                                 0xd8ef3a1e                                         
CertFindSubjectInSortedCTL                                                                           0xfd1572ef                                         
CertFreeCRLContext                                                                                   0x3688245b                                         
CertFreeCTLContext                                                                                   0x1f81065d                                         
CertFreeCertificateChain                                                                             0xf5ac4bdb                                         
CertFreeCertificateChainEngine                                                                       0x597f4731                                         
