DLL Path: C:\Windows\System32\gamemode.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CanSetGamingFullScreenExperience                                                                     0x23434b31                                         
GetExpandedResourceExclusiveCpuCount                                                                 0xf6b2c91f                                         
HasExpandedResources                                                                                 0xc90961a5                                         
IsGamingFullScreenExperienceActive                                                                   0x9bc61d0b                                         
IsGamingFullScreenExperienceSupported                                                                0x074988b5                                         
MsixvcAddGameToGCS                                                                                   0x25bd9102                                         
MsixvcAddPackageAsync                                                                                0x20a06592                                         
MsixvcRemediateMutablePackagesForVolumeAsync                                                         0x4c1636d5                                         
MsixvcUpdatePolicyString                                                                             0x4a802929                                         
MsixvcUpdatePolicyUInt64                                                                             0x4c1e529c                                         
RegisterGamingFullScreenExperienceChangeNotification                                                 0x9f00fca5                                         
ReleaseExclusiveCpuSets                                                                              0x788812c5                                         
SetGamingFullScreenExperience                                                                        0xb054fa1f                                         
UnregisterGamingFullScreenExperienceChangeNotification                                               0xf53bf4e8                                         
