DLL Path: C:\Windows\System32\kernel32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AcquireSRWLockExclusive                                                                              0x53260d8c                                         
AcquireSRWLockShared                                                                                 0xf218f3ab                                         
ActivateActCtx                                                                                       0xb635a7fd                                         
ActivateActCtxWorker                                                                                 0xedeeb837                                         
ActivatePackageVirtualizationContext                                                                 0xf8bbebac                                         
AddAtomA                                                                                             0x7847aca0                                         
AddAtomW                                                                                             0x7847acb6                                         
AddConsoleAliasA                                                                                     0x0e333a4c                                         
AddConsoleAliasW                                                                                     0x0e333a62                                         
AddDllDirectory                                                                                      0x3f0c2fff                                         
AddIntegrityLabelToBoundaryDescriptor                                                                0xc0eb6113                                         
AddLocalAlternateComputerNameA                                                                       0x682f0c0a                                         
AddLocalAlternateComputerNameW                                                                       0x682f0c20                                         
AddRefActCtx                                                                                         0x432def92                                         
AddRefActCtxWorker                                                                                   0x89659b8c                                         
AddResourceAttributeAce                                                                              0xd2ff8533                                         
AddSIDToBoundaryDescriptor                                                                           0xfc966834                                         
AddScopedPolicyIDAce                                                                                 0x6beb22f2                                         
AddSecureMemoryCacheCallback                                                                         0xb99759cf                                         
AddVectoredContinueHandler                                                                           0x40866d8d                                         
AddVectoredExceptionHandler                                                                          0x37d1f0d7                                         
AdjustCalendarDate                                                                                   0xf3d6b6c8                                         
AllocConsole                                                                                         0xcddb7fc3                                         
AllocConsoleWithOptions                                                                              0x20902a6b                                         
AllocateUserPhysicalPages                                                                            0x9c2b3fd6                                         
AllocateUserPhysicalPagesNuma                                                                        0x3d000087                                         
AppPolicyGetClrCompat                                                                                0x5e59473b                                         
AppPolicyGetCreateFileAccess                                                                         0xd3813d1c                                         
AppPolicyGetLifecycleManagement                                                                      0xe16f6163                                         
AppPolicyGetMediaFoundationCodecLoading                                                              0xf63d5409                                         
AppPolicyGetProcessTerminationMethod                                                                 0x071987e0                                         
AppPolicyGetShowDeveloperDiagnostic                                                                  0x94af1c62                                         
AppPolicyGetThreadInitializationType                                                                 0x70e8ad78                                         
AppPolicyGetWindowingModel                                                                           0x6d0ce13d                                         
AppXGetOSMaxVersionTested                                                                            0xd2700bd5                                         
ApplicationRecoveryFinished                                                                          0xf29359f2                                         
ApplicationRecoveryInProgress                                                                        0x331530b4                                         
AreFileApisANSI                                                                                      0x27e57275                                         
AreShortNamesEnabled                                                                                 0xec2a4f6c                                         
AssignProcessToJobObject                                                                             0xcfb1997e                                         
AttachConsole                                                                                        0xefb65e6d                                         
BackupRead                                                                                           0x069fce77                                         
BackupReadEx                                                                                         0x2dcd5194                                         
BackupSeek                                                                                           0x06a05b63                                         
BackupWrite                                                                                          0xdafb5d46                                         
BackupWriteEx                                                                                        0x8747d023                                         
BaseCheckAppcompatCache                                                                              0xd728c677                                         
BaseCheckAppcompatCacheEx                                                                            0x44744994                                         
BaseCheckAppcompatCacheExWorker                                                                      0x7a7bef0e                                         
BaseCheckAppcompatCacheWorker                                                                        0xbb814a31                                         
BaseCheckElevation                                                                                   0x2a1446e5                                         
BaseCleanupAppcompatCacheSupport                                                                     0x720cd8be                                         
BaseCleanupAppcompatCacheSupportWorker                                                               0xe311b5b8                                         
BaseDestroyVDMEnvironment                                                                            0x4a52e106                                         
BaseDllReadWriteIniFile                                                                              0x06d9e2e3                                         
BaseDumpAppcompatCache                                                                               0xc5716a6f                                         
BaseDumpAppcompatCacheWorker                                                                         0x26e30829                                         
BaseElevationPostProcessing                                                                          0xd0398dea                                         
BaseFlushAppcompatCache                                                                              0xa92ab69b                                         
BaseFlushAppcompatCacheWorker                                                                        0xb667c555                                         
BaseFormatObjectAttributes                                                                           0xaf295167                                         
BaseFormatTimeOut                                                                                    0x2634b230                                         
BaseFreeAppCompatDataForProcessWorker                                                                0xff916fa1                                         
BaseGenerateAppCompatData                                                                            0xb6ae452a                                         
BaseGetNamedObjectDirectory                                                                          0xadf05191                                         
BaseInitAppcompatCacheSupport                                                                        0x3b2ad44a                                         
