DLL Path: C:\Windows\System32\mfplat.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CopyPropVariant                                                                                      0x01599136                                         
CreatePropVariant                                                                                    0x9a930a2f                                         
CreatePropertyStore                                                                                  0xcd75048b                                         
DestroyPropVariant                                                                                   0x13a097a5                                         
FormatTagFromWfx                                                                                     0xac1f5a33                                         
GetAMSubtypeFromD3DFormat                                                                            0xccae7f37                                         
GetD3DFormatFromMFSubtype                                                                            0x52246d5c                                         
MFAddPeriodicCallback                                                                                0x0eb319fd                                         
MFAllocateSerialWorkQueue                                                                            0x45e63d05                                         
MFAllocateWorkQueue                                                                                  0x14067165                                         
MFAllocateWorkQueueEx                                                                                0x2f686802                                         
MFAppendCollection                                                                                   0xb1ed409c                                         
MFAverageTimePerFrameToFrameRate                                                                     0xc2f6556e                                         
MFBeginCreateFile                                                                                    0x27cc52b1                                         
MFBeginGetHostByName                                                                                 0x1e347217                                         
MFBeginRegisterWorkQueueWithMMCSS                                                                    0xd10f22e9                                         
MFBeginRegisterWorkQueueWithMMCSSEx                                                                  0x51638a86                                         
MFBeginUnregisterWorkQueueWithMMCSS                                                                  0xba551b6c                                         
MFCalculateBitmapImageSize                                                                           0x37b8fe81                                         
MFCalculateImageSize                                                                                 0xbd74b664                                         
MFCallStackTracingClearSnapshot                                                                      0x647eefe9                                         
MFCallStackTracingLogSessionErrors                                                                   0x1f0facf5                                         
MFCallStackTracingRestoreSnapshot                                                                    0x91842ea6                                         
MFCallStackTracingTakeSnapshot                                                                       0x7a7c6107                                         
MFCanEnableHWDRMByDefault                                                                            0x77ca22b3                                         
MFCancelCreateFile                                                                                   0x52313692                                         
MFCancelWorkItem                                                                                     0xb8bec410                                         
MFCheckEnabledViaAppService                                                                          0x190f8c73                                         
MFClearLocalMFTs                                                                                     0x6664a5c4                                         
MFCombineSamples                                                                                     0xab911b4a                                         
MFCompareFullToPartialMediaType                                                                      0xd7b5bd64                                         
MFCompareSockaddrAddresses                                                                           0xbe1b5ac8                                         
MFConvertColorInfoFromDXVA                                                                           0x4674ad2b                                         
MFConvertColorInfoToDXVA                                                                             0x9fd420ba                                         
MFConvertFromFP16Array                                                                               0x6a92fd69                                         
MFConvertToFP16Array                                                                                 0x3e932918                                         
MFCopyImage                                                                                          0xdd6e1136                                         
MFCreate2DMediaBuffer                                                                                0x3a0fe79c                                         
MFCreate2DMediaBufferOn1DMediaBuffer                                                                 0x8c27f828                                         
