DLL Path: C:\Windows\System32\sechost.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AuditComputeEffectivePolicyBySid                                                                     0x919aa055                                         
AuditEnumerateCategories                                                                             0x7c81e688                                         
AuditEnumeratePerUserPolicy                                                                          0xb92e1bd8                                         
AuditEnumerateSubCategories                                                                          0x0c07e852                                         
AuditFree                                                                                            0x8ed45b7e                                         
AuditLookupCategoryNameW                                                                             0x0d9983ec                                         
AuditLookupSubCategoryNameW                                                                          0xa6653cf6                                         
AuditQueryGlobalSaclW                                                                                0xb21c0c5d                                         
AuditQueryPerUserPolicy                                                                              0x5eff6908                                         
AuditQuerySecurity                                                                                   0x62eea9aa                                         
AuditQuerySystemPolicy                                                                               0x3fa9b587                                         
AuditSetGlobalSaclW                                                                                  0xcc28b433                                         
AuditSetPerUserPolicy                                                                                0x2ed55e5e                                         
AuditSetSecurity                                                                                     0xdd6a7140                                         
AuditSetSystemPolicy                                                                                 0x9b4b581d                                         
BuildSecurityDescriptorForSharingAccess                                                              0x55275011                                         
BuildSecurityDescriptorForSharingAccessEx                                                            0x3c3ba1ae                                         
CapabilityCheck                                                                                      0xcfe519c5                                         
CapabilityCheckForSingleSessionSku                                                                   0x63ebf3c5                                         
ChangeServiceConfig2A                                                                                0x6ba99725                                         
ChangeServiceConfig2W                                                                                0x6ba9973b                                         
ChangeServiceConfigA                                                                                 0x77a04a73                                         
ChangeServiceConfigW                                                                                 0x77a04a89                                         
CloseServiceHandle                                                                                   0x2517fe78                                         
CloseTrace                                                                                           0x5faf5e6a                                         
ControlService                                                                                       0x527a0217                                         
ControlServiceExA                                                                                    0xf96093f5                                         
ControlServiceExW                                                                                    0xf960940b                                         
ControlTraceA                                                                                        0x24be56b6                                         
ControlTraceW                                                                                        0x24be56cc                                         
ConvertSDToStringSDRootDomainW                                                                       0xa1b63021                                         
ConvertSecurityDescriptorToStringSecurityDescriptorW                                                 0x4d86e905                                         
ConvertSidToStringSidW                                                                               0x99a22dd7                                         
ConvertStringSDToSDDomainA                                                                           0x2f3db787                                         
ConvertStringSDToSDDomainW                                                                           0x2f3db79d                                         
ConvertStringSDToSDRootDomainW                                                                       0x21375021                                         
ConvertStringSecurityDescriptorToSecurityDescriptorW                                                 0x8164c705                                         
ConvertStringSidToSidW                                                                               0x3cb0ddf7                                         
CreateIsolatedProcess                                                                                0xd1971ced                                         
CreateIsolationContainer                                                                             0x13b5be0e                                         
CreateServiceA                                                                                       0x931ece0b                                         
CreateServiceEx                                                                                      0xf6f89067                                         
CreateServiceW                                                                                       0x931ece21                                         
CredBackupCredentials                                                                                0xb65b7b07                                         
CredDeleteA                                                                                          0x441e7417                                         
CredDeleteW                                                                                          0x441e742d                                         
CredEncryptAndMarshalBinaryBlob                                                                      0x8ab78027                                         
CredEnumerateA                                                                                       0x2794e0ca                                         
CredEnumerateW                                                                                       0x2794e0e0                                         
CredFindBestCredentialA                                                                              0xebec918e                                         
CredFindBestCredentialW                                                                              0xebec91a4                                         
CredFree                                                                                             0x8b2ffda5                                         
CredGetSessionTypes                                                                                  0xc6f26dfc                                         
CredGetTargetInfoA                                                                                   0x44f7a3d7                                         
CredGetTargetInfoW                                                                                   0x44f7a3ed                                         
CredIsMarshaledCredentialW                                                                           0x414fde02                                         
CredIsProtectedA                                                                                     0x4c85228a                                         
CredIsProtectedW                                                                                     0x4c8522a0                                         
CredMarshalCredentialA                                                                               0x3afb50c7                                         
CredMarshalCredentialW                                                                               0x3afb50dd                                         
