DLL Path: C:\Windows\System32\uwfcfgmgmt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CDevice@@QEAA@XZ                                                                                  0xcfeb4190                                         
??0CUwfConfiguration@@QEAA@XZ                                                                        0x1b540faa                                         
??0CUwfManagement@@QEAA@XZ                                                                           0x2fe908af                                         
??0CUwfOverlayDevice@@QEAA@XZ                                                                        0x29cbebe4                                         
??0CUwfRegDevice@@QEAA@XZ                                                                            0xbe538a60                                         
??0CUwfRegKey@@QEAA@XZ                                                                               0xe2bcae99                                         
??0CUwfStaticConfiguration@@QEAA@XZ                                                                  0x537a7672                                         
??0CUwfStaticVolumeConfiguration@@QEAA@XZ                                                            0x0cf27b8a                                         
??0CUwfVolumeDevice@@QEAA@XZ                                                                         0x05bfc6fa                                         
??1CDevice@@UEAA@XZ                                                                                  0x96ae1695                                         
??1CUwfConfiguration@@UEAA@XZ                                                                        0x62b619ef                                         
??1CUwfManagement@@UEAA@XZ                                                                           0x32bb7294                                         
??1CUwfRegDevice@@UEAA@XZ                                                                            0xba721c25                                         
??1CUwfRegKey@@QEAA@XZ                                                                               0xaee3dcfa                                         
??1CUwfStaticConfiguration@@UEAA@XZ                                                                  0x989b2d77                                         
??1CUwfStaticVolumeConfiguration@@UEAA@XZ                                                            0x02d06f4f                                         
??1CUwfVolumeDevice@@UEAA@XZ                                                                         0x68cb6d1f                                         
?AddDWORDValue@CUwfRegKey@@QEAAJPEBGK@Z                                                              0x8b84196b                                         
?AddFileExclusion@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                         0x27edea0e                                         
?AddMultiSzValue@CUwfRegKey@@QEAAJPEBG0@Z                                                            0xc7247188                                         
?AddRegKeyExclusion@CUwfStaticConfiguration@@QEAAJPEBG@Z                                             0x2ad103fd                                         
?Attach@CUwfRegKey@@QEAAJPEAUHKEY__@@@Z                                                              0xba61e3ab                                         
?Begin@CUwfProvider@@QEAAJXZ                                                                         0xd1a8c1bd                                         
?Begin@CUwfProvider@@QEAAJ_N@Z                                                                       0xdee3d132                                         
?CanFileBeCommitted@@YA_NPEBG0@Z                                                                     0x85489112                                         
?CanVolumeBeProtected@@YAJPEBG_NPEA_N@Z                                                              0xe9cbf08b                                         
?CaptureUwfSettings@@YAJW4E_UNATTEND_REASON@@@Z                                                      0xc6c76c72                                         
?Close@CDevice@@QEAAXXZ                                                                              0x3dadec6f                                         
?Close@CUwfConfiguration@@QEAAXXZ                                                                    0x6ecc9f49                                         
?Close@CUwfManagement@@QEAAXXZ                                                                       0x7323adae                                         
?Close@CUwfRegKey@@QEAAJXZ                                                                           0xb6f5bc8a                                         
?Close@CUwfStaticConfiguration@@QEAAXXZ                                                              0x0ca3cf51                                         
?Close@CUwfStaticVolumeConfiguration@@QEAAXXZ                                                        0x680e8da9                                         
?CommitFile@CUwfManagement@@QEAAJPEBG0@Z                                                             0xda9c2e29                                         
?CommitFileDeletion@CUwfManagement@@QEAAJPEBG00@Z                                                    0xcc9c004d                                         
?CommitRegistry@CUwfManagement@@QEAAJ_NPEBG1@Z                                                       0x42b6a090                                         
?CommitRegistryDeletion@CUwfManagement@@QEAAJ_NPEBG1@Z                                               0xc1726024                                         
?CommitRegistryKey@CUwfRegDevice@@QEAAJPEBG@Z                                                        0x49e1a3ac                                         
?CommitRegistryKeyDeletion@CUwfRegDevice@@QEAAJPEBG@Z                                                0xf8bbd240                                         
?CommitRegistryValue@CUwfRegDevice@@QEAAJPEBG0@Z                                                     0x59e1ac10                                         
?CommitRegistryValueDeletion@CUwfRegDevice@@QEAAJPEBG0@Z                                             0x01666124                                         
