DLL Path: C:\Windows\System32\wbem\WMIsvc.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0C9XAce@@QEAA@AEBV0@@Z                                                                             0xe07ec2f0                                         
??0C9XAce@@QEAA@XZ                                                                                   0x6298f39a                                         
??0CArena@@QEAA@$$QEAV0@@Z                                                                           0xcda87734                                         
??0CArena@@QEAA@AEBV0@@Z                                                                             0xd18b83bd                                         
??0CArena@@QEAA@XZ                                                                                   0xd94c5ea7                                         
??0CBaseAce@@QEAA@AEBV0@@Z                                                                           0x95c52c1a                                         
??0CBaseAce@@QEAA@XZ                                                                                 0x37ba4544                                         
??0CCheckedInCritSec@@QEAA@PEAVCCritSec@@@Z                                                          0x55cc49af                                         
??0CCircularQueue@@QEAA@XZ                                                                           0x30a7e99a                                         
??0CContainerControl@@QEAA@$$QEAV0@@Z                                                                0x5d562fb1                                         
??0CContainerControl@@QEAA@AEBV0@@Z                                                                  0xb486f8fa                                         
??0CContainerControl@@QEAA@PEAUIUnknown@@@Z                                                          0x86d64590                                         
??0CCritSec@@QEAA@XZ                                                                                 0xe57ddc4d                                         
??0CEnterWbemCriticalSection@@QEAA@PEAVCWbemCriticalSection@@K@Z                                     0xafc683f6                                         
??0CEventLog@@QEAA@AEBV0@@Z                                                                          0x646cc4ba                                         
??0CEventLogRecord@@QEAA@AEAV0@@Z                                                                    0xa1f958f8                                         
??0CHaltable@@QEAA@AEBV0@@Z                                                                          0xd9ead7d3                                         
??0CHex@@QEAA@J@Z                                                                                    0x1fb89c97                                         
??0CInCritSec@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z                                                    0x45a0e206                                         
??0CInsertionString@@QEAA@$$QEAV0@@Z                                                                 0xa565dc3f                                         
??0CInsertionString@@QEAA@AEBV0@@Z                                                                   0x20062a08                                         
??0CInsertionString@@QEAA@PEBD@Z                                                                     0x129004f5                                         
??0CInsertionString@@QEAA@PEBG@Z                                                                     0x129011b8                                         
??0CInsertionString@@QEAA@XZ                                                                         0xc0c6e8b2                                         
??0CLifeControl@@QEAA@$$QEAV0@@Z                                                                     0xe8f9172e                                         
??0CLifeControl@@QEAA@AEBV0@@Z                                                                       0x665fdd37                                         
??0CLifeControl@@QEAA@XZ                                                                             0x23a1a4a1                                         
??0CNtAce@@QEAA@XZ                                                                                   0xed42b7eb                                         
??0CNtSid@@QEAA@XZ                                                                                   0x7a80f722                                         
??0CTraceSessionControl@@QEAA@XZ                                                                     0xbc5ac914                                         
??0CUnk@@QEAA@AEBV0@@Z                                                                               0x9a915f64                                         
??0CUnkInternal@@QEAA@AEBV0@@Z                                                                       0x189cd8c1                                         
??0CUnkInternal@@QEAA@PEAVCLifeControl@@@Z                                                           0x1bd0a5a3                                         
??0CVar@@QEAA@D@Z                                                                                    0x92f15315                                         
??0CVar@@QEAA@E@Z                                                                                    0x92f15756                                         
??0CVar@@QEAA@F@Z                                                                                    0x92f15b97                                         
??0CVar@@QEAA@FH@Z                                                                                   0xf11ced7f                                         
??0CVar@@QEAA@G@Z                                                                                    0x92f15fd8                                         
??0CVar@@QEAA@HPEAG@Z                                                                                0xdac32b56                                         
??0CVar@@QEAA@HPEAUtagSAFEARRAY@@@Z                                                                  0xdca45dbe                                         
??0CVar@@QEAA@HVauto_bstr@@@Z                                                                        0x8bf27fc2                                         
??0CVar@@QEAA@J@Z                                                                                    0x92f16c9b                                         
??0CVar@@QEAA@K@Z                                                                                    0x92f170dc                                         
??0CVar@@QEAA@M@Z                                                                                    0x92f1795e                                         
??0CVar@@QEAA@N@Z                                                                                    0x92f17d9f                                         
??0CVar@@QEAA@PEADH@Z                                                                                0x28a599d3                                         
??0CVar@@QEAA@PEAGH@Z                                                                                0x28a73ef6                                         
??0CVar@@QEAA@PEAU_FILETIME@@@Z                                                                      0x7440cf0a                                         
??0CVar@@QEAA@PEAU_GUID@@H@Z                                                                         0xd05f818c                                         
??0CVar@@QEAA@PEAUtagBLOB@@H@Z                                                                       0xf7cfc2ff                                         
??0CVar@@QEAA@PEAUtagVARIANT@@@Z                                                                     0xab53c62d                                         
??0CVar@@QEAA@PEAVCVarVector@@H@Z                                                                    0x295870e4                                         
??0CVar@@QEAA@XZ                                                                                     0xc6646a09                                         
??0CWbemInterval@@IEAA@K@Z                                                                           0xe2d4f3db                                         
??0CWbemInterval@@QEAA@XZ                                                                            0x4025ef30                                         
??0CWbemTime@@IEAA@_J@Z                                                                              0x14146383                                         
??0CWbemTime@@QEAA@AEBV0@@Z                                                                          0x55abf130                                         
??0CWbemTime@@QEAA@XZ                                                                                0xf21071da                                         
??0CWin32DefaultArena@@QEAA@AEBV0@@Z                                                                 0x116c46b5                                         
??0CWin32DefaultArena@@QEAA@XZ                                                                       0xbe74479f                                         
??0WString@@QEAA@AEBV0@@Z                                                                            0x0feed401                                         
??1CBaseAce@@UEAA@XZ                                                                                 0x59b95a69                                         
??1CCheckedInCritSec@@QEAA@XZ                                                                        0xd147b0cc                                         
??1CCritSec@@QEAA@XZ                                                                                 0xd393fe6e                                         
??1CEnterWbemCriticalSection@@QEAA@XZ                                                                0xf7116dea                                         
??1CEventLogRecord@@QEAA@XZ                                                                          0x81a57a84                                         
??1CInCritSec@@QEAA@XZ                                                                               0x3d61b005                                         
??1CInsertionString@@QEAA@XZ                                                                         0xefe99bd3                                         
??1CUnkInternal@@UEAA@XZ                                                                             0x7ce87e50                                         
??1CWin32DefaultArena@@QEAA@XZ                                                                       0x41104700                                         
??1WString@@QEAA@XZ                                                                                  0xe673adec                                         
??4C9XAce@@QEAAAEAV0@AEBV0@@Z                                                                        0xef7dea41                                         
??4CArena@@QEAAAEAV0@$$QEAV0@@Z                                                                      0x8dbac6e5                                         
??4CArena@@QEAAAEAV0@AEBV0@@Z                                                                        0x24b4332e                                         
??4CBaseAce@@QEAAAEAV0@AEBV0@@Z                                                                      0x3ab1eeab                                         
??4CCheckedInCritSec@@QEAAAEAV0@AEBV0@@Z                                                             0xe616ad12                                         
??4CCircularQueue@@QEAAAEAV0@$$QEAV0@@Z                                                              0x03bd08b8                                         
??4CCircularQueue@@QEAAAEAV0@AEBV0@@Z                                                                0x9f85e441                                         
??4CContainerControl@@QEAAAEAV0@$$QEAV0@@Z                                                           0xf4350b02                                         
??4CContainerControl@@QEAAAEAV0@AEBV0@@Z                                                             0xcca4cc0b                                         
??4CCritSec@@QEAAAEAV0@AEBV0@@Z                                                                      0x2d376e14                                         
??4CEnterWbemCriticalSection@@QEAAAEAV0@AEBV0@@Z                                                     0x2f826e70                                         
??4CFlexQueue@@QEAAAEAV0@AEBV0@@Z                                                                    0x7a9a3f9b                                         
??4CHaltable@@QEAAAEAV0@AEBV0@@Z                                                                     0x7d9a9684                                         
??4CHex@@QEAAAEAV0@$$QEAV0@@Z                                                                        0xebea7a83                                         
??4CHex@@QEAAAEAV0@AEBV0@@Z                                                                          0x0586674c                                         
??4CInCritSec@@QEAAAEAV0@AEBV0@@Z                                                                    0xc3fb400b                                         
??4CInsertionString@@QEAAAEAV0@$$QEAV0@@Z                                                            0x25ac5fd0                                         
??4CInsertionString@@QEAAAEAV0@AEBV0@@Z                                                              0xe7049559                                         
??4CLifeControl@@QEAAAEAV0@$$QEAV0@@Z                                                                0x06e3e61f                                         
??4CLifeControl@@QEAAAEAV0@AEBV0@@Z                                                                  0x8cb83be8                                         
??4CMemoryLog@@QEAAAEAV0@$$QEAV0@@Z                                                                  0x9ca25619                                         
??4CMemoryLog@@QEAAAEAV0@AEBV0@@Z                                                                    0x86466562                                         
??4CNtSecurity@@QEAAAEAV0@$$QEAV0@@Z                                                                 0x17bbc358                                         
??4CNtSecurity@@QEAAAEAV0@AEBV0@@Z                                                                   0x015576e1                                         
??4CPersistentConfig@@QEAAAEAV0@$$QEAV0@@Z                                                           0x3238c1a5                                         
??4CPersistentConfig@@QEAAAEAV0@AEBV0@@Z                                                             0xf7f47dee                                         
??4CSmallArrayBlob@@QEAAAEAV0@$$QEAV0@@Z                                                             0xed6df6b5                                         
??4CSmallArrayBlob@@QEAAAEAV0@AEBV0@@Z                                                               0xcf392efe                                         
??4CStaticCritSec@@QEAAAEAV0@AEBV0@@Z                                                                0x31f0cf5c                                         
??4CTraceSessionControl@@QEAAAEAV0@$$QEAV0@@Z                                                        0xf9b43172                                         
??4CTraceSessionControl@@QEAAAEAV0@AEBV0@@Z                                                          0xde47967b                                         
??4CUnk@@QEAAAEAV0@AEBV0@@Z                                                                          0x1aa55e35                                         
??4CUnkInternal@@QEAAAEAV0@AEBV0@@Z                                                                  0xc531fdb2                                         
??4CWMITraceSettings@@QEAAAEAV0@$$QEAV0@@Z                                                           0xa60040ab                                         
??4CWMITraceSettings@@QEAAAEAV0@AEBV0@@Z                                                             0xbfa48374                                         
??4CWbemCriticalSection@@QEAAAEAV0@AEBV0@@Z                                                          0x7af80492                                         
??4CWbemInterval@@QEAAAEAV0@$$QEAV0@@Z                                                               0x1fd4c18e                                         
??4CWbemInterval@@QEAAAEAV0@AEBV0@@Z                                                                 0x9b8d6f97                                         
??4CWbemTime@@QEAAXAEBV0@@Z                                                                          0xf1b7d54c                                         
??4CWbemTimeSpan@@QEAAAEAV0@$$QEAV0@@Z                                                               0xcb41b6ca                                         
??4CWbemTimeSpan@@QEAAAEAV0@AEBV0@@Z                                                                 0x6f83e5d3                                         
??4CWin32DefaultArena@@QEAAAEAV0@AEBV0@@Z                                                            0xd5cd3726                                         
??4MD5@@QEAAAEAV0@$$QEAV0@@Z                                                                         0x7ce9f581                                         
??4MD5@@QEAAAEAV0@AEBV0@@Z                                                                           0x61cf0aca                                         
??4Registry@@QEAAAEAV0@AEBV0@@Z                                                                      0x2dd01a3d                                         
??ACSmallArrayBlob@@QEBAPEAXH@Z                                                                      0x148fffc7                                         
??ACWStringArray@@QEBAPEAGH@Z                                                                        0x69d403ec                                         
??BCHex@@QEAAJXZ                                                                                     0x714bc261                                         
??BCVar@@QEAA?AU_FILETIME@@XZ                                                                        0xdd29af1e                                         
??BCVar@@QEAADXZ                                                                                     0xf0e8885f                                         
??BCVar@@QEAAEXZ                                                                                     0xf0e88ca0                                         
??BCVar@@QEAAFXZ                                                                                     0xf0e890e1                                         
??BCVar@@QEAAGXZ                                                                                     0xf0e89522                                         
??BCVar@@QEAAJXZ                                                                                     0xf0e8a1e5                                         
??BCVar@@QEAAKXZ                                                                                     0xf0e8a626                                         
??BCVar@@QEAAMXZ                                                                                     0xf0e8aea8                                         
??BCVar@@QEAANXZ                                                                                     0xf0e8b2e9                                         
??BCVar@@QEAAPEADXZ                                                                                  0x8d492d75                                         
??BCVar@@QEAAPEAGXZ                                                                                  0x8d493a38                                         
??BCVar@@QEAAPEAU_GUID@@XZ                                                                           0x57343dce                                         
