DLL Path: C:\Windows\System32\wlanapi.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AcmGenerateConnectionId                                                                              0x79d0951e                                         
AcmGenerateConnectionIdForNotification                                                               0x27dfeccc                                         
AcmGenerateNetworkId                                                                                 0xf1bba2f8                                         
ConvertFrequencyToBandChannel                                                                        0xf1f89649                                         
ConvertPassPhraseKeyStringToBuffer                                                                   0x1e6f0dbd                                         
FreeMSMSecConfig                                                                                     0x0bdf2a65                                         
MSMSecCreateDefaultProfileStatic                                                                     0x5616c2ff                                         
MSMSecGetCopyOfSupportedAuthCiphers                                                                  0xd3982d03                                         
MSMSecGetNetworkCapabilitiesFromBSSDescriptionList                                                   0xccb6571d                                         
MSMSecProfileValidForSafeMode                                                                        0xde71b059                                         
MSMSecSanitizeAuthCipherList                                                                         0xb4149b5d                                         
MSMSecValidateL2UIRequest                                                                            0x121b077c                                         
QueryNetconStatus                                                                                    0x8ae4f006                                         
QueryNetconVirtualCharacteristic                                                                     0xd7b68b52                                         
ShouldUseWlanString                                                                                  0x676df6ea                                         
SsidToStringW                                                                                        0x22a84149                                         
WFDAbortSessionInt                                                                                   0x6db3fc6d                                         
WFDAcceptConnectRequestAndOpenSessionInt                                                             0x3a2b681d                                         
WFDAcceptGroupRequestAndOpenSessionInt                                                               0xea8b7200                                         
WFDCancelConnectorPairWithOOB                                                                        0x6bb5001f                                         
WFDCancelListenerPairWithOOB                                                                         0x9c9a2a9a                                         
WFDCancelOpenSession                                                                                 0x084c6f22                                         
WFDCancelOpenSessionInt                                                                              0xf1bdf90d                                         
WFDCloseHandle                                                                                       0x30e1f8a8                                         
WFDCloseHandleInt                                                                                    0x199c5cd3                                         
WFDCloseLegacySessionInt                                                                             0xadd7d9a0                                         
WFDCloseOOBPairingSession                                                                            0x06c17e8a                                         
WFDCloseSession                                                                                      0xa598f5a0                                         
WFDCloseSessionInt                                                                                   0x6549d6cb                                         
WFDConfigureFirewallForSessionInt                                                                    0x1b56b2b4                                         
WFDCreateDHPrivatePublicKeyPairInt                                                                   0xb9a05e80                                         
WFDDeclineConnectRequestInt                                                                          0x67e04278                                         
WFDDeclineGroupRequestInt                                                                            0x0cd9ca1b                                         
WFDDiscoverDeviceServiceInformationInt                                                               0x308c1997                                         
WFDDiscoverDevicesExInt                                                                              0xf69e6e50                                         
WFDDiscoverDevicesInt                                                                                0x3a86ac13                                         
WFDFlushVisibleDeviceListInt                                                                         0xdb6a684d                                         
WFDForceDisconnectInt                                                                                0x2130582a                                         
