DLL Path: C:\Windows\System32\RpcNs4.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
I_RpcNsGetBuffer                                                                                     0xee0a62ed                                         
I_RpcNsNegotiateTransferSyntax                                                                       0x4499371f                                         
I_RpcNsRaiseException                                                                                0x69102df6                                         
I_RpcNsSendReceive                                                                                   0xf79919e0                                         
I_RpcReBindBuffer                                                                                    0x1f98a9c0                                         
RpcIfIdVectorFree                                                                                    0x2a527b7b                                         
RpcNsBindingExportA                                                                                  0x77e42ae9                                         
RpcNsBindingExportPnPA                                                                               0x34f5c677                                         
RpcNsBindingExportPnPW                                                                               0x34f5c68d                                         
RpcNsBindingExportW                                                                                  0x77e42aff                                         
RpcNsBindingImportBeginA                                                                             0x31152be7                                         
RpcNsBindingImportBeginW                                                                             0x31152bfd                                         
RpcNsBindingImportDone                                                                               0x43c0a3a7                                         
RpcNsBindingImportNext                                                                               0x43c5f640                                         
RpcNsBindingLookupBeginA                                                                             0x8988e506                                         
RpcNsBindingLookupBeginW                                                                             0x8988e51c                                         
RpcNsBindingLookupDone                                                                               0x1f658906                                         
RpcNsBindingLookupNext                                                                               0x1f6adb9f                                         
RpcNsBindingSelect                                                                                   0x70837ee6                                         
RpcNsBindingUnexportA                                                                                0xd4e70a8c                                         
RpcNsBindingUnexportPnPA                                                                             0x0559a73a                                         
RpcNsBindingUnexportPnPW                                                                             0x0559a750                                         
RpcNsBindingUnexportW                                                                                0xd4e70aa2                                         
RpcNsEntryExpandNameA                                                                                0xaa2dfddf                                         
RpcNsEntryExpandNameW                                                                                0xaa2dfdf5                                         
RpcNsEntryObjectInqBeginA                                                                            0x3f216982                                         
RpcNsEntryObjectInqBeginW                                                                            0x3f216998                                         
RpcNsEntryObjectInqDone                                                                              0x22dabe82                                         
RpcNsEntryObjectInqNext                                                                              0x22e0111b                                         
RpcNsGroupDeleteA                                                                                    0x691ecc4c                                         
RpcNsGroupDeleteW                                                                                    0x691ecc62                                         
RpcNsGroupMbrAddA                                                                                    0x17440663                                         
RpcNsGroupMbrAddW                                                                                    0x17440679                                         
RpcNsGroupMbrInqBeginA                                                                               0xf8848687                                         
RpcNsGroupMbrInqBeginW                                                                               0xf884869d                                         
RpcNsGroupMbrInqDone                                                                                 0x8458d647                                         
RpcNsGroupMbrInqNextA                                                                                0x10234521                                         
RpcNsGroupMbrInqNextW                                                                                0x10234537                                         
RpcNsGroupMbrRemoveA                                                                                 0x23f5da28                                         
RpcNsGroupMbrRemoveW                                                                                 0x23f5da3e                                         
RpcNsMgmtBindingUnexportA                                                                            0xf135dfe1                                         
RpcNsMgmtBindingUnexportW                                                                            0xf135dff7                                         
RpcNsMgmtEntryCreateA                                                                                0x3284a447                                         
RpcNsMgmtEntryCreateW                                                                                0x3284a45d                                         
RpcNsMgmtEntryDeleteA                                                                                0x61acade6                                         
RpcNsMgmtEntryDeleteW                                                                                0x61acadfc                                         
RpcNsMgmtEntryInqIfIdsA                                                                              0x52d520ca                                         
RpcNsMgmtEntryInqIfIdsW                                                                              0x52d520e0                                         
RpcNsMgmtHandleSetExpAge                                                                             0xff2643f2                                         
RpcNsMgmtInqExpAge                                                                                   0x85e7fa82                                         
RpcNsMgmtSetExpAge                                                                                   0xab629ee6                                         
RpcNsProfileDeleteA                                                                                  0x8054cb70                                         
RpcNsProfileDeleteW                                                                                  0x8054cb86                                         
RpcNsProfileEltAddA                                                                                  0xde1fe6cb                                         
RpcNsProfileEltAddW                                                                                  0xde1fe6e1                                         
RpcNsProfileEltInqBeginA                                                                             0xb664e7ef                                         
RpcNsProfileEltInqBeginW                                                                             0xb664e805                                         
RpcNsProfileEltInqDone                                                                               0x1c61bdaf                                         
RpcNsProfileEltInqNextA                                                                              0xa9491989                                         
RpcNsProfileEltInqNextW                                                                              0xa949199f                                         
RpcNsProfileEltRemoveA                                                                               0xbbfec190                                         
RpcNsProfileEltRemoveW                                                                               0xbbfec1a6                                         
