DLL Path: C:\Windows\System32\imagehlp.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BindImage                                                                                            0xe3626365                                         
BindImageEx                                                                                          0x4588da02                                         
CheckSumMappedFile                                                                                   0x4b57746f                                         
EnumerateLoadedModules                                                                               0x4ce73bed                                         
EnumerateLoadedModules64                                                                             0x23a5f257                                         
EnumerateLoadedModulesEx                                                                             0x23a5f48a                                         
EnumerateLoadedModulesExW                                                                            0x98648621                                         
EnumerateLoadedModulesW64                                                                            0x9864ca0e                                         
FindDebugInfoFile                                                                                    0x8043bb99                                         
FindDebugInfoFileEx                                                                                  0xa0210f36                                         
FindExecutableImage                                                                                  0xe2cb2deb                                         
FindExecutableImageEx                                                                                0xc24e5e08                                         
FindFileInPath                                                                                       0x8d6405ea                                         
FindFileInSearchPath                                                                                 0x8dba8ca0                                         
GetImageConfigInformation                                                                            0x29c8c524                                         
GetImageUnusedHeaderBytes                                                                            0x238eb1ac                                         
GetSymLoadError                                                                                      0xf8473aa8                                         
GetTimestampForLoadedLibrary                                                                         0x9b8e601e                                         
ImageAddCertificate                                                                                  0x1ac624d4                                         
ImageDirectoryEntryToData                                                                            0x5fd6b5ac                                         
ImageDirectoryEntryToDataEx                                                                          0xb05ada09                                         
ImageEnumerateCertificates                                                                           0xf69b6044                                         
ImageGetCertificateData                                                                              0x930c7165                                         
ImageGetCertificateDataEx                                                                            0x87ee6802                                         
ImageGetCertificateHeader                                                                            0x91811234                                         
ImageGetDigestStream                                                                                 0xfd3c5314                                         
ImageLoad                                                                                            0xe4040268                                         
ImageNtHeader                                                                                        0x90edd853                                         
ImageRemoveCertificate                                                                               0xe1e6ec79                                         
ImageRvaToSection                                                                                    0xcf70ea49                                         
ImageRvaToVa                                                                                         0x75006feb                                         
ImageUnload                                                                                          0x0a00d56b                                         
ImagehlpApiVersion                                                                                   0x6de3e82c                                         
ImagehlpApiVersionEx                                                                                 0x767eac89                                         
IsBufferCleanOfInvalidMarkers                                                                        0x1eacee8f                                         
MakeSureDirectoryPathExists                                                                          0x0e06cfc4                                         
MapAndLoad                                                                                           0x802d8076                                         
MapFileAndCheckSumA                                                                                  0x8ddda3ca                                         
MapFileAndCheckSumW                                                                                  0x8ddda3e0                                         
ReBaseImage                                                                                          0x4db6a2da                                         
ReBaseImage64                                                                                        0x95eac884                                         
RemoveInvalidModuleList                                                                              0xbd2e8f3c                                         
RemovePrivateCvSymbolic                                                                              0x471223a9                                         
RemovePrivateCvSymbolicEx                                                                            0x5429bb46                                         
RemoveRelocations                                                                                    0x027369f6                                         
ReportSymbolLoadSummary                                                                              0xa8051d85                                         
SearchTreeForFile                                                                                    0x8be27392                                         
SetCheckUserInterruptShared                                                                          0x70958452                                         
SetImageConfigInformation                                                                            0x3aeca930                                         
SetSymLoadError                                                                                      0x9fa05fb4                                         
SplitSymbols                                                                                         0x30bb59fa                                         
StackWalk                                                                                            0xddcafd2a                                         
StackWalk64                                                                                          0x7c7ef6d4                                         
StackWalkEx                                                                                          0x7c7ef907                                         
SymAddrIncludeInlineTrace                                                                            0xb5b66c4b                                         
SymAllocDiaString                                                                                    0xbcb1f96e                                         
SymCleanup                                                                                           0x54b9c3c6                                         
SymCompareInlineTrace                                                                                0x00ceb4b3                                         
SymEnumSym                                                                                           0xf48038cc                                         
SymEnumSymbols                                                                                       0x387f627c                                         
SymEnumSymbolsEx                                                                                     0x55e1fad9                                         
SymEnumSymbolsExW                                                                                    0x12215650                                         
SymEnumSymbolsForAddr                                                                                0x8e8dbe5e                                         
SymEnumTypes                                                                                         0x1583ce88                                         
