DLL Path: C:\Windows\System32\msoert2.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AppendTempFileList                                                                                   0xd6ff046f                                         
BrowseForFolder                                                                                      0xfdaf4a9a                                         
BrowseForFolderW                                                                                     0xb3989e31                                         
CchFileTimeToDateTimeSz                                                                              0x7095c69f                                         
CchFileTimeToDateTimeW                                                                               0x2a331589                                         
CenterDialog                                                                                         0x6e7f3576                                         
ChConvertFromHex                                                                                     0x55e342ea                                         
CleanupFileNameInPlaceA                                                                              0x4d544d0b                                         
CleanupFileNameInPlaceW                                                                              0x4d544d21                                         
CleanupGlobalTempFiles                                                                               0xbfd71307                                         
CopyRegistry                                                                                         0xd2b84e19                                         
CrackNotificationPackage                                                                             0x22a9b0dc                                         
CreateDataObject                                                                                     0x12c2112a                                         
CreateEnumFormatEtc                                                                                  0x1fd1c873                                         
CreateLogFile                                                                                        0x07d1cafb                                         
CreateNotify                                                                                         0x7189d692                                         
CreateStreamOnHFile                                                                                  0xd72beaaa                                         
CreateStreamOnHFileW                                                                                 0xbca94041                                         
CreateSystemHandleName                                                                               0x78f024ab                                         
CreateTempFile                                                                                       0x73372e0f                                         
CreateTempFileStream                                                                                 0x041ac1bb                                         
CreateTempFileW                                                                                      0xda1cf046                                         
CryptAllocFunc                                                                                       0xf9ec18ae                                         
CryptFreeFunc                                                                                        0x69631e65                                         
DeleteTempFile                                                                                       0x12be4ece                                         
DeleteTempFileOnShutdownEx                                                                           0xcae10c44                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
FBuildTempPath                                                                                       0xe875f39e                                         
FBuildTempPathW                                                                                      0xf73467b5                                         
FInitializeRichEdit                                                                                  0x55b9fb49                                         
FIsEmptyA                                                                                            0x683a39d7                                         
FIsEmptyW                                                                                            0x683a39ed                                         
FIsHTMLFile                                                                                          0x4b71fa5c                                         
FIsHTMLFileW                                                                                         0xb9b14633                                         
FIsSpaceA                                                                                            0x89103794                                         
FIsSpaceW                                                                                            0x891037aa                                         
FIsValidFileNameCharA                                                                                0x732ba737                                         
FIsValidFileNameCharW                                                                                0x732ba74d                                         
FMissingCert                                                                                         0x90887313                                         
FreeTempFileList                                                                                     0x07370319                                         
GenerateUniqueFileName                                                                               0xea5ad7c8                                         
GenerateUniqueFileNameW                                                                              0x35b5d11f                                         
GetDllMajorVersion                                                                                   0x2df27740                                         
GetExePath                                                                                           0x3637cb74                                         
GetHtmlCharset                                                                                       0xb4cbd984                                         
GetRichEdClassStringW                                                                                0x2a42a5f8                                         
GetStoreRootDirectoryFromRegistryEntry                                                               0x4cedbe6a                                         
GetStoreRootDirectoryFromRegistryEntryW                                                              0xeaa58c01                                         
GetTopMostParent                                                                                     0x7fe65be5                                         
HrBSTRToLPSZ                                                                                         0x49261d26                                         
HrCheckTridentMenu                                                                                   0xd0369bcc                                         
HrCopyLockBytesToStream                                                                              0xa47ab2f9                                         
HrCopyStream                                                                                         0x9a3a17e6                                         
HrCopyStreamCB                                                                                       0x111fb24b                                         
HrCopyStreamCBEndOnCRLF                                                                              0x07c85566                                         
HrCopyStreamToByte                                                                                   0x4df2243d                                         
HrCreatePhonebookEntry                                                                               0xa6f9020a                                         
HrCreateTridentMenu                                                                                  0x02b537c2                                         
HrDecodeObject                                                                                       0x26edc03a                                         
HrEditPhonebookEntryW                                                                                0x006f4953                                         
HrFillRasCombo                                                                                       0xe672cb1c                                         
HrFindInetTimeZone                                                                                   0x4114619b                                         
HrGetBodyElement                                                                                     0xe1182cf7                                         
HrGetCertKeyUsage                                                                                    0x8d4778ab                                         
HrGetCertificateParam                                                                                0xd462f213                                         
HrGetElementImpl                                                                                     0x6b62cd5b                                         
HrGetMsgParam                                                                                        0x83b2c837                                         
HrGetStreamPos                                                                                       0x20f235fd                                         
HrGetStreamSize                                                                                      0x3f3a8286                                         
HrGetStyleSheet                                                                                      0xd76893a9                                         
HrIStreamToBSTR                                                                                      0xb0132792                                         
