DLL Path: C:\Windows\System32\ncrypt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BCryptAddContextFunction                                                                             0x53be142d                                         
BCryptAddContextFunctionProvider                                                                     0x8bf2b958                                         
BCryptCloseAlgorithmProvider                                                                         0xfcd0cdc1                                         
BCryptConfigureContext                                                                               0x39195e80                                         
BCryptConfigureContextFunction                                                                       0x020630a6                                         
BCryptCreateContext                                                                                  0x74ccfe12                                         
BCryptCreateHash                                                                                     0xc30cab11                                         
BCryptDecrypt                                                                                        0x690ba834                                         
BCryptDeleteContext                                                                                  0xfd8382f1                                         
BCryptDeriveKey                                                                                      0x4804b441                                         
BCryptDeriveKeyCapi                                                                                  0x67fd559e                                         
BCryptDeriveKeyPBKDF2                                                                                0x78b66f7a                                         
BCryptDestroyHash                                                                                    0xddee2bc7                                         
BCryptDestroyKey                                                                                     0x7b16c8cc                                         
BCryptDestroySecret                                                                                  0x2c10cc69                                         
BCryptDuplicateHash                                                                                  0x74db7bf8                                         
BCryptDuplicateKey                                                                                   0x229256dd                                         
BCryptEncrypt                                                                                        0xcb04529e                                         
BCryptEnumAlgorithms                                                                                 0x3a2309e8                                         
BCryptEnumContextFunctionProviders                                                                   0x309647b7                                         
BCryptEnumContextFunctions                                                                           0x713ed12c                                         
BCryptEnumContexts                                                                                   0xdef71746                                         
BCryptEnumProviders                                                                                  0xbed2f4ac                                         
BCryptEnumRegisteredProviders                                                                        0x6ee748fa                                         
BCryptExportKey                                                                                      0xb92e43e4                                         
BCryptFinalizeKeyPair                                                                                0x847efbe0                                         
BCryptFinishHash                                                                                     0x6acfe83e                                         
BCryptFreeBuffer                                                                                     0x8fa570f5                                         
BCryptGenRandom                                                                                      0x3a73c634                                         
BCryptGenerateKeyPair                                                                                0x43800919                                         
BCryptGenerateSymmetricKey                                                                           0xa81d472a                                         
BCryptGetFipsAlgorithmMode                                                                           0x82a69e77                                         
BCryptGetProperty                                                                                    0xa8ac1fde                                         
BCryptHash                                                                                           0x622e687d                                         
BCryptHashData                                                                                       0x2c1f54b7                                         
BCryptImportKey                                                                                      0x644be23d                                         
BCryptImportKeyPair                                                                                  0x8fea41a9                                         
BCryptKeyDerivation                                                                                  0x12106737                                         
BCryptOpenAlgorithmProvider                                                                          0x2a15dfdd                                         
BCryptQueryContextConfiguration                                                                      0x3c82fa4c                                         
BCryptQueryContextFunctionConfiguration                                                              0x8eb92e32                                         
BCryptQueryContextFunctionProperty                                                                   0x9769061f                                         
BCryptQueryProviderRegistration                                                                      0xd81b2c75                                         
BCryptRegisterConfigChangeNotify                                                                     0x5e952cf3                                         
BCryptRegisterProvider                                                                               0x0e6b0469                                         
BCryptRemoveContextFunction                                                                          0x0d6368b2                                         
BCryptRemoveContextFunctionProvider                                                                  0x7452c2dd                                         
BCryptResolveProviders                                                                               0x76688137                                         
BCryptSecretAgreement                                                                                0xe1b18b37                                         
BCryptSetAuditingInterface                                                                           0x81ea842b                                         
BCryptSetContextFunctionProperty                                                                     0x76a48bb5                                         
BCryptSetProperty                                                                                    0xe9049eea                                         
BCryptSignHash                                                                                       0x9f363d4e                                         
BCryptUnregisterConfigChangeNotify                                                                   0xcd944476                                         
BCryptUnregisterProvider                                                                             0x5e874c2c                                         
BCryptVerifySignature                                                                                0x2259cbe0                                         
GetIsolationServerInterface                                                                          0x72a599bf                                         
GetKeyStorageInterface                                                                               0x18eb4834                                         
GetSChannelInterface                                                                                 0x8a407622                                         
NCryptCloseKeyProtector                                                                              0x4ce6fa86                                         
NCryptCloseProtectionDescriptor                                                                      0x26896f81                                         
NCryptCreateClaim                                                                                    0x0683e6df                                         
NCryptCreatePersistedKey                                                                             0xc97499d5                                         
NCryptCreateProtectionDescriptor                                                                     0x9362eadf                                         
NCryptDecrypt                                                                                        0x21801a40                                         
NCryptDeleteKey                                                                                      0x18079941                                         
NCryptDeriveKey                                                                                      0xef5dd94d                                         
NCryptDuplicateKeyProtectorHandle                                                                    0x0e05d017                                         
NCryptEncrypt                                                                                        0x8378c4aa                                         
NCryptEnumAlgorithms                                                                                 0xcbf93674                                         
NCryptEnumKeys                                                                                       0x1c1a5396                                         
NCryptEnumStorageProviders                                                                           0x9c1e170d                                         
NCryptExportKey                                                                                      0x608768f0                                         
NCryptFinalizeKey                                                                                    0x2ffcb100                                         
NCryptFreeBuffer                                                                                     0x22233781                                         
NCryptFreeObject                                                                                     0x3f20a31e                                         
NCryptGetProperty                                                                                    0x8ae2b7ea                                         
NCryptGetProtectionDescriptorInfo                                                                    0xb2efdb57                                         
NCryptImportKey                                                                                      0x0ba50749                                         
NCryptIsAlgSupported                                                                                 0x3cc95d5b                                         
NCryptIsKeyHandle                                                                                    0x467c2b76                                         
NCryptKeyDerivation                                                                                  0x5c4d3243                                         
NCryptNotifyChangeKey                                                                                0xc277c2cd                                         
NCryptOpenKey                                                                                        0x8a0aafe0                                         
NCryptOpenKeyProtector                                                                               0x4a6559a2                                         
NCryptOpenStorageProvider                                                                            0xde53f3f7                                         
NCryptProtectKey                                                                                     0x582ed24f                                         
NCryptProtectSecret                                                                                  0x17600b0c                                         
NCryptQueryProtectionDescriptorName                                                                  0xf1ff7482                                         
NCryptRegisterProtectionDescriptorName                                                               0xe84b11d1                                         
NCryptSecretAgreement                                                                                0xae4d4943                                         
NCryptSetAuditingInterface                                                                           0xb78ae9b7                                         
NCryptSetProperty                                                                                    0xcb3b36f6                                         
NCryptSignHash                                                                                       0x6638f0da                                         
NCryptStreamClose                                                                                    0x5bd46d47                                         
NCryptStreamOpenToProtect                                                                            0x416398e7                                         
NCryptStreamOpenToUnprotect                                                                          0x0722508a                                         
NCryptStreamOpenToUnprotectEx                                                                        0x58f8a467                                         
NCryptStreamUpdate                                                                                   0x00a10114                                         
NCryptTranslateHandle                                                                                0x7e4ce17f                                         
NCryptUnprotectKey                                                                                   0x4f7916d2                                         
NCryptUnprotectSecret                                                                                0x67fba4af                                         
NCryptVerifyClaim                                                                                    0xfd343a20                                         
NCryptVerifySignature                                                                                0xeef589ec                                         
SslChangeNotify                                                                                      0x61575456                                         
SslComputeClientAuthHash                                                                             0x7a0ebe89                                         
SslComputeEapKeyBlock                                                                                0x179cabbe                                         
SslComputeFinishedHash                                                                               0x25854262                                         
SslComputeSessionHash                                                                                0xda350bbc                                         
SslCreateClientAuthHash                                                                              0xfb097f00                                         
SslCreateEphemeralKey                                                                                0xb1325727                                         
SslCreateHandshakeHash                                                                               0x7d5ede56                                         
SslDecrementProviderReferenceCount                                                                   0xb951acb1                                         
SslDecryptPacket                                                                                     0xdeb8a7aa                                         
SslDuplicateTranscriptHash                                                                           0xe8fa0700                                         
SslEncryptPacket                                                                                     0xe6a5f994                                         
SslEnumCipherSuites                                                                                  0xa67d99c4                                         
SslEnumCipherSuitesEx                                                                                0x3c4b2421                                         
SslEnumEccCurves                                                                                     0x50d8586f                                         
SslEnumProtocolProviders                                                                             0x76bace7c                                         
SslExpandBinderKey                                                                                   0x918082d4                                         
SslExpandExporterMasterKey                                                                           0x4f8bb365                                         
SslExpandPreSharedKey                                                                                0xe942d09e                                         
SslExpandResumptionMasterKey                                                                         0xd6d6f7c2                                         
SslExpandTrafficKeys                                                                                 0xa061e192                                         
SslExpandWriteKey                                                                                    0x5da5d6ab                                         
SslExportKey                                                                                         0xb1c1f402                                         
SslExportKeyingMaterial                                                                              0x6c42c96f                                         
SslExtractEarlyKey                                                                                   0x04e7de98                                         
SslExtractHandshakeKey                                                                               0xdfe65002                                         
SslExtractMasterKey                                                                                  0xa415c367                                         
SslFreeBuffer                                                                                        0x9aaf24d3                                         
SslFreeObject                                                                                        0xb7ac9070                                         
SslGenerateMasterKey                                                                                 0xf1da3317                                         
SslGeneratePreMasterKey                                                                              0x69aacb1e                                         
SslGenerateSessionKeys                                                                               0x449c4fe2                                         
SslGetCipherSuitePRFHashAlgorithm                                                                    0x979f4d4f                                         
SslGetKeyProperty                                                                                    0x3faf09a5                                         
SslGetProviderProperty                                                                               0x241479a7                                         
SslHashHandshake                                                                                     0xc42df3c2                                         
SslImportKey                                                                                         0x5cdf925b                                         
SslImportMasterKey                                                                                   0xdbc6b027                                         
SslIncrementProviderReferenceCount                                                                   0x1f8df41f                                         
SslLookupCipherLengths                                                                               0xe4001021                                         
SslLookupCipherSuiteInfo                                                                             0x74186ae2                                         
SslOpenPrivateKey                                                                                    0x81e1ce0d                                         
SslOpenProvider                                                                                      0xe40d63b4                                         
SslSignHash                                                                                          0x41e561ac                                         
SslVerifySignature                                                                                   0x0c449a7e                                         
