DLL Path: C:\Windows\System32\netapi32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DavAddConnection                                                                                     0xa35fdf99                                         
DavDeleteConnection                                                                                  0xf485d9e3                                         
DavFlushFile                                                                                         0x863502c2                                         
DavGetExtendedError                                                                                  0xbc99645b                                         
DavGetHTTPFromUNCPath                                                                                0xa3051d47                                         
DavGetUNCFromHTTPPath                                                                                0xee95d1c7                                         
DsAddressToSiteNamesA                                                                                0x25412d8f                                         
DsAddressToSiteNamesExA                                                                              0x7a42ee0c                                         
DsAddressToSiteNamesExW                                                                              0x7a42ee22                                         
DsAddressToSiteNamesW                                                                                0x25412da5                                         
DsDeregisterDnsHostRecordsA                                                                          0x241d1620                                         
DsDeregisterDnsHostRecordsW                                                                          0x241d1636                                         
DsEnumerateDomainTrustsA                                                                             0x280648b0                                         
DsEnumerateDomainTrustsW                                                                             0x280648c6                                         
DsGetDcCloseW                                                                                        0x073e6110                                         
DsGetDcNameA                                                                                         0xc2e9a885                                         
DsGetDcNameW                                                                                         0xc2e9a89b                                         
DsGetDcNameWithAccountA                                                                              0x62ce222e                                         
DsGetDcNameWithAccountW                                                                              0x62ce2244                                         
DsGetDcNextA                                                                                         0xc2ec0ac3                                         
DsGetDcNextW                                                                                         0xc2ec0ad9                                         
DsGetDcOpenA                                                                                         0xc303d9d6                                         
DsGetDcOpenW                                                                                         0xc303d9ec                                         
DsGetDcSiteCoverageA                                                                                 0x4d728285                                         
DsGetDcSiteCoverageW                                                                                 0x4d72829b                                         
DsGetForestTrustInformationW                                                                         0x2e21216e                                         
DsGetSiteNameA                                                                                       0xf512c093                                         
DsGetSiteNameW                                                                                       0xf512c0a9                                         
DsMergeForestTrustInformationW                                                                       0x7fa1729e                                         
DsRoleFreeMemory                                                                                     0x4805dee9                                         
DsRoleGetPrimaryDomainInformation                                                                    0xf8cbd450                                         
DsValidateSubnetNameA                                                                                0x592dc879                                         
DsValidateSubnetNameW                                                                                0x592dc88f                                         
I_BrowserSetNetlogonState                                                                            0xf1cfd524                                         
I_DsUpdateReadOnlyServerDnsRecords                                                                   0xa75cc673                                         
I_NetAccountDeltas                                                                                   0x6f85bcfe                                         
I_NetAccountSync                                                                                     0x7d6eb47e                                         
I_NetChainSetClientAttributes                                                                        0x9d797b69                                         
