DLL Path: C:\Windows\System32\untfs.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0NTFS_ATTRIBUTE@@QEAA@XZ                                                                           0x437f6d8b                                         
??0NTFS_ATTRIBUTE_DEFINITION_TABLE@@QEAA@XZ                                                          0xc2ff647a                                         
??0NTFS_ATTRIBUTE_LIST@@QEAA@XZ                                                                      0x0b5056c6                                         
??0NTFS_ATTRIBUTE_RECORD@@QEAA@XZ                                                                    0x0cdb4269                                         
??0NTFS_BAD_CLUSTER_FILE@@QEAA@XZ                                                                    0xe054ecde                                         
??0NTFS_BITMAP@@QEAA@XZ                                                                              0x6dbf74b4                                         
??0NTFS_BITMAP_FILE@@QEAA@XZ                                                                         0x92ee90d3                                         
??0NTFS_BOOT_FILE@@QEAA@XZ                                                                           0x3b8c530a                                         
??0NTFS_CLUSTER_RUN@@QEAA@XZ                                                                         0xffeb3acd                                         
??0NTFS_EXTENT_LIST@@QEAA@XZ                                                                         0xa7935bea                                         
??0NTFS_FILE_RECORD_SEGMENT@@QEAA@XZ                                                                 0x7e106e87                                         
??0NTFS_FRS_STRUCTURE@@QEAA@XZ                                                                       0x6679b792                                         
??0NTFS_INDEX_TREE@@QEAA@XZ                                                                          0x787ffd9e                                         
??0NTFS_LOG_FILE@@QEAA@XZ                                                                            0xcb467818                                         
??0NTFS_MFT_FILE@@QEAA@XZ                                                                            0x3ae297fd                                         
??0NTFS_MFT_INFO@@QEAA@XZ                                                                            0x25fdf329                                         
??0NTFS_REFLECTED_MASTER_FILE_TABLE@@QEAA@XZ                                                         0x6dd14a16                                         
??0NTFS_SA@@QEAA@XZ                                                                                  0xb31c14ab                                         
??0NTFS_UPCASE_FILE@@QEAA@XZ                                                                         0xb5cbe417                                         
??0NTFS_UPCASE_TABLE@@QEAA@XZ                                                                        0xf6bfe55f                                         
??0NTFS_VOLUME_FILE@@QEAA@XZ                                                                         0x5fa6a42e                                         
??1NTFS_ATTRIBUTE@@UEAA@XZ                                                                           0x4651d770                                         
??1NTFS_ATTRIBUTE_DEFINITION_TABLE@@UEAA@XZ                                                          0x0a208c7f                                         
??1NTFS_ATTRIBUTE_LIST@@UEAA@XZ                                                                      0x1555354b                                         
??1NTFS_ATTRIBUTE_RECORD@@UEAA@XZ                                                                    0x0d89052e                                         
??1NTFS_BAD_CLUSTER_FILE@@UEAA@XZ                                                                    0xe102afa3                                         
??1NTFS_BITMAP@@UEAA@XZ                                                                              0xf2b56239                                         
??1NTFS_BITMAP_FILE@@UEAA@XZ                                                                         0xf5fa36f8                                         
??1NTFS_BOOT_FILE@@UEAA@XZ                                                                           0x3e5ebcef                                         
??1NTFS_CLUSTER_RUN@@UEAA@XZ                                                                         0x62f6e0f2                                         
??1NTFS_EXTENT_LIST@@UEAA@XZ                                                                         0x0a9f020f                                         
??1NTFS_FILE_RECORD_SEGMENT@@UEAA@XZ                                                                 0xea29a5ac                                         
??1NTFS_FRS_STRUCTURE@@UEAA@XZ                                                                       0x1cfea9f7                                         
??1NTFS_INDEX_TREE@@UEAA@XZ                                                                          0x588143a3                                         
??1NTFS_LOG_FILE@@UEAA@XZ                                                                            0xc76509dd                                         
??1NTFS_MFT_FILE@@UEAA@XZ                                                                            0x370129c2                                         
??1NTFS_MFT_INFO@@UEAA@XZ                                                                            0x221c84ee                                         
??1NTFS_REFLECTED_MASTER_FILE_TABLE@@UEAA@XZ                                                         0x1bf9123b                                         
??1NTFS_SA@@UEAA@XZ                                                                                  0x79dee9b0                                         
??1NTFS_UPCASE_FILE@@UEAA@XZ                                                                         0x18d78a3c                                         
