DLL Path: C:\Windows\System32\AppxAllUserStore.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AddDeprovisionedPackageMarking                                                                       0x0733779e                                         
AddDeprovisionedSharedPackageContainerMarking                                                        0xcc607938                                         
AddDownlevelInstalledPackageToRegistryStore                                                          0x7c5f7133                                         
AddEndOfLifePackageMarking                                                                           0xd48e182f                                         
AddEndOfLifePackageMarkingForAllUsers                                                                0x7d0ece01                                         
AddPackageToPinnedList                                                                               0xb1be14f7                                         
AddPackageToPreinstalledAppsVolume                                                                   0x4d2556f0                                         
AddPackageToRegistryStore                                                                            0x20d1baa3                                         
AddSharedPackageContainerToRegistryStore                                                             0x5251079d                                         
AddStagedPackageToPreinstalledAppsVolume                                                             0x89d4ed68                                         
AddStagedPackageToRegistryStore                                                                      0x20986a1b                                         
AddUpgradePackageAndStubPreferenceToPreinstalledVolume                                               0xaa4bb9f4                                         
AddUpgradePackageToPreinstalledVolume                                                                0x37069cc4                                         
AddUpgradePackageToRegistryStore                                                                     0x59682c6b                                         
ApplyFrameworkPackageRootFolderACLs                                                                  0xb6fe3b48                                         
ApplyPackageRootFolderACLs                                                                           0xad21d6ba                                         
ApplySharedFileACLs                                                                                  0x83c44385                                         
CheckPackagePreinstallPolicy                                                                         0xe68bf71d                                         
CleanupPreinstalledPackageForRemoval                                                                 0x111c9d7d                                         
CommitTakeOwnershipSession                                                                           0xa977a556                                         
DeleteAllContainersFromContainerArray                                                                0xbffa307d                                         
DeleteAllPackagesFromMainPackageArray                                                                0x90905a14                                         
DeleteAllPackagesFromPackageArray                                                                    0xc9c594cf                                         
DeletePackageFamiliesArray                                                                           0x1419432d                                         
DeletePackageInfo                                                                                    0xf69fca90                                         
DeleteUpdatedPackageKey                                                                              0xfa8e43b4                                         
DeleteUserRegistryKeyFromAllUserStore                                                                0x12b86352                                         
DidAppSurviveOSUpgradeForUser                                                                        0xab5c37db                                         
DoesPerUserStoreExist                                                                                0x58be3ff0                                         
FamilyMonikerStringToSid                                                                             0xd815b536                                         
FindExistingVersionInRegistryStore                                                                   0x9e24d854                                         
FindFullNameForFamilyNameInAppxAllUserStore                                                          0x82e59ef9                                         
FixPreInstalledAppxAllUserStoreIntegrity                                                             0xcbe3c730                                         
GetAllInboxPackages                                                                                  0xb57fe5fd                                         
GetAllNonInboxPackagesFromRegistryStore                                                              0x80f5bc22                                         
GetAllPackagesToBeInstalledForSetupPhase                                                             0xba694890                                         
GetAllPackagesToBeInstalledForUser                                                                   0x528c79ad                                         
GetAllPinnedPackages                                                                                 0xae1393db                                         
GetAllStagedPackagesForMainPackageFromRegistryStore                                                  0x7ff3d4c7                                         
GetAllUpdatedPackages                                                                                0x3b817ee4                                         
GetAppxProvisionFactory                                                                              0x5368efff                                         
GetFoldersToKeepForPBR                                                                               0xf4461f07                                         
GetOptionalPackageInfoForPackage                                                                     0x3a55c6d6                                         
GetPackageOverrideSetupPhase                                                                         0xce66e8d3                                         
GetPackageSetupPhase                                                                                 0x47eb5553                                         
GetPackagesThatMayNeedPreinstallPackageStatusMarked                                                  0x3989791a                                         
GetProvisionedSharedPackageContainersFromRegistryStore                                               0x4080c40a                                         
GetRegionExcludedPreinstalledPackages                                                                0xe823011d                                         
GetStatusOfPackageFamilyForUser                                                                      0xe8c9fbd2                                         
GetUpgradePackageVolumeKey                                                                           0xdf2bf47a                                         
HasCentennial                                                                                        0x91b90cc2                                         
HasStagedPackages                                                                                    0x2603bed8                                         
IsCleanupTaskComplete                                                                                0xc7e50c35                                         
IsEnterprisePolicyEnabled                                                                            0xc837195d                                         
IsInboxPackage                                                                                       0xa132b9cd                                         
IsInboxPackageAndPath                                                                                0x6be0100d                                         
IsNonInboxAllUserPackage                                                                             0x4a5666f0                                         
IsNonInboxAllUserPackageSpecificPackage                                                              0xe8cddaa2                                         
IsPackageEndOfLife                                                                                   0x87fe4519                                         
IsPackageFamilyInUninstallBlocklist                                                                  0xf86b6787                                         
IsPackageFamilyInUninstallBlocklistByPackageFullName                                                 0xdd31d4c2                                         
IsPackageFamilyOnPreInstalledDeletedKey                                                              0xdb620333                                         
IsPackageInDownlevelInstalledKey                                                                     0xff4ab43d                                         
IsPackageInEndOfLifeKey                                                                              0x5ab88299                                         
IsPackageInStagedKey                                                                                 0xbd254525                                         
IsPackageInUpdatedApplicationsKey                                                                    0x0f8861db                                         
IsPackageInUpgradeKey                                                                                0x66f61035                                         
IsPackageInUsersUpgradeKey                                                                           0xc659fc67                                         
IsPackageNeedingPreregister                                                                          0x64324353                                         
IsPackageOnPreinstalledVolume                                                                        0x9b7d7769                                         
IsPackagePinned                                                                                      0xb62fdf0b                                         
IsSystemInAuditBoot                                                                                  0xb28b1468                                         
MarkPackageAsRequiringAllUserStoreRefresh                                                            0x1590833a                                         
MarkStatusOfMainPackageForUser                                                                       0xd2acb8a0                                         
MoveEndOfLifePackageToDeletedStoreExternal                                                           0xd138fafe                                         
PackageFamilyNameFromId                                                                              0x4c7e6595                                         
PackageIdBasicFromFullName                                                                           0xbce7d048                                         
PackageSidToPackageCapabilitySid                                                                     0xbdb199c2                                         
RemoveDeprovisionedPackageMarking                                                                    0xcd07bc23                                         
RemoveDeprovisionedSharedPackageContainerMarking                                                     0xc560eb1d                                         
RemoveDownlevelInstalledPackagesFromRegistryStore                                                    0x81b692dc                                         
RemoveEndOfLifePackageMarkingForAllUsers                                                             0x27222ae6                                         
RemoveInboxInstalledStatusOfPackageForUser                                                           0x9ef2535e                                         
RemovePackageFromPinnedList                                                                          0x65596c6d                                         
RemovePackageFromRegistryStore                                                                       0x22826659                                         
RemovePackageFromRegistryStoreConfigIfExists                                                         0xe9a47cfe                                         
RemoveSharedPackageContainerFromRegistryStore                                                        0xbf050333                                         
RemoveStagedPackageFromRegistryStore                                                                 0xa8db7b91                                         
RemoveStatusOfMainPackageForAllUsers                                                                 0xdbfbc30f                                         
