DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\iga64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
iga_assemble                                                                                         0x03ed3f01                                         
iga_context_assemble                                                                                 0x3f999265                                         
iga_context_create                                                                                   0xde11ea6d                                         
iga_context_disassemble                                                                              0xc0f15b25                                         
iga_context_disassemble_instruction                                                                  0x4ec551a6                                         
iga_context_get_errors                                                                               0x529927b5                                         
iga_context_get_warnings                                                                             0xdd6dc881                                         
iga_context_release                                                                                  0x0526459a                                         
iga_create_context                                                                                   0xb361b5ed                                         
iga_diagnostic_get_message                                                                           0x2d6f9c7d                                         
iga_diagnostic_get_offset                                                                            0x0615c27f                                         
iga_diagnostic_get_text_column                                                                       0x9295a3ca                                         
iga_diagnostic_get_text_extent                                                                       0x97e6f0b4                                         
iga_diagnostic_get_text_line                                                                         0xfa46cba4                                         
iga_diagnostic_get_type                                                                              0xe4fbcb7a                                         
iga_disassemble                                                                                      0xe70b1241                                         
iga_disassemble_instruction                                                                          0x008e92c2                                         
iga_get_errors                                                                                       0x7a8a6b51                                         
iga_get_interface                                                                                    0xc4a8d245                                         
iga_get_warnings                                                                                     0xc6be631d                                         
iga_opspec_description                                                                               0x38939ee2                                         
iga_opspec_enumerate                                                                                 0x60e5b0a4                                         
iga_opspec_from_op                                                                                   0x21c904f0                                         
iga_opspec_mnemonic                                                                                  0x8582ad14                                         
iga_opspec_name                                                                                      0x3abe65bf                                         
iga_opspec_op                                                                                        0x34b6203d                                         
iga_opspec_op_encoding                                                                               0x9ccbb543                                         
iga_platform_names                                                                                   0xb513392d                                         
iga_platform_symbol_suffix                                                                           0xde190bc3                                         
iga_platforms_list                                                                                   0xe2b0ef28                                         
iga_release_context                                                                                  0x60b7219a                                         
iga_status_to_string                                                                                 0xc7eb01f1                                         
iga_version_string                                                                                   0xfc4dde11                                         
kv_create                                                                                            0x088b1f59                                         
kv_delete                                                                                            0x09f8f118                                         
kv_get_cache_opt                                                                                     0x94bbfb4a                                         
kv_get_channel_offset                                                                                0xd0997723                                         
kv_get_default_label_name                                                                            0x30af4068                                         
kv_get_destination_data_type                                                                         0xcd5ce340                                         
kv_get_destination_indirect_imm_off                                                                  0xc6a2ff13                                         
kv_get_destination_mme_number                                                                        0xc466690c                                         
kv_get_destination_modifier                                                                          0xbad02134                                         
kv_get_destination_region                                                                            0xba447ce9                                         
kv_get_destination_register                                                                          0x5d59b3aa                                         
kv_get_destination_register_kind                                                                     0xbbe21f8f                                         
kv_get_destination_register_type                                                                     0xbbe7534b                                         
kv_get_destination_sub_register                                                                      0x900a0573                                         
kv_get_execution_size                                                                                0x3d823772                                         
kv_get_flag_modifier                                                                                 0x4b6e784c                                         
kv_get_flag_register                                                                                 0xedf80ac2                                         
kv_get_flag_sub_register                                                                             0x67ae288b                                         
kv_get_has_destination                                                                               0xcb789361                                         
kv_get_inst_size                                                                                     0x3a3e709c                                         
kv_get_inst_syntax                                                                                   0xc4b847e8                                         
kv_get_inst_targets                                                                                  0x7101049b                                         
kv_get_is_inverse_predicate                                                                          0xeefed3eb                                         
kv_get_mask_control                                                                                  0x5a827250                                         
kv_get_message_len                                                                                   0x460e7a87                                         
kv_get_message_len_ext                                                                               0x467c3b97                                         
kv_get_message_sfid                                                                                  0x07e1a60e                                         
kv_get_message_type                                                                                  0x07e2842a                                         
kv_get_message_type_ext                                                                              0x80b25eba                                         
kv_get_number_sources                                                                                0x3a7ca0b0                                         
kv_get_opcode                                                                                        0xe6621c5e                                         
kv_get_opgroup                                                                                       0xb2efe090                                         
kv_get_predicate                                                                                     0xc0570ab5                                         
kv_get_send_descs                                                                                    0x2417833f                                         
kv_get_send_exbso                                                                                    0x2433c0ae                                         
kv_get_send_exdesc_immoff                                                                            0xb7d17006                                         
kv_get_send_indirect_descs                                                                           0x5e22b430                                         
kv_get_sendg_desc                                                                                    0x366587d3                                         
kv_get_sendg_ind_desc0                                                                               0xe22dcd9d                                         
kv_get_sendg_ind_desc1                                                                               0xe22dcd9e                                         
kv_get_source_data_type                                                                              0xaa14facf                                         
kv_get_source_immediate                                                                              0xf26a3063                                         
kv_get_source_indirect_imm_off                                                                       0x07411fc2                                         
kv_get_source_mme_number                                                                             0x3821727b                                         
kv_get_source_modifier                                                                               0xf00c02e3                                         
kv_get_source_region                                                                                 0x3e6e26d8                                         
kv_get_source_register                                                                               0x92959559                                         
kv_get_source_register_kind                                                                          0xdee9669e                                         
kv_get_source_register_type                                                                          0xdeee9a5a                                         
kv_get_source_sub_register                                                                           0xdead26a2                                         
kv_get_subfunction                                                                                   0xff109e94                                         
kv_get_swsb_info                                                                                     0xeb69122e                                         
kv_get_syncfc                                                                                        0xf05f70ca                                         
kv_has_inst_opt                                                                                      0x20fbac70                                         
kv_is_inst_target                                                                                    0xa78106e4                                         
kv_is_source_vector                                                                                  0x427d8d63                                         
