DLL Path: C:\Windows\System32\Pimstore.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?Submit@AccountProviderHostJobBase@@QEAAJPEAK@Z                                                      0xdb3620a1                                         
?SubmitSynchronously@AccountProviderHostJobBase@@QEAAJPEAXKPEAT_SNJobOutParams@@@Z                   0xbe8766ea                                         
BuildDisplayName                                                                                     0x95de294c                                         
BuildYomiDisplayName                                                                                 0xf9aa696a                                         
CanonicalizedComparePropVal                                                                          0x6bcf3444                                         
ClearPreferenceAndOverride                                                                           0x63aeeede                                         
CompareEmailAddresses                                                                                0xc8cc80d2                                         
CopyCEPROPVAL                                                                                        0xab7b0c6c                                         
CreateAttendeeList                                                                                   0x1abadcbf                                         
CreateCategoryDBManager                                                                              0xdb2f68d8                                         
CreateContactSettingsRegKey                                                                          0xe8266b7d                                         
CreateItemInDefaultFolder                                                                            0xa5f2ca60                                         
CreateOutlookApp                                                                                     0xf3400587                                         
CreateRecurrenceFromData                                                                             0x3b7ebc75                                         
DestroyNameParser                                                                                    0x2dc642fd                                         
DisableLocalPoom                                                                                     0xf1da61df                                         
DisableLocalPoomEx                                                                                   0xd1fa5efc                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
EnableLocalPoom                                                                                      0x70c97632                                         
EnableLocalPoomEx                                                                                    0xc8ffd40f                                         
EscapePoomRestrictionValues                                                                          0x713a0877                                         
FindAllMatchingAggregates                                                                            0x40b64884                                         
FindAllMatchingContactsEx                                                                            0xf2dd9cc6                                         
FindAllMatchingContactsEx2                                                                           0x4e9135b8                                         
FindAllMatchingContactsEx3                                                                           0x4e9135b9                                         
FindMatchingContactEx                                                                                0x4c492a9a                                         
FindMatchingContactEx2                                                                               0xd56e7e0c                                         
GetActiveOutlookApp                                                                                  0x9b174c0f                                         
GetAggregateCache                                                                                    0xdbdbb800                                         
GetAggregateCacheGeneration                                                                          0x53f4c84c                                         
GetAppointmentFromUniqueId                                                                           0x142db02c                                         
GetAppointmentUniqueId                                                                               0x15debbf8                                         
GetBlankName                                                                                         0x457f0a0e                                         
GetContactDisplayAndSortPropertiesFromRegistry                                                       0xd8a3e7dc                                         
GetDefaultFolderFromStore                                                                            0xbfef7787                                         
GetDefaultFolderFromStoreEx                                                                          0x79ab7ea4                                         
GetDefaultStoreFilter                                                                                0x0319ff1d                                         
GetDefaultStoreId                                                                                    0x2c9e18a4                                         
GetDefaultStoreItemId                                                                                0x0adc8e73                                         
GetDefaultUSStore                                                                                    0x779eefdf                                         
GetDisplayBy                                                                                         0xd811e896                                         
GetFloatingTime                                                                                      0x6b45fba8                                         
GetFullName                                                                                          0x14c86819                                         
GetGivenName                                                                                         0x02e6981f                                         
GetHighestUSStoreBit                                                                                 0x5d641485                                         
GetMeetingNotificationFromMessage                                                                    0x18025bce                                         
GetMiddle                                                                                            0x133e3914                                         
GetNewNameParser                                                                                     0xf8bb82bd                                         
GetNickname                                                                                          0xc61d3c0b                                         
GetPartnerGUID                                                                                       0x2389dd8a                                         
GetSortBy                                                                                            0x21b1abe8                                         
GetStartAndEndDate                                                                                   0x1a9e0fdb                                         
GetSuffix                                                                                            0x221773da                                         
GetSurname                                                                                           0x65e35520                                         
GetTitle                                                                                             0x75714f67                                         
GetYomiDisplayName                                                                                   0x5d063b1a                                         
GetYomiGivenName                                                                                     0x4b9790bd                                         
GetYomiSurname                                                                                       0xa6218e3e                                         
HandleMeetingResponseForAppointment                                                                  0xaf786d3f                                         
HandleMeetingResponseForMeetingNotification                                                          0x454e9280                                         
HasAllBlobBitsSet                                                                                    0xcb37ffb7                                         
HasSameStoreFilter                                                                                   0xc7138a5a                                         
IsDefaultStore                                                                                       0x7f5a6cd3                                         
IsEmptyProp                                                                                          0x85f726b1                                         
IsFEString                                                                                           0xd41a31c3                                         
OlDefaultFoldersToOlItemType                                                                         0x12251a03                                         
OlItemTypeToOlDefaultFolders                                                                         0xfd333cc3                                         
OlObjectTypeFromOLITEMID                                                                             0xfeee81e4                                         
POutlookAppManager_CreateInstance                                                                    0x8656f5c6                                         
ParseName                                                                                            0x38f1ee01                                         
PimBinaryBodyToString                                                                                0x22259278                                         
PimCreateGlobalObjId                                                                                 0x3034fd18                                         
RebuildName                                                                                          0x62ceb80d                                         
SendPictureUpdateNotification                                                                        0x269636b5                                         
SetDisplayBy                                                                                         0x237a4922                                         
SetFullName                                                                                          0x5520e725                                         
SetGiven                                                                                             0x879c130a                                         
SetIncludeMiddle                                                                                     0x89dcf104                                         
SetMiddle                                                                                            0x89138520                                         
SetNickname                                                                                          0x0675bb17                                         
SetSortBy                                                                                            0x9786f7f4                                         
SetSuffix                                                                                            0x97ecbfe6                                         
SetSurname                                                                                           0x966222ac                                         
SetTitle                                                                                             0x888749f3                                         
SetYomiGiven                                                                                         0x5a6fd2a8                                         
SetYomiSurname                                                                                       0x6d2441ca                                         
StopNotifications                                                                                    0xd2e676c5                                         
TextToTag                                                                                            0x8afbd9c9                                         
