DLL Path: C:\Windows\System32\TtlsCfg.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
EapPeerConfigBlob2Xml                                                                                0xda78207f                                         
EapPeerConfigXml2Blob                                                                                0x6abfb1df                                         
EapPeerCreateMethodConfiguration                                                                     0x96279e74                                         
EapPeerCredentialsXml2Blob                                                                           0xeef35737                                         
EapPeerFreeErrorMemory                                                                               0x8ae6b22c                                         
EapPeerFreeMemory                                                                                    0xed357f62                                         
EapPeerGetConfigBlobAndUserBlob                                                                      0xf0143eed                                         
EapPeerGetIdentityPageGuid                                                                           0x72671c97                                         
EapPeerGetMethodProperties                                                                           0xad9429d5                                         
EapPeerGetNextPageGuid                                                                               0x9d68e0ac                                         
EapPeerInvokeConfigUI                                                                                0x16d62547                                         
EapPeerInvokeIdentityUI                                                                              0x6f3b4ffb                                         
EapPeerInvokeInteractiveUI                                                                           0xb8fcaf8f                                         
EapPeerQueryCredentialInputFields                                                                    0x462d06ff                                         
EapPeerQueryInteractiveUIInputFields                                                                 0x39402140                                         
EapPeerQueryUIBlobFromInteractiveUIInputFields                                                       0x4fb44e91                                         
EapPeerQueryUserBlobFromCredentialInputFields                                                        0xdce80871                                         
