DLL Path: C:\Windows\System32\cryptui.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
ACUIProviderInvokeUI                                                                                 0xb0b51c3c                                         
AddChainToStore                                                                                      0x50562e41                                         
CertDllLogMismatchPinRules                                                                           0x5a6516b9                                         
CertDllProtectedRootMessageBox                                                                       0x53de2f4b                                         
CertSelectionGetSerializedBlob                                                                       0xd0b55724                                         
CommonInit                                                                                           0x2fd76b22                                         
CompareCertificate                                                                                   0x0d5ae76f                                         
CryptDllProtectPrompt                                                                                0x233be9b6                                         
CryptUIDlgAddPolicyServer                                                                            0x8a9b1dbc                                         
CryptUIDlgAddPolicyServerWithPriority                                                                0xef14863a                                         
CryptUIDlgCertMgr                                                                                    0x0d482260                                         
CryptUIDlgFreeCAContext                                                                              0xafb6e377                                         
CryptUIDlgFreePolicyServerContext                                                                    0x9730977a                                         
CryptUIDlgPropertyPolicy                                                                             0x64da6021                                         
CryptUIDlgSelectCA                                                                                   0x6b679af0                                         
CryptUIDlgSelectCertificateA                                                                         0xc9142dd0                                         
CryptUIDlgSelectCertificateFromStore                                                                 0x02ae1850                                         
CryptUIDlgSelectCertificateW                                                                         0xc9142de6                                         
CryptUIDlgSelectPolicyServer                                                                         0x5b5a51d3                                         
CryptUIDlgSelectStoreA                                                                               0xe3c7cefa                                         
CryptUIDlgSelectStoreW                                                                               0xe3c7cf10                                         
CryptUIDlgViewCRLA                                                                                   0x54f58da9                                         
CryptUIDlgViewCRLW                                                                                   0x54f58dbf                                         
CryptUIDlgViewCTLA                                                                                   0x54f5962b                                         
CryptUIDlgViewCTLW                                                                                   0x54f59641                                         
CryptUIDlgViewCertificateA                                                                           0x2d6f7d2b                                         
CryptUIDlgViewCertificatePropertiesA                                                                 0x9c3c0b18                                         
CryptUIDlgViewCertificatePropertiesW                                                                 0x9c3c0b2e                                         
CryptUIDlgViewCertificateW                                                                           0x2d6f7d41                                         
CryptUIDlgViewContext                                                                                0xc0ada94c                                         
CryptUIDlgViewSignerInfoA                                                                            0xba8848fc                                         
CryptUIDlgViewSignerInfoW                                                                            0xba884912                                         
CryptUIFreeCertificatePropertiesPagesA                                                               0x21944b58                                         
CryptUIFreeCertificatePropertiesPagesW                                                               0x21944b6e                                         
CryptUIFreeViewSignaturesPagesA                                                                      0x0522fcc8                                         
CryptUIFreeViewSignaturesPagesW                                                                      0x0522fcde                                         
CryptUIGetCertificatePropertiesPagesA                                                                0xe10e4096                                         
CryptUIGetCertificatePropertiesPagesW                                                                0xe10e40ac                                         
CryptUIGetViewSignaturesPagesA                                                                       0x5ec57bc6                                         
CryptUIGetViewSignaturesPagesW                                                                       0x5ec57bdc                                         
CryptUIStartCertMgr                                                                                  0x692cc1b7                                         
CryptUIViewExpiringCerts                                                                             0xe5bc9ff7                                         
CryptUIWizBuildCTL                                                                                   0x03295762                                         
CryptUIWizDigitalSign                                                                                0x12466e7e                                         
CryptUIWizExport                                                                                     0xd3befc91                                         
CryptUIWizFreeDigitalSignContext                                                                     0xeb1892e5                                         
CryptUIWizImport                                                                                     0xdc4c918a                                         
CryptUIWizImportInternal                                                                             0x37a8c287                                         
DisplayHtmlHelp                                                                                      0x8b843b79                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
FormatDateStringAutoLayout                                                                           0x6ec24bda                                         
GetUnknownErrorString                                                                                0xb1207cb6                                         
InvokeHelpLink                                                                                       0xeab08c08                                         
IsWizardExtensionAvailable                                                                           0x31f45830                                         
MyFormatEnhancedKeyUsageString                                                                       0xb78e28bf                                         
