DLL Path: C:\Windows\System32\dhcpcsvc.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DhcpAcquireParameters                                                                                0x51eba162                                         
DhcpAcquireParametersByBroadcast                                                                     0x06484670                                         
DhcpCApiCleanup                                                                                      0x1a991e09                                         
DhcpCApiInitialize                                                                                   0x2c2f5413                                         
DhcpClient_Generalize                                                                                0x21a5be68                                         
DhcpDeRegisterConnectionStateNotification                                                            0x387bb84a                                         
DhcpDeRegisterOptions                                                                                0x9ede2f3e                                         
DhcpDeRegisterParamChange                                                                            0x33a401c9                                         
DhcpDelPersistentRequestParams                                                                       0x4daec737                                         
DhcpEnableDhcp                                                                                       0x7304058a                                         
DhcpEnableDhcpAdvanced                                                                               0x991ebf60                                         
DhcpEnableTracing                                                                                    0xae5b6ef3                                         
DhcpEnumClasses                                                                                      0xd26523e7                                         
DhcpEnumInterfaces                                                                                   0x5a15751d                                         
DhcpFallbackRefreshParams                                                                            0x3dd262e7                                         
DhcpFreeCachedParamsData                                                                             0x55d39f5c                                         
DhcpFreeEnumeratedInterfaces                                                                         0xf3728294                                         
DhcpFreeLeaseInfo                                                                                    0x3ed0c91c                                         
DhcpFreeLeaseInfoArray                                                                               0x23df887b                                         
DhcpFreeMem                                                                                          0x82f6cf05                                         
DhcpGetClassId                                                                                       0x99202f47                                         
DhcpGetClientId                                                                                      0xcecffc10                                         
DhcpGetDhcpServicedConnections                                                                       0x4020afbb                                         
DhcpGetFallbackParams                                                                                0x18135a58                                         
DhcpGetNotificationStatus                                                                            0x8c23e4ef                                         
DhcpGetOriginalSubnetMask                                                                            0x18b37656                                         
DhcpGetTraceArray                                                                                    0xadd7dd72                                         
DhcpGlobalIsShuttingDown                                                                             0x88f33cbf                                         
DhcpGlobalServiceSyncEvent                                                                           0xc3fcd2a5                                         
DhcpGlobalTerminateEvent                                                                             0x08f4f720                                         
DhcpHandlePnPEvent                                                                                   0x9c1bcac0                                         
DhcpIsEnabled                                                                                        0xdcbcefcb                                         
DhcpIsMeteredDetected                                                                                0x371fda88                                         
DhcpLeaseIpAddress                                                                                   0x71d945ad                                         
DhcpLeaseIpAddressEx                                                                                 0x4d416e4a                                         
DhcpNotifyConfigChange                                                                               0x28770d99                                         
DhcpNotifyConfigChangeEx                                                                             0x2270e136                                         
DhcpNotifyMediaReconnected                                                                           0xffd38ca7                                         
DhcpOpenGlobalEvent                                                                                  0x80800249                                         
DhcpPersistentRequestParams                                                                          0x62e976a2                                         
DhcpQueryLeaseInfo                                                                                   0x1830fd30                                         
DhcpQueryLeaseInfoArray                                                                              0x5427690f                                         
DhcpQueryLeaseInfoEx                                                                                 0xe865128d                                         
DhcpRegisterConnectionStateNotification                                                              0x8bc6c6c1                                         
DhcpRegisterOptions                                                                                  0x6f1d8c35                                         
DhcpRegisterParamChange                                                                              0x9da70240                                         
DhcpReleaseIpAddressLease                                                                            0x2e90a8ee                                         
DhcpReleaseIpAddressLeaseEx                                                                          0x155ea5cb                                         
DhcpReleaseParameters                                                                                0xfc6041b9                                         
DhcpRemoveDNSRegistrations                                                                           0x2ea002e5                                         
DhcpRenewIpAddressLease                                                                              0x78ddb30e                                         
DhcpRenewIpAddressLeaseEx                                                                            0x2716b7eb                                         
DhcpRequestCachedParams                                                                              0xdddc3f49                                         
DhcpRequestOptions                                                                                   0x0f85ba59                                         
DhcpRequestParams                                                                                    0xac679331                                         
DhcpRetrieveOptionsViaInform                                                                         0xf37bec21                                         
DhcpSetClassId                                                                                       0xc99efcd3                                         
DhcpSetClientId                                                                                      0x0f287b1c                                         
DhcpSetFallbackParams                                                                                0xfa49f264                                         
DhcpSetMSFTVendorSpecificOptions                                                                     0xf20e9a8a                                         
DhcpStaticRefreshParams                                                                              0xb077efbf                                         
DhcpUndoRequestParams                                                                                0x0be8d267                                         
Dhcpv4CheckServerAvailability                                                                        0x5e56275e                                         
Dhcpv4EnableDhcpEx                                                                                   0x2b8560d1                                         
McastApiCleanup                                                                                      0x2ab5903f                                         
McastApiStartup                                                                                      0x0cc3ab4a                                         
McastEnumerateScopes                                                                                 0x8123da10                                         
McastGenUID                                                                                          0x6b7f1a99                                         
McastReleaseAddress                                                                                  0xb1ee2c44                                         
McastRenewAddress                                                                                    0x1a303824                                         
McastRequestAddress                                                                                  0xe48010ec                                         
