DLL Path: C:\Windows\System32\dnsapi.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AdaptiveTimeout_ClearInterfaceSpecificConfiguration                                                  0x508c5a2f                                         
AdaptiveTimeout_ResetAdaptiveTimeout                                                                 0x8eba7dd1                                         
AddRefQueryBlobEx                                                                                    0x52eef5fd                                         
BreakRecordsIntoBlob                                                                                 0x23590295                                         
Coalesce_UpdateNetVersion                                                                            0xd3b3a933                                         
CombineRecordsInBlob                                                                                 0x640e43ca                                         
CreateSendBlob                                                                                       0x886f3762                                         
DeRefQueryBlobEx                                                                                     0x6ccf64bd                                         
DelaySortDAServerlist                                                                                0x8f067734                                         
DnsAcquireContextHandle_A                                                                            0x3cfbfca5                                         
DnsAcquireContextHandle_W                                                                            0x3cfbfcbb                                         
DnsAddrArrayAddAddr                                                                                  0xb9d72948                                         
DnsAddrArrayAddIp4                                                                                   0xa88a897a                                         
DnsAddrArrayCreate                                                                                   0xae3324f8                                         
DnsAddrBuildFromDnsRecord                                                                            0xff5dc28d                                         
DnsAllocateRecord                                                                                    0xf8badb2e                                         
DnsApiAlloc                                                                                          0x0c6fa42f                                         
DnsApiAllocZero                                                                                      0x47273a8f                                         
DnsApiFree                                                                                           0x0fe730c6                                         
DnsApiHeapReset                                                                                      0xb328ad45                                         
DnsApiOnNetworkChange                                                                                0xf4def4b1                                         
DnsApiRealloc                                                                                        0xf26adaa6                                         
DnsApiSetDebugGlobals                                                                                0xe132f67b                                         
DnsAsyncRegisterHostAddrs                                                                            0x5e2e9a59                                         
DnsAsyncRegisterInit                                                                                 0x94e7f321                                         
DnsAsyncRegisterTerm                                                                                 0x94edd625                                         
DnsBuildDotHost                                                                                      0x3bd2e49f                                         
DnsCancelQuery                                                                                       0x1c736186                                         
DnsCancelQueryRaw                                                                                    0xe10ea590                                         
DnsCheckNrptRuleIntegrity                                                                            0x6469ca23                                         
DnsCheckNrptRules                                                                                    0xda159877                                         
DnsCleanupTcpConnections                                                                             0x615df49c                                         
DnsConnectionDeletePolicyEntries                                                                     0x21baf8f7                                         
DnsConnectionDeletePolicyEntriesPrivate                                                              0x8605deb2                                         
DnsConnectionDeleteProxyInfo                                                                         0x1525843b                                         
DnsConnectionFreeNameList                                                                            0xb63a3279                                         
DnsConnectionFreeProxyInfo                                                                           0xe03bafea                                         
DnsConnectionFreeProxyInfoEx                                                                         0xdde75bc7                                         
DnsConnectionFreeProxyList                                                                           0xe03d417a                                         
DnsConnectionGetHandleForHostUrlPrivate                                                              0x978eadb9                                         
DnsConnectionGetNameList                                                                             0xd12fc7d7                                         
DnsConnectionGetProxyInfo                                                                            0x59e3f108                                         
DnsConnectionGetProxyInfoForHostUrl                                                                  0x47042060                                         
DnsConnectionGetProxyInfoForHostUrlEx                                                                0x188dc1bd                                         
DnsConnectionGetProxyList                                                                            0x59e58298                                         
DnsConnectionSetPolicyEntries                                                                        0xd8cacad0                                         
DnsConnectionSetPolicyEntriesPrivate                                                                 0xd8ce026b                                         
DnsConnectionSetProxyInfo                                                                            0xa54c5194                                         
DnsConnectionUpdateIfIndexTable                                                                      0x1a277eac                                         
DnsCopyStringEx                                                                                      0x180f1379                                         
DnsCreateReverseNameStringForIpAddress                                                               0x964ca818                                         
DnsCreateStandardDnsNameCopy                                                                         0x115f8fb0                                         
DnsCreateStringCopy                                                                                  0x81ad18b0                                         
DnsDeRegisterLocal                                                                                   0xce6ddf43                                         
DnsDeleteSettings                                                                                    0x3bce40ce                                         
DnsDeleteWellKnownServerProperty                                                                     0x4a5129ba                                         
DnsDhcpRegisterAddrs                                                                                 0xb6788a7c                                         
DnsDhcpRegisterHostAddrs                                                                             0xd6b04afa                                         
DnsDhcpRegisterInit                                                                                  0x531f7b22                                         
DnsDhcpRegisterTerm                                                                                  0x53255e26                                         
DnsDhcpRemoveRegistrations                                                                           0xd2efe085                                         
DnsDhcpSrvRegisterHostAddr                                                                           0xb8deb742                                         
DnsDhcpSrvRegisterHostAddrEx                                                                         0x6b69991f                                         
DnsDhcpSrvRegisterHostName                                                                           0xb8e5cc88                                         
DnsDhcpSrvRegisterHostNameEx                                                                         0x898b17e5                                         
DnsDhcpSrvRegisterInit                                                                               0xb4b2073d                                         
DnsDhcpSrvRegisterInitEx                                                                             0xa950d3da                                         
DnsDhcpSrvRegisterInitialize                                                                         0x1d81bb9b                                         
DnsDhcpSrvRegisterTerm                                                                               0xb4b7ea41                                         
DnsDisableIdnEncoding                                                                                0xb90fbbc0                                         
DnsDowncaseDnsNameLabel                                                                              0x1c361104                                         
DnsExtractRecordsFromMessage_UTF8                                                                    0x5fff13d6                                         
DnsExtractRecordsFromMessage_W                                                                       0xb5ca0bc6                                         
DnsFindAuthoritativeZone                                                                             0x48844d10                                         
DnsFlushResolverCache                                                                                0xfd722b32                                         
DnsFlushResolverCacheEntry_A                                                                         0x254ce104                                         
DnsFlushResolverCacheEntry_UTF8                                                                      0x2d3bd8aa                                         
DnsFlushResolverCacheEntry_W                                                                         0x254ce11a                                         
DnsFree                                                                                              0x7f188cac                                         
DnsFreeAdaptersInfo                                                                                  0xb35e508c                                         
DnsFreeConfigStructure                                                                               0xfdec0af3                                         
DnsFreeCustomServers                                                                                 0x1a53d5b1                                         
DnsFreeNetworkServers                                                                                0xa01978a0                                         
DnsFreeNrptRule                                                                                      0xb9a23b28                                         
DnsFreeNrptRuleNamesList                                                                             0x7e48c218                                         
DnsFreePolicyConfig                                                                                  0x2f00a552                                         
DnsFreeProxyName                                                                                     0x95e9136f                                         
DnsFreeWellKnownServerProperty                                                                       0x199c57a9                                         
DnsFreeWellKnownServerPropertyEx                                                                     0xf210ef46                                         
DnsFreeWellKnownServers                                                                              0x86682377                                         
DnsFreeZtClientCertConfig                                                                            0x3da9bb5d                                         
DnsFreeZtConfig                                                                                      0xfd692ad0                                         
DnsFreeZtRules                                                                                       0x755bb285                                         
DnsFreeZtSettings                                                                                    0xcdb283ab                                         
DnsFreeZtTrustedCa                                                                                   0x433e5929                                         
DnsFreeZtTrustedServers                                                                              0xd60b444f                                         
DnsGetAdaptersInfo                                                                                   0x557762ea                                         
DnsGetApplicationIdentifier                                                                          0xe912f361                                         
DnsGetApplicationSettings                                                                            0xc75cf2af                                         
DnsGetBufferLengthForStringCopy                                                                      0x99e422ff                                         
DnsGetCacheDataTable                                                                                 0xe2549fc0                                         
DnsGetCacheDataTableEx                                                                               0xc9fb991d                                         
DnsGetCacheRecords                                                                                   0xddabeb90                                         
DnsGetDdrInfo                                                                                        0xf9418790                                         
DnsGetDdrInfoCancel                                                                                  0x0c2fe2d6                                         
DnsGetDdrInfoInternal                                                                                0x581e5e8d                                         
DnsGetDnsServerList                                                                                  0x09761062                                         
DnsGetDomainName                                                                                     0xd8530dc3                                         
DnsGetInterfaceSettings                                                                              0xc6d6310c                                         
DnsGetInterfaceSettingsInProc                                                                        0x42eeb957                                         
DnsGetLastFailedUpdateInfo                                                                           0x953cb1f2                                         
DnsGetNetworkServers                                                                                 0x2cc09a7e                                         
DnsGetNrptRule                                                                                       0x9004ce86                                         
DnsGetNrptRuleNamesList                                                                              0x3021ff36                                         
DnsGetPolicyTableInfo                                                                                0x8dc9dd4e                                         
DnsGetPolicyTableInfoPrivate                                                                         0x024b9b29                                         
DnsGetPrimaryDomainName_A                                                                            0x80a47fc7                                         
DnsGetProxyInfoPrivate                                                                               0x20caa1b3                                         
DnsGetProxyInformation                                                                               0x4dcb2cd2                                         
DnsGetProxyInformationEx                                                                             0xed49b2af                                         
DnsGetQueryRetryTimeouts                                                                             0x2356f010                                         
DnsGetSettings                                                                                       0x4dfa01fb                                         
DnsGetWellKnownServerProperty                                                                        0xb0027347                                         
DnsGetWellKnownServers                                                                               0xd95f34d5                                         
DnsGetZtClientCertConfig                                                                             0x2aaa9c3b                                         
DnsGetZtConfig                                                                                       0xd3cbbe2e                                         
DnsGetZtFilterIds                                                                                    0x0691367e                                         
DnsGetZtRules                                                                                        0xb9ea5223                                         
DnsGetZtTrustedCa                                                                                    0x672f97c7                                         
DnsGetZtTrustedServers                                                                               0x290255ad                                         
DnsGlobals                                                                                           0xd4eba10e                                         
