DLL Path: C:\Windows\System32\tquery.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CDriveInfo@@QEAA@PEBGK@Z                                                                          0xa31c3a97                                         
??0CFullPath@@QEAA@PEBG@Z                                                                            0x9adc5d46                                         
??0CFullPropSpec@@QEAA@AEBV0@@Z                                                                      0x98adc535                                         
??0CMemSerStream@@QEAA@PEAEK@Z                                                                       0x887e1c43                                         
??0CUnNormalizer@@QEAA@XZ                                                                            0x48bc1146                                         
??1CAllocStorageVariant@@IEAA@XZ                                                                     0xa0da670e                                         
??1CMemSerStream@@UEAA@XZ                                                                            0x3fe4e59a                                         
?CoTaskAllocator@@3VCCoTaskAllocator@@A                                                              0xab87903d                                         
?ContainsDrive@CDriveInfo@@SAHPEBG@Z                                                                 0xf46b259a                                         
?GetBlob@CMemDeSerStream@@UEAAXPEAEK@Z                                                               0x7527ce98                                         
?GetByte@CMemDeSerStream@@UEAAEXZ                                                                    0xf3ee31cc                                         
?GetChar@CMemDeSerStream@@UEAAXPEADK@Z                                                               0xa9968416                                         
?GetDiskSpace@CDriveInfo@@QEAAXAEA_J0@Z                                                              0x879c71ce                                         
?GetDouble@CMemDeSerStream@@UEAANXZ                                                                  0xe5c96a1c                                         
?GetDrive@CDriveInfo@@SAXPEBGPEAG@Z                                                                  0xa79faa08                                         
?GetFloat@CMemDeSerStream@@UEAAMXZ                                                                   0xc12bfcd6                                         
?GetGUID@CMemDeSerStream@@UEAAXAEAU_GUID@@@Z                                                         0xfc3c17e0                                         
?GetLong@CMemDeSerStream@@UEAAJXZ                                                                    0x205c5b0d                                         
?GetSectorSize@CDriveInfo@@QEAAKXZ                                                                   0x1cbaad6d                                         
?GetString@CMemDeSerStream@@UEAAPEADXZ                                                               0x243932a4                                         
?GetULong@CMemDeSerStream@@UEAAKXZ                                                                   0x960df843                                         
?GetUShort@CMemDeSerStream@@UEAAGXZ                                                                  0xac751f5f                                         
?GetWChar@CMemDeSerStream@@UEAAXPEAGK@Z                                                              0x9dfa33d0                                         
?GetWString@CMemDeSerStream@@UEAAPEAGXZ                                                              0x189b49fe                                         
?IsSameDrive@CDriveInfo@@QEAAHPEBG@Z                                                                 0xae105481                                         
?IsWriteProtected@CDriveInfo@@QEAAHXZ                                                                0xe84cdb50                                         
?MakePath@CFullPath@@QEAAXPEBG@Z                                                                     0xf2baa27a                                         
?PeekULong@CMemDeSerStream@@UEAAKXZ                                                                  0x64013968                                         
?PutBlob@CMemSerStream@@UEAAXPEBEK@Z                                                                 0x3276f329                                         
?PutByte@CMemSerStream@@UEAAXE@Z                                                                     0x4af2757c                                         
?PutChar@CMemSerStream@@UEAAXPEBDK@Z                                                                 0x601da4e7                                         
?PutDouble@CMemSerStream@@UEAAXN@Z                                                                   0xdb81632c                                         
?PutFloat@CMemSerStream@@UEAAXM@Z                                                                    0x2edf2366                                         
