DLL Path: C:\Windows\System32\ulib.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0ADMINFILEPRIVS@@QEAA@XZ                                                                           0xa4b34b1a                                         
??0ARGUMENT_LEXEMIZER@@QEAA@XZ                                                                       0x98e5e334                                         
??0ARRAY@@QEAA@XZ                                                                                    0xd3ac92fc                                         
??0BDSTRING@@QEAA@AEBV0@@Z                                                                           0x61d55190                                         
??0BDSTRING@@QEAA@XZ                                                                                 0xdc510a3a                                         
??0BITVECTOR@@QEAA@XZ                                                                                0x4703244f                                         
??0BSTRING@@IEAA@XZ                                                                                  0x4c2eedce                                         
??0BSTRING@@QEAA@$$QEAV0@@Z                                                                          0x5edaab63                                         
??0BSTRING@@QEAA@AEBV0@@Z                                                                            0x62f4e02c                                         
??0BYTE_STREAM@@QEAA@XZ                                                                              0x7e80db7c                                         
??0CHKDSK_MESSAGE@@QEAA@XZ                                                                           0x97154ed9                                         
??0CLASS_DESCRIPTOR@@QEAA@XZ                                                                         0x6b2a12d1                                         
??0COMM_DEVICE@@QEAA@XZ                                                                              0x580fdab8                                         
??0CONT_MEM@@QEAA@XZ                                                                                 0xf8ac60af                                         
??0DSTRING@@QEAA@AEBV0@@Z                                                                            0x484d756e                                         
??0DSTRING@@QEAA@XZ                                                                                  0xcc6b1f98                                         
??0FLAG_ARGUMENT@@QEAA@XZ                                                                            0x9a5fcfd9                                         
??0FSN_FILTER@@QEAA@XZ                                                                               0x2cbc72c9                                         
??0FSTRING@@QEAA@$$QEAV0@@Z                                                                          0x9a8086e7                                         
??0FSTRING@@QEAA@AEBV0@@Z                                                                            0x2da60ab0                                         
??0FSTRING@@QEAA@XZ                                                                                  0xe4d56b5a                                         
??0HMEM@@QEAA@XZ                                                                                     0x6f068444                                         
??0ITERATOR@@IEAA@XZ                                                                                 0x5e548fbf                                         
??0ITERATOR@@QEAA@AEBV0@@Z                                                                           0x94a272dd                                         
??0KEYBOARD@@QEAA@XZ                                                                                 0x4ef2c16e                                         
??0LIST@@QEAA@XZ                                                                                     0x50111639                                         
??0LONG_ARGUMENT@@QEAA@XZ                                                                            0x9b8dda0f                                         
??0MEM_ALLOCATOR@@QEAA@XZ                                                                            0x5e5d909c                                         
??0MEM_BLOCK_MGR@@QEAA@XZ                                                                            0x6f51b1cb                                         
??0MESSAGE@@QEAA@XZ                                                                                  0x2b4741c2                                         
??0MESSAGE_ID_COUNT@@QEAA@XZ                                                                         0x33226d76                                         
??0MULTIPLE_PATH_ARGUMENT@@QEAA@XZ                                                                   0x425cb377                                         
??0OBJECT@@IEAA@XZ                                                                                   0x33b2de6c                                         
??0OBJECT@@QEAA@AEBV0@@Z                                                                             0xbc1e4f4a                                         
??0PATH@@QEAA@XZ                                                                                     0x5ad038ea                                         
??0PATH_ARGUMENT@@QEAA@XZ                                                                            0x714ece0c                                         
??0PRINT_STREAM@@QEAA@XZ                                                                             0xb880ed75                                         
??0PROGRAM@@IEAA@XZ                                                                                  0xcd91848d                                         
??0REST_OF_LINE_ARGUMENT@@QEAA@XZ                                                                    0x803cb458                                         
??0SCREEN@@QEAA@XZ                                                                                   0xd15504dd                                         
??0SORTED_LIST@@QEAA@XZ                                                                              0x04ba10e9                                         
??0STACK@@QEAA@XZ                                                                                    0x2eeafa93                                         
??0STREAM_MESSAGE@@QEAA@XZ                                                                           0xead5d60d                                         
??0STRING_ARGUMENT@@QEAA@XZ                                                                          0x9a9b05d6                                         
??0STRING_ARRAY@@QEAA@XZ                                                                             0x2d8db7d2                                         
??0TIMEINFO@@QEAA@XZ                                                                                 0x40151518                                         
??0TIMEINFO_ARGUMENT@@QEAA@XZ                                                                        0x51b13dfa                                         
??0WSTRING@@IEAA@XZ                                                                                  0x4c8b0943                                         
??0WSTRING@@QEAA@$$QEAV0@@Z                                                                          0x58016bd8                                         
??0WSTRING@@QEAA@AEBV0@@Z                                                                            0xcb16ff61                                         
??1ADMINFILEPRIVS@@QEAA@XZ                                                                           0x739cc1fb                                         
??1ARGUMENT_LEXEMIZER@@UEAA@XZ                                                                       0x4f6ad599                                         
??1ARRAY@@UEAA@XZ                                                                                    0xaadcf3c1                                         
??1BDSTRING@@UEAA@XZ                                                                                 0xfe501f5f                                         
??1BITVECTOR@@UEAA@XZ                                                                                0x2bc67d94                                         
??1BSTRING@@UEAA@XZ                                                                                  0x7ac3a8db                                         
??1BYTE_STREAM@@UEAA@XZ                                                                              0x0376c901                                         
??1CHKDSK_MESSAGE@@UEAA@XZ                                                                           0x99e7b8be                                         
??1COMM_DEVICE@@UEAA@XZ                                                                              0xdd05c83d                                         
??1DSTRING@@UEAA@XZ                                                                                  0x932df49d                                         
??1FSN_FILTER@@UEAA@XZ                                                                               0x2ccc942e                                         
??1FSTRING@@UEAA@XZ                                                                                  0xab98405f                                         
??1HMEM@@UEAA@XZ                                                                                     0xde2fb0e9                                         
??1ITERATOR@@UEAA@XZ                                                                                 0xe8258aec                                         
??1LIST@@UEAA@XZ                                                                                     0xbf3a42de                                         
??1MEM_ALLOCATOR@@UEAA@XZ                                                                            0x5a7c2261                                         
??1MEM_BLOCK_MGR@@UEAA@XZ                                                                            0x6b704390                                         
??1MESSAGE@@UEAA@XZ                                                                                  0xf20a16c7                                         
??1MESSAGE_ID_COUNT@@UEAA@XZ                                                                         0x962e139b                                         
??1MULTIPLE_PATH_ARGUMENT@@UEAA@XZ                                                                   0xdba46e5c                                         
??1OBJECT@@UEAA@XZ                                                                                   0xdba2dd59                                         
??1PATH@@UEAA@XZ                                                                                     0xc9f9658f                                         
??1PATH_ARGUMENT@@UEAA@XZ                                                                            0x6d6d5fd1                                         
??1PRINT_STREAM@@UEAA@XZ                                                                             0x5f162b1a                                         
??1PROGRAM@@UEAA@XZ                                                                                  0xfc263f9a                                         
??1SCREEN@@UEAA@XZ                                                                                   0x11731dc2                                         
??1SORTED_LIST@@UEAA@XZ                                                                              0x89affe6e                                         
??1STACK@@UEAA@XZ                                                                                    0x061b5b58                                         
??1STREAM_MESSAGE@@UEAA@XZ                                                                           0xeda83ff2                                         
??1STRING_ARGUMENT@@UEAA@XZ                                                                          0x7a9c4bdb                                         
??1TIMEINFO_ARGUMENT@@UEAA@XZ                                                                        0x9913483f                                         
??1WSTRING@@UEAA@XZ                                                                                  0x7b1fc450                                         
??4BDSTRING@@QEAAAEAV0@AEBV0@@Z                                                                      0x72e1ede1                                         
??4BSTRING@@QEAAAEAV0@$$QEAV0@@Z                                                                     0x7605b0f4                                         
??4BSTRING@@QEAAAEAV0@AEBV0@@Z                                                                       0x59cf4d7d                                         
??4DSTRING@@QEAAAEAV0@AEBV0@@Z                                                                       0x80c17bff                                         
??4FSTRING@@QEAAAEAV0@$$QEAV0@@Z                                                                     0xce755ef8                                         
??4FSTRING@@QEAAAEAV0@AEBV0@@Z                                                                       0xa7b3aa81                                         
??4ITERATOR@@QEAAAEAV0@AEBV0@@Z                                                                      0x1ba8e74e                                         
??4OBJECT@@QEAAAEAV0@AEBV0@@Z                                                                        0x4aa53edb                                         
??4WSTRING@@QEAAAEAV0@$$QEAV0@@Z                                                                     0x06500289                                         
??4WSTRING@@QEAAAEAV0@AEBV0@@Z                                                                       0xf2be35d2                                         
??8WSTRING@@QEBAEAEBV0@@Z                                                                            0xd88edfaf                                         
??9WSTRING@@QEBAEAEBV0@@Z                                                                            0xa0c47e70                                         
??MTIMEINFO@@QEBAEV0@@Z                                                                              0xf5affea9                                         
??MWSTRING@@QEBAEAEBV0@@Z                                                                            0x44f4e584                                         
??NWSTRING@@QEBAEAEBV0@@Z                                                                            0x0d2a8445                                         
??OTIMEINFO@@QEBAEV0@@Z                                                                              0x97c9f3ab                                         
??OWSTRING@@QEBAEAEBV0@@Z                                                                            0xd5602306                                         
??PWSTRING@@QEBAEAEBV0@@Z                                                                            0x9d95c1c7                                         
??_7BDSTRING@@6B@                                                                                    0xc310e54e                                         
??_7BSTRING@@6B@                                                                                     0xf4218c2a                                         
??_7DSTRING@@6B@                                                                                     0x560846ec                                         
??_7FSTRING@@6B@                                                                                     0xb7ef01ae                                         
??_7ITERATOR@@6B@                                                                                    0x7bec925b                                         
??_7OBJECT@@6B@                                                                                      0xcf3ac108                                         
??_7WSTRING@@6B@                                                                                     0xf818351f                                         
?Acquire@CONT_MEM@@UEAAPEAXKK@Z                                                                      0xfc5dd0ba                                         
?Acquire@HMEM@@UEAAPEAXKK@Z                                                                          0x908f53ef                                         
?Alloc@MEM_BLOCK_MGR@@QEAAPEAXXZ                                                                     0xaca3ed95                                         
