DLL Path: C:\Windows\System32\wcmapi.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
WcmAddAppBasedRoutePolicy                                                                            0x4fea89b4                                         
WcmAddRoutePolicy                                                                                    0xad24c814                                         
WcmCancelOnDemandRequest                                                                             0x264ec381                                         
WcmCheckCapabilityStatus                                                                             0x81ba49b0                                         
WcmCloseHandle                                                                                       0x05a000ce                                         
WcmCloseOnDemandRequestHandle                                                                        0x2e1bb71d                                         
WcmDeleteAppBasedRoutePolicy                                                                         0x0e070bbe                                         
WcmDeleteProxyInformation                                                                            0x2612e387                                         
WcmDeprovisionCapability                                                                             0x03484200                                         
WcmEnumInterfaces                                                                                    0x8a7a2465                                         
WcmFreeMemory                                                                                        0x66dd5f87                                         
WcmGetInterfaceContextTable                                                                          0x978ec8aa                                         
WcmGetProfileList                                                                                    0x3e8fe579                                         
WcmGetProfileListByPurpose                                                                           0x46dfa762                                         
WcmGetRoutingHint                                                                                    0xe87a3707                                         
WcmOpenHandle                                                                                        0x4b1dea0a                                         
WcmOpenOnDemandRequestHandle                                                                         0x8de760d9                                         
WcmOpenOnDemandRequestHandleByWwanProfileName                                                        0x8f148a43                                         
WcmOrderConnection                                                                                   0xda83baf8                                         
WcmQueryOnDemandRequestStateInfo                                                                     0x33fcf13e                                         
WcmQueryParameter                                                                                    0x5cc18283                                         
WcmQueryProperty                                                                                     0x5f4ad6c7                                         
WcmRemoveMatchingRoutePolicy                                                                         0x153b76a4                                         
WcmRemoveRoutePolicy                                                                                 0xa63efd39                                         
WcmSetParameter                                                                                      0x3a7398d9                                         
WcmSetProfileList                                                                                    0x05929905                                         
WcmSetProperty                                                                                       0x7d487a5d                                         
WcmSetProxyInformation                                                                               0xd657a800                                         
WcmStartOnDemandRequest                                                                              0x0f686f49                                         
WcmUpdateCapabilityAccess                                                                            0xaa66d1c3                                         
[Function Ordinal Only]                                                                              NA                                                 
[Function Ordinal Only]                                                                              NA                                                 
