DLL Path: C:\Windows\System32\wininet.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AppCacheCheckManifest                                                                                0xd0015a2f                                         
AppCacheCloseHandle                                                                                  0x597e215c                                         
AppCacheCreateAndCommitFile                                                                          0x79a9736a                                         
AppCacheDeleteGroup                                                                                  0x3dfcf55a                                         
AppCacheDeleteIEGroup                                                                                0xdf369b08                                         
AppCacheDuplicateHandle                                                                              0xfa79ade1                                         
AppCacheFinalize                                                                                     0xe549bfec                                         
AppCacheFreeDownloadList                                                                             0xbb3b6dd0                                         
AppCacheFreeGroupList                                                                                0xba2d08c5                                         
AppCacheFreeIESpace                                                                                  0x16032e56                                         
AppCacheFreeSpace                                                                                    0x2f99c0e8                                         
AppCacheGetDownloadList                                                                              0xfd3faa2e                                         
AppCacheGetFallbackUrl                                                                               0xfcb6e71d                                         
AppCacheGetGroupList                                                                                 0x9e8d71e3                                         
AppCacheGetIEGroupList                                                                               0xe76aa5d1                                         
AppCacheGetInfo                                                                                      0x71c176e6                                         
AppCacheGetManifestUrl                                                                               0x04d74c44                                         
AppCacheLookup                                                                                       0xc9fd9774                                         
CommitUrlCacheEntryA                                                                                 0xd0465d28                                         
CommitUrlCacheEntryBinaryBlob                                                                        0x8434ca4b                                         
CommitUrlCacheEntryW                                                                                 0xd0465d3e                                         
CreateMD5SSOHash                                                                                     0xb30fc558                                         
CreateUrlCacheContainerA                                                                             0xc06d5904                                         
CreateUrlCacheContainerW                                                                             0xc06d591a                                         
CreateUrlCacheEntryA                                                                                 0x85071933                                         
CreateUrlCacheEntryExW                                                                               0xe33252c6                                         
CreateUrlCacheEntryW                                                                                 0x85071949                                         
CreateUrlCacheGroup                                                                                  0x9f55104d                                         
DeleteIE3Cache                                                                                       0xc237c20d                                         
DeleteUrlCacheContainerA                                                                             0xcb87b483                                         
DeleteUrlCacheContainerW                                                                             0xcb87b499                                         
DeleteUrlCacheEntry                                                                                  0x6db332d1                                         
DeleteUrlCacheEntryA                                                                                 0x24198d32                                         
DeleteUrlCacheEntryW                                                                                 0x24198d48                                         
DeleteUrlCacheGroup                                                                                  0x6dd9806c                                         
DeleteWpadCacheForNetworks                                                                           0x591901fc                                         
DetectAutoProxyUrl                                                                                   0x403e6e0c                                         
DispatchAPICall                                                                                      0x06de3feb                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllInstall                                                                                           0x1516f878                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
FindCloseUrlCache                                                                                    0xae23cf23                                         
FindFirstUrlCacheContainerA                                                                          0x5902bbf9                                         
FindFirstUrlCacheContainerW                                                                          0x5902bc0f                                         
FindFirstUrlCacheEntryA                                                                              0x94bf49a8                                         
FindFirstUrlCacheEntryExA                                                                            0xc1b87465                                         
FindFirstUrlCacheEntryExW                                                                            0xc1b8747b                                         
FindFirstUrlCacheEntryW                                                                              0x94bf49be                                         
FindFirstUrlCacheGroup                                                                               0xddde8622                                         
FindNextUrlCacheContainerA                                                                           0x814baad0                                         
FindNextUrlCacheContainerW                                                                           0x814baae6                                         
FindNextUrlCacheEntryA                                                                               0x0fcc64ff                                         
FindNextUrlCacheEntryExA                                                                             0x3479c17c                                         
FindNextUrlCacheEntryExW                                                                             0x3479c192                                         
FindNextUrlCacheEntryW                                                                               0x0fcc6515                                         
FindNextUrlCacheGroup                                                                                0x657a1299                                         
ForceNexusLookup                                                                                     0x61490d61                                         
ForceNexusLookupExW                                                                                  0xd0005315                                         
FreeUrlCacheSpaceA                                                                                   0x63ccabbb                                         
FreeUrlCacheSpaceW                                                                                   0x63ccabd1                                         
FtpCommandA                                                                                          0x69e766ef                                         
FtpCommandW                                                                                          0x69e76705                                         
FtpCreateDirectoryA                                                                                  0x34d36af9                                         
FtpCreateDirectoryW                                                                                  0x34d36b0f                                         
FtpDeleteFileA                                                                                       0xd2eda3e3                                         
FtpDeleteFileW                                                                                       0xd2eda3f9                                         
FtpFindFirstFileA                                                                                    0x37e49759                                         
FtpFindFirstFileW                                                                                    0x37e4976f                                         
FtpGetCurrentDirectoryA                                                                              0xe2d893e8                                         
FtpGetCurrentDirectoryW                                                                              0xe2d893fe                                         
FtpGetFileA                                                                                          0x26bf1650                                         
FtpGetFileEx                                                                                         0xfea1e14c                                         
FtpGetFileSize                                                                                       0x2ea6e1ea                                         
FtpGetFileW                                                                                          0x26bf1666                                         
FtpOpenFileA                                                                                         0xa1837bc2                                         
FtpOpenFileW                                                                                         0xa1837bd8                                         
FtpPutFileA                                                                                          0x44b35e49                                         
FtpPutFileEx                                                                                         0xdb1f2865                                         
FtpPutFileW                                                                                          0x44b35e5f                                         
FtpRemoveDirectoryA                                                                                  0x346b1d33                                         
