DLL Path: C:\Windows\System32\MSAJApi.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AllJoynAcceptBusConnection                                                                           0x845cad48                                         
AllJoynCloseBusHandle                                                                                0x1b009faa                                         
AllJoynConnectToBus                                                                                  0x6c385535                                         
AllJoynCreateBus                                                                                     0xa42b605c                                         
AllJoynEnumEvents                                                                                    0x53373048                                         
AllJoynEventSelect                                                                                   0x4f37c660                                         
AllJoynReceiveFromBus                                                                                0xa1fc95df                                         
AllJoynSendToBus                                                                                     0xa628a955                                         
QCC_StatusText                                                                                       0x761239c4                                         
alljoyn_aboutdata_create                                                                             0xc5abcc65                                         
alljoyn_aboutdata_create_empty                                                                       0xc60a33f3                                         
alljoyn_aboutdata_create_full                                                                        0xd7755a17                                         
alljoyn_aboutdata_createfrommsgarg                                                                   0x4ec3153a                                         
alljoyn_aboutdata_createfromxml                                                                      0xc09e078a                                         
alljoyn_aboutdata_destroy                                                                            0xaad4411b                                         
alljoyn_aboutdata_getaboutdata                                                                       0x9a421be6                                         
alljoyn_aboutdata_getajsoftwareversion                                                               0x51ef9a0d                                         
alljoyn_aboutdata_getannouncedaboutdata                                                              0x0663fb61                                         
alljoyn_aboutdata_getappid                                                                           0xcb1e23ff                                         
alljoyn_aboutdata_getappname                                                                         0x0b39df53                                         
alljoyn_aboutdata_getdateofmanufacture                                                               0xeef1a9ff                                         
alljoyn_aboutdata_getdefaultlanguage                                                                 0x4039637a                                         
alljoyn_aboutdata_getdescription                                                                     0x77843eb5                                         
alljoyn_aboutdata_getdeviceid                                                                        0xf6201cee                                         
alljoyn_aboutdata_getdevicename                                                                      0xfe9dd002                                         
alljoyn_aboutdata_getfield                                                                           0xcb749975                                         
alljoyn_aboutdata_getfields                                                                          0x3a07c888                                         
alljoyn_aboutdata_getfieldsignature                                                                  0x52ceed47                                         
alljoyn_aboutdata_gethardwareversion                                                                 0xe772de25                                         
alljoyn_aboutdata_getmanufacturer                                                                    0x8e7e54fe                                         
alljoyn_aboutdata_getmodelnumber                                                                     0x938c376b                                         
alljoyn_aboutdata_getsoftwareversion                                                                 0x7fc92042                                         
alljoyn_aboutdata_getsupportedlanguages                                                              0x4542648e                                         
alljoyn_aboutdata_getsupporturl                                                                      0x313cd321                                         
alljoyn_aboutdata_isfieldannounced                                                                   0x59fa8c4c                                         
alljoyn_aboutdata_isfieldlocalized                                                                   0xd7872e88                                         
alljoyn_aboutdata_isfieldrequired                                                                    0xb05d38b2                                         
alljoyn_aboutdata_isvalid                                                                            0x4c8b6d9d                                         
alljoyn_aboutdata_setappid                                                                           0xde341e8b                                         
alljoyn_aboutdata_setappid_fromstring                                                                0x739c5155                                         
alljoyn_aboutdata_setappname                                                                         0x3bb8acdf                                         
alljoyn_aboutdata_setdateofmanufacture                                                               0x80c7d68b                                         
alljoyn_aboutdata_setdefaultlanguage                                                                 0x6942fd06                                         
alljoyn_aboutdata_setdescription                                                                     0x3e86f241                                         
alljoyn_aboutdata_setdeviceid                                                                        0x36789bfa                                         
alljoyn_aboutdata_setdevicename                                                                      0xb712420e                                         
alljoyn_aboutdata_setfield                                                                           0xde8a9401                                         
alljoyn_aboutdata_sethardwareversion                                                                 0x107c77b1                                         
alljoyn_aboutdata_setmanufacturer                                                                    0x35d77a0a                                         
alljoyn_aboutdata_setmodelnumber                                                                     0x5a8eeaf7                                         
alljoyn_aboutdata_setsoftwareversion                                                                 0xa8d2b9ce                                         
alljoyn_aboutdata_setsupportedlanguage                                                               0xd1fef947                                         
alljoyn_aboutdata_setsupporturl                                                                      0xe9b1452d                                         
alljoyn_aboutdatalistener_create                                                                     0xee2b442b                                         
alljoyn_aboutdatalistener_destroy                                                                    0xe342b1a1                                         
alljoyn_abouticon_clear                                                                              0xe1f8a6c7                                         
alljoyn_abouticon_create                                                                             0x217a1354                                         
alljoyn_abouticon_destroy                                                                            0x806b65ea                                         
alljoyn_abouticon_getcontent                                                                         0x391e811b                                         
alljoyn_abouticon_geturl                                                                             0x29ec05d3                                         
alljoyn_abouticon_setcontent                                                                         0x699d4ea7                                         
alljoyn_abouticon_setcontent_frommsgarg                                                              0x596e81fb                                         
alljoyn_abouticon_seturl                                                                             0x45e9ed5f                                         
alljoyn_abouticonobj_create                                                                          0x129b9c8f                                         
alljoyn_abouticonobj_destroy                                                                         0x95be1685                                         
alljoyn_abouticonproxy_create                                                                        0xb6a66976                                         
alljoyn_abouticonproxy_destroy                                                                       0xbb22804c                                         
alljoyn_abouticonproxy_geticon                                                                       0xa21d070b                                         
alljoyn_abouticonproxy_getversion                                                                    0x3a73eb08                                         
alljoyn_aboutlistener_create                                                                         0xfdf24591                                         
alljoyn_aboutlistener_destroy                                                                        0xebe9dfc7                                         
alljoyn_aboutobj_announce                                                                            0x2843fae9                                         
alljoyn_aboutobj_announce_using_datalistener                                                         0x2f327f2d                                         
alljoyn_aboutobj_create                                                                              0x702911a6                                         
alljoyn_aboutobj_destroy                                                                             0xa4fa2e7c                                         
alljoyn_aboutobj_unannounce                                                                          0x3d77b1ec                                         
alljoyn_aboutobjectdescription_clear                                                                 0x4cfb1919                                         
alljoyn_aboutobjectdescription_create                                                                0xeccacfe6                                         
alljoyn_aboutobjectdescription_create_full                                                           0x7657b638                                         
alljoyn_aboutobjectdescription_createfrommsgarg                                                      0x72792dfb                                         
alljoyn_aboutobjectdescription_destroy                                                               0xb5d3b4bc                                         
alljoyn_aboutobjectdescription_getinterfacepaths                                                     0x08eea863                                         
alljoyn_aboutobjectdescription_getinterfaces                                                         0x22b84ad6                                         
alljoyn_aboutobjectdescription_getmsgarg                                                             0x13bca593                                         
alljoyn_aboutobjectdescription_getpaths                                                              0x37135292                                         
alljoyn_aboutobjectdescription_hasinterface                                                          0x3f4d013f                                         
alljoyn_aboutobjectdescription_hasinterfaceatpath                                                    0x9b954a61                                         
alljoyn_aboutobjectdescription_haspath                                                               0xe0658bfb                                         
alljoyn_aboutproxy_create                                                                            0xad65804d                                         
alljoyn_aboutproxy_destroy                                                                           0x89c47203                                         
alljoyn_aboutproxy_getaboutdata                                                                      0x63fd1dce                                         
alljoyn_aboutproxy_getobjectdescription                                                              0xf98a9b34                                         
alljoyn_aboutproxy_getversion                                                                        0x1600955f                                         
alljoyn_applicationstatelistener_create                                                              0x581e0deb                                         
alljoyn_applicationstatelistener_destroy                                                             0x8b8eb361                                         
alljoyn_authlistener_create                                                                          0xd97ba928                                         
alljoyn_authlistener_destroy                                                                         0x389fb63e                                         
alljoyn_authlistener_requestcredentialsresponse                                                      0xc9526f3a                                         
alljoyn_authlistener_setsharedsecret                                                                 0x836ff29d                                         
alljoyn_authlistener_verifycredentialsresponse                                                       0x11654226                                         
alljoyn_authlistenerasync_create                                                                     0x0b71f646                                         
alljoyn_authlistenerasync_destroy                                                                    0xa95fa71c                                         
alljoyn_autopinger_adddestination                                                                    0x2b7401c5                                         
alljoyn_autopinger_addpinggroup                                                                      0xf1d02cde                                         
alljoyn_autopinger_create                                                                            0x7d46d40e                                         
alljoyn_autopinger_destroy                                                                           0x55d03de4                                         
alljoyn_autopinger_pause                                                                             0xaf58b4f8                                         
alljoyn_autopinger_removedestination                                                                 0xbb2bc42a                                         
alljoyn_autopinger_removepinggroup                                                                   0x6f7a1203                                         
alljoyn_autopinger_resume                                                                            0x9f60f86b                                         
alljoyn_autopinger_setpinginterval                                                                   0xd3c706d9                                         
alljoyn_busattachment_addlogonentry                                                                  0x93e65089                                         
alljoyn_busattachment_addmatch                                                                       0xbe7e45e5                                         
alljoyn_busattachment_advertisename                                                                  0x72ba46b7                                         
alljoyn_busattachment_bindsessionport                                                                0x36c98c55                                         
alljoyn_busattachment_canceladvertisename                                                            0x2479371d                                         
alljoyn_busattachment_cancelfindadvertisedname                                                       0x59fdb922                                         
alljoyn_busattachment_cancelfindadvertisednamebytransport                                            0x88a34a0a                                         
alljoyn_busattachment_cancelwhoimplements_interface                                                  0xfecd52b1                                         
alljoyn_busattachment_cancelwhoimplements_interfaces                                                 0xd877a944                                         
alljoyn_busattachment_clearkeys                                                                      0x0b799d12                                         
alljoyn_busattachment_clearkeystore                                                                  0x3a87594c                                         
alljoyn_busattachment_connect                                                                        0x172fd299                                         
alljoyn_busattachment_create                                                                         0x1fecc643                                         
alljoyn_busattachment_create_concurrency                                                             0xd263d96d                                         
alljoyn_busattachment_createinterface                                                                0x25086494                                         
alljoyn_busattachment_createinterface_secure                                                         0x1db8b73a                                         
alljoyn_busattachment_createinterfacesfromxml                                                        0x8067186c                                         
alljoyn_busattachment_deletedefaultkeystore                                                          0xfe6b9b5d                                         
alljoyn_busattachment_deleteinterface                                                                0xb5739d33                                         
alljoyn_busattachment_destroy                                                                        0x4d3476b9                                         
alljoyn_busattachment_disconnect                                                                     0xa00c0399                                         
alljoyn_busattachment_enableconcurrentcallbacks                                                      0x6fa8fb59                                         
alljoyn_busattachment_enablepeersecurity                                                             0xc1bdcd7a                                         
alljoyn_busattachment_enablepeersecuritywithpermissionconfigurationlistener                          0x7d3aff3d                                         
alljoyn_busattachment_findadvertisedname                                                             0x1d7a98fc                                         
alljoyn_busattachment_findadvertisednamebytransport                                                  0x54344da4                                         
alljoyn_busattachment_getalljoyndebugobj                                                             0x991aa82a                                         
alljoyn_busattachment_getalljoynproxyobj                                                             0xb378f105                                         
alljoyn_busattachment_getconcurrency                                                                 0x7840269a                                         
alljoyn_busattachment_getconnectspec                                                                 0xac9f05c4                                         
alljoyn_busattachment_getdbusproxyobj                                                                0xaca992da                                         
alljoyn_busattachment_getglobalguidstring                                                            0xb0aaa940                                         
alljoyn_busattachment_getinterface                                                                   0xdd019220                                         
alljoyn_busattachment_getinterfaces                                                                  0x7d33d693                                         
alljoyn_busattachment_getkeyexpiration                                                               0xcb023c9b                                         
alljoyn_busattachment_getpeerguid                                                                    0x7ed18b84                                         
alljoyn_busattachment_getpermissionconfigurator                                                      0x88a6706b                                         
alljoyn_busattachment_gettimestamp                                                                   0x265362a3                                         
alljoyn_busattachment_getuniquename                                                                  0x298dd247                                         
alljoyn_busattachment_isconnected                                                                    0xe276ab7e                                         
alljoyn_busattachment_ispeersecurityenabled                                                          0x2faa59da                                         
alljoyn_busattachment_isstarted                                                                      0x9d02df02                                         
alljoyn_busattachment_isstopping                                                                     0x5de0a83f                                         
alljoyn_busattachment_join                                                                           0x80a1bedf                                         
alljoyn_busattachment_joinsession                                                                    0x933c9f23                                         
alljoyn_busattachment_joinsessionasync                                                               0x35b8f6c1                                         
alljoyn_busattachment_leavesession                                                                   0xd41a0100                                         
alljoyn_busattachment_namehasowner                                                                   0x10588897                                         
alljoyn_busattachment_ping                                                                           0x80a4f03d                                         
alljoyn_busattachment_registeraboutlistener                                                          0x35843e55                                         
alljoyn_busattachment_registerapplicationstatelistener                                               0x56162b8f                                         
alljoyn_busattachment_registerbuslistener                                                            0x1a7feb04                                         
alljoyn_busattachment_registerbusobject                                                              0x245cb535                                         
alljoyn_busattachment_registerbusobject_secure                                                       0x3e79e8bb                                         
alljoyn_busattachment_registerkeystorelistener                                                       0xe3155e90                                         
alljoyn_busattachment_registersignalhandler                                                          0xbd0a3210                                         
alljoyn_busattachment_registersignalhandlerwithrule                                                  0x38510264                                         
alljoyn_busattachment_releasename                                                                    0x5aed30f1                                         
alljoyn_busattachment_reloadkeystore                                                                 0x9a292a5c                                         
alljoyn_busattachment_removematch                                                                    0x3a64a86a                                         
alljoyn_busattachment_removesessionmember                                                            0x9d98c259                                         
alljoyn_busattachment_requestname                                                                    0x9a711699                                         
alljoyn_busattachment_secureconnection                                                               0x02cbaee6                                         
alljoyn_busattachment_secureconnectionasync                                                          0x7ae75864                                         
alljoyn_busattachment_setdaemondebug                                                                 0xd60e6076                                         
alljoyn_busattachment_setkeyexpiration                                                               0x5d800327                                         
alljoyn_busattachment_setlinktimeout                                                                 0xd7015b50                                         
alljoyn_busattachment_setlinktimeoutasync                                                            0x66cb570e                                         
alljoyn_busattachment_setsessionlistener                                                             0xf7861da5                                         
alljoyn_busattachment_start                                                                          0x957f141d                                         
alljoyn_busattachment_stop                                                                           0x80a6c455                                         
alljoyn_busattachment_unbindsessionport                                                              0x77b12538                                         
alljoyn_busattachment_unregisteraboutlistener                                                        0x1da1b578                                         
alljoyn_busattachment_unregisterallaboutlisteners                                                    0xbc0e0c44                                         
alljoyn_busattachment_unregisterallhandlers                                                          0x46bb7c41                                         
alljoyn_busattachment_unregisterapplicationstatelistener                                             0xa3c106d2                                         
alljoyn_busattachment_unregisterbuslistener                                                          0x457f3d67                                         
alljoyn_busattachment_unregisterbusobject                                                            0x3d8e12d8                                         
alljoyn_busattachment_unregistersignalhandler                                                        0xa527a933                                         
alljoyn_busattachment_unregistersignalhandlerwithrule                                                0xb2f8ec87                                         
alljoyn_busattachment_whoimplements_interface                                                        0x7ab22acb                                         
alljoyn_busattachment_whoimplements_interfaces                                                       0xd0f7849e                                         
alljoyn_buslistener_create                                                                           0x21129120                                         
alljoyn_buslistener_destroy                                                                          0x73139d36                                         
alljoyn_busobject_addinterface                                                                       0xb577e2b7                                         
alljoyn_busobject_addinterface_announced                                                             0xa9d208b1                                         
alljoyn_busobject_addmethodhandler                                                                   0x11a5ddc5                                         
alljoyn_busobject_addmethodhandlers                                                                  0x466196d8                                         
alljoyn_busobject_cancelsessionlessmessage                                                           0xa3a59643                                         
alljoyn_busobject_cancelsessionlessmessage_serial                                                    0x847d5282                                         
alljoyn_busobject_create                                                                             0x8cce03f1                                         
alljoyn_busobject_destroy                                                                            0x563d6a27                                         
alljoyn_busobject_emitpropertieschanged                                                              0xcca23da3                                         
alljoyn_busobject_emitpropertychanged                                                                0xc86420fb                                         
alljoyn_busobject_getannouncedinterfacenames                                                         0x8d6da23d                                         
alljoyn_busobject_getbusattachment                                                                   0xaa9ff410                                         
alljoyn_busobject_getname                                                                            0x3d3aa5fe                                         
alljoyn_busobject_getpath                                                                            0x3d3bbfaa                                         
alljoyn_busobject_issecure                                                                           0xefcb99c0                                         
alljoyn_busobject_methodreply_args                                                                   0x1bc0d156                                         
alljoyn_busobject_methodreply_err                                                                    0x46a8d192                                         
alljoyn_busobject_methodreply_status                                                                 0x395854ad                                         
alljoyn_busobject_setannounceflag                                                                    0x1d09e87a                                         
alljoyn_busobject_signal                                                                             0xb17eff1b                                         
alljoyn_credentials_clear                                                                            0xb305db51                                         
alljoyn_credentials_create                                                                           0x142dd91e                                         
alljoyn_credentials_destroy                                                                          0xc997e4f4                                         
alljoyn_credentials_getcertchain                                                                     0x2f198d3b                                         
alljoyn_credentials_getexpiration                                                                    0xbae1958d                                         
alljoyn_credentials_getlogonentry                                                                    0x3549297b                                         
alljoyn_credentials_getpassword                                                                      0x2c41ab3d                                         
alljoyn_credentials_getprivateKey                                                                    0x78fad3ee                                         
