DLL Path: C:\Windows\System32\bcrypt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
BCryptAddContextFunction                                                                             0x53be142d                                         
BCryptAddContextFunctionProvider                                                                     0x8bf2b958                                         
BCryptCloseAlgorithmProvider                                                                         0xfcd0cdc1                                         
BCryptConfigureContext                                                                               0x39195e80                                         
BCryptConfigureContextFunction                                                                       0x020630a6                                         
BCryptCreateContext                                                                                  0x74ccfe12                                         
BCryptCreateHash                                                                                     0xc30cab11                                         
BCryptCreateMultiHash                                                                                0x58a5869c                                         
BCryptDecrypt                                                                                        0x690ba834                                         
BCryptDeleteContext                                                                                  0xfd8382f1                                         
BCryptDeriveKey                                                                                      0x4804b441                                         
BCryptDeriveKeyCapi                                                                                  0x67fd559e                                         
BCryptDeriveKeyPBKDF2                                                                                0x78b66f7a                                         
BCryptDestroyHash                                                                                    0xddee2bc7                                         
BCryptDestroyKey                                                                                     0x7b16c8cc                                         
BCryptDestroySecret                                                                                  0x2c10cc69                                         
BCryptDuplicateHash                                                                                  0x74db7bf8                                         
BCryptDuplicateKey                                                                                   0x229256dd                                         
BCryptEncrypt                                                                                        0xcb04529e                                         
BCryptEnumAlgorithms                                                                                 0x3a2309e8                                         
BCryptEnumContextFunctionProviders                                                                   0x309647b7                                         
BCryptEnumContextFunctions                                                                           0x713ed12c                                         
BCryptEnumContexts                                                                                   0xdef71746                                         
BCryptEnumProviders                                                                                  0xbed2f4ac                                         
BCryptEnumRegisteredProviders                                                                        0x6ee748fa                                         
BCryptExportKey                                                                                      0xb92e43e4                                         
BCryptFinalizeKeyPair                                                                                0x847efbe0                                         
BCryptFinishHash                                                                                     0x6acfe83e                                         
BCryptFreeBuffer                                                                                     0x8fa570f5                                         
BCryptGenRandom                                                                                      0x3a73c634                                         
BCryptGenerateKeyPair                                                                                0x43800919                                         
BCryptGenerateSymmetricKey                                                                           0xa81d472a                                         
BCryptGetFipsAlgorithmMode                                                                           0x82a69e77                                         
BCryptGetProperty                                                                                    0xa8ac1fde                                         
BCryptHash                                                                                           0x622e687d                                         
BCryptHashData                                                                                       0x2c1f54b7                                         
BCryptImportKey                                                                                      0x644be23d                                         
BCryptImportKeyPair                                                                                  0x8fea41a9                                         
BCryptKeyDerivation                                                                                  0x12106737                                         
BCryptOpenAlgorithmProvider                                                                          0x2a15dfdd                                         
BCryptProcessMultiOperations                                                                         0x36c0d827                                         
BCryptQueryContextConfiguration                                                                      0x3c82fa4c                                         
BCryptQueryContextFunctionConfiguration                                                              0x8eb92e32                                         
BCryptQueryContextFunctionProperty                                                                   0x9769061f                                         
BCryptQueryProviderRegistration                                                                      0xd81b2c75                                         
BCryptRegisterConfigChangeNotify                                                                     0x5e952cf3                                         
BCryptRegisterProvider                                                                               0x0e6b0469                                         
BCryptRemoveContextFunction                                                                          0x0d6368b2                                         
BCryptRemoveContextFunctionProvider                                                                  0x7452c2dd                                         
BCryptResolveProviders                                                                               0x76688137                                         
BCryptSecretAgreement                                                                                0xe1b18b37                                         
BCryptSetAuditingInterface                                                                           0x81ea842b                                         
BCryptSetContextFunctionProperty                                                                     0x76a48bb5                                         
BCryptSetProperty                                                                                    0xe9049eea                                         
BCryptSignHash                                                                                       0x9f363d4e                                         
BCryptUnregisterConfigChangeNotify                                                                   0xcd944476                                         
BCryptUnregisterProvider                                                                             0x5e874c2c                                         
BCryptVerifySignature                                                                                0x2259cbe0                                         
