DLL Path: C:\Windows\System32\fwpolicyiomgr.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CalculateOpenPortOrAuthAppAddrStringSize                                                             0x3c0d2d2b                                         
CalculateOpenPortOrAuthAppAddrStringSize2                                                            0xbdb2d2bd                                         
CopyIcmpSettings                                                                                     0x71f99e3a                                         
CopyIcmpV4Rules                                                                                      0xcb04c73e                                         
CopyIcmpV6Rules                                                                                      0xcfaf1880                                         
CreateDefaultAuthAppRule                                                                             0x9f45b929                                         
CreateDefaultIcmpRule                                                                                0x5d17045f                                         
CreateDefaultOpenPortRule                                                                            0xaaa8598d                                         
CreateDefaultPerInterfaceIcmpRule                                                                    0xb9ce3dd7                                         
CreateDefaultPerInterfaceOpenPortRule                                                                0x9acf8f05                                         
CreateDefaultRemoteAdminRule                                                                         0x4ff5ac6b                                         
CreateDefaultRule                                                                                    0xa183bd96                                         
FWDestroyExtensionDllCriticalSection                                                                 0xf09cdfe5                                         
FWGPLock                                                                                             0xea2fa442                                         
FWGPOCleanup                                                                                         0xa497f190                                         
FWGPOSave                                                                                            0x304b14b7                                         
FWGPUnlockEx                                                                                         0x1ce11e22                                         
FWInitExtensionDllCriticalSection                                                                    0x088f760f                                         
FWOpenGPOAndGetRegKey                                                                                0x9db5d594                                         
FWPrimitivesSetGPHelperFnPtrs                                                                        0x48727bae                                         
FWResolveGPONames                                                                                    0xbad8b95c                                         
FWSetGPHelperFnPtrs                                                                                  0x54de4cc2                                         
FreeAbsoluteInterfaces                                                                               0xca39e98a                                         
FwAddDynamicKeywordAddressInRegistry                                                                 0xf0e959eb                                         
FwAddRule                                                                                            0x1acb3ae3                                         
FwAddRuleEx                                                                                          0xfa858900                                         
FwAddSet                                                                                             0x7ceee4f7                                         
FwAdvPolicyDecodeFirewallRule                                                                        0x273ff47f                                         
FwAdvPolicyEncodeRule                                                                                0xfb3b7353                                         
FwAdvPolicyEncodeRuleEx                                                                              0xb7e59d70                                         
FwAdvPolicyVerifyFirewallRule                                                                        0x722c31d0                                         
FwAppContainerChangeFree                                                                             0xf5f68a4e                                         
FwAreAllContainedInAddresses                                                                         0x1877f4dd                                         
FwAuthSetFree                                                                                        0x43ae8962                                         
FwBinariesFree                                                                                       0x126ed4b1                                         
FwCSRuleEmpty                                                                                        0xcd04463f                                         
FwCSRuleEmptyByBinaryVersion                                                                         0x22632845                                         
FwCSRuleFree                                                                                         0x6b104532                                         
FwCSRuleVerify                                                                                       0x94a4e4c5                                         
FwChkBuildSidAndAttributesFree                                                                       0x3c4a8904                                         
FwCleanupPhase1Sa                                                                                    0x04f77280                                         
FwClosePolicyStore                                                                                   0xd6c8be35                                         
FwCompareCSRule                                                                                      0xaf8dc4b7                                         
FwCompareFWRule                                                                                      0xb6d5a09e                                         
FwConvertIPv6SubNetToRange                                                                           0x1f1b09e9                                         
FwCopyAuthSetListToLowerVersion                                                                      0x97ac7489                                         
FwCopyAuthSetToLowerVersion                                                                          0x5be1eb4d                                         
FwCopyAuthsetToHigherVersion                                                                         0x39dfd87b                                         
FwCopyCSRule                                                                                         0xab69ee0b                                         
FwCopyCryptoSet                                                                                      0x2c57220a                                         
FwCopyICMPTypeCode                                                                                   0x990999e3                                         
FwCopyInterfaceIndexes                                                                               0x88ee19be                                         
FwCopyInterfaceLuids                                                                                 0x6b8c780f                                         
FwCopyLUID                                                                                           0xba1f9fcb                                         
FwCopyMMRule                                                                                         0xc250f14f                                         
FwCopyPlatform                                                                                       0xd44d9362                                         
FwCopyPortRange                                                                                      0x3df1de4f                                         
FwCopyPortsContents                                                                                  0x38311ae3                                         
FwCopyRule                                                                                           0xba2376d5                                         
FwCountAuthAppRules                                                                                  0x3ff5f7e9                                         
FwCountGlobalOpenPortRules                                                                           0x11cdcd3e                                         
FwCreateLocalTempStore                                                                               0x79fb6f24                                         
FwCryptoSetFree                                                                                      0x4b3ce691                                         
FwDecodeDynamicKeywordAddress                                                                        0x6dba23b6                                         
FwDeleteAllRules                                                                                     0x8e7adad9                                         
FwDeleteAllSets                                                                                      0x97b66f0d                                         
FwDeleteDynamicKeywordAddressInRegistry                                                              0x24bfeb35                                         
FwDeleteRule                                                                                         0xe196826d                                         
FwDeleteSet                                                                                          0xd84a6341                                         
FwDestroyLocalTempStore                                                                              0xeea4787a                                         
FwDoNothingOnObject                                                                                  0xdbf38e00                                         
FwDownlevelAuthSetFree                                                                               0x402f9a72                                         
FwDownlevelFirewallRuleEmpty                                                                         0x9f382f2f                                         
FwDynamicKeywordAddressIsStringValid                                                                 0x2df9ef95                                         
FwDynamicKeywordRuleLinkCopy                                                                         0xf07428cd                                         
FwEmptyWFRule                                                                                        0xc33412c6                                         
FwEncodeDynamicKeywordAddress                                                                        0x296b8720                                         
FwEnumAllDynamicKeywordAddressesInRegistry                                                           0x4a8ecc48                                         
FwEnumRules                                                                                          0x602ea742                                         
FwEnumSets                                                                                           0x507dd256                                         
FwEraseGPOStoreBaseKey                                                                               0x4f7bfe29                                         
FwFindMatchingOpenPortRule                                                                           0x9e3a65dd                                         
FwFreeDynamicKeywordAddressDataBySchemaVersion                                                       0x32728040                                         
FwFreeDynamicKeywordAddressesInternal                                                                0x5b1dfba9                                         
FwFreeDynamicKeywordRuleLink                                                                         0xb0bc76b4                                         
FwFreeObjects                                                                                        0xfec1a28e                                         
FwFreeRules                                                                                          0xa3655aaf                                         
FwFreeSets                                                                                           0x4ac54c23                                         
FwFreeWFRule                                                                                         0x1859fdb9                                         
FwGetConfig                                                                                          0x4decfd18                                         
FwGetDynamicKeywordOriginFromStoreType                                                               0x8e8bdc97                                         
FwGetGlobalConfig                                                                                    0xbd716e49                                         
FwGetGlobalConfigFromLocalTempStore                                                                  0x2225a14b                                         
FwGetRule                                                                                            0xec1f581a                                         
FwGetStoreTypeFromDynamicKeywordOriginType                                                           0xc8776cb9                                         
FwICFProfileToWfProfile                                                                              0xbf596b16                                         
FwICFProtocolToWfProtocol                                                                            0x09830178                                         
FwIPV4RangeContainsMulticast                                                                         0x77c18907                                         
FwIPV6RangeContainsMulticast                                                                         0x082cc689                                         
FwInvertAddresses                                                                                    0x6ebfe6b8                                         
FwIsV6AddrLoopback                                                                                   0xbe80fdf0                                         
FwMMRuleFree                                                                                         0xd88f4a76                                         
FwMMRuleVerify                                                                                       0x5dfa4b09                                         
FwMigrateLegacyAuthenticatedBypassSddl                                                               0x0e6f2f3c                                         
FwMigrateLegacySettings                                                                              0xf02f4a71                                         
FwNegateAddresses                                                                                    0xed9eea54                                         
FwOpenAppCDbPolicyStore                                                                              0x681f84db                                         
FwOpenOfflinePolicyStore                                                                             0x338a1d14                                         
FwOpenPolicyStore                                                                                    0x51eb7231                                         
FwParseAddressToken                                                                                  0x3a53f8e4                                         
FwParseAllPortVersions                                                                               0x68b48b94                                         
FwParseICMPTypeCodes                                                                                 0x369737b6                                         
FwParseInterfaceType                                                                                 0xae2cca10                                         
FwPolioConvertIPv6SubNetToRange                                                                      0xc69e0bec                                         
FwPolioCopyAuthSet                                                                                   0x0d73d2be                                         
FwPolioCopyWFAddressesContents                                                                       0xfef8b809                                         
FwPolioEmptyWFAddresses                                                                              0x4a7ea4cf                                         
FwPolioMergeAddresses                                                                                0xe0d12893                                         
FwReduceObjectsToVersion                                                                             0x100c4dcd                                         
FwRemoveDuplicateAddresses                                                                           0x75ebda69                                         
FwRuleResolveFlags                                                                                   0x4a611dc7                                         
FwSddlStringVerify                                                                                   0x47ed5135                                         
FwSetConfig                                                                                          0xc3c24924                                         
FwSetDynamicKeywordRuleLinkAddOrUpdateFn                                                             0xd65f76ff                                         
FwSetGlobalConfig                                                                                    0x64ca9355                                         
FwSetGlobalConfigInLocalTempStore                                                                    0xa875fcfa                                         
FwSetResolveFlags                                                                                    0x493572fb                                         
FwSetRule                                                                                            0x87da3126                                         
FwSetRuleEx                                                                                          0xe72b1c03                                         
FwSetSet                                                                                             0xa7069eda                                         
FwSidAndAttributesCopy                                                                               0x0574e077                                         
FwSidAndAttributesFree                                                                               0x057690de                                         
FwSidCopy                                                                                            0x9004f8fd                                         
FwSidsToString                                                                                       0x4f4201cf                                         
FwStringToSids                                                                                       0x4ebcb74f                                         
FwSubtractAddresses                                                                                  0x13813ca8                                         
FwUniteWFAddressesContents                                                                           0x09c54870                                         
FwUpdateDynamicKeywordAddressInRegistry                                                              0x35063165                                         
FwVerifyWFRuleSemantics                                                                              0xb7182413                                         
FwWfProtocolToICFProtocol                                                                            0x170c2c38                                         
GetOpenPortOrAuthAppAddrScope                                                                        0x0fcc7945                                         
GetOpenPortorAuthAppAddrAsString                                                                     0xe26eb216                                         
GetOpenPortorAuthAppAsBSTR                                                                           0x231ed0df                                         
GetRemoteAdminSettings                                                                               0x2f7fec4b                                         
IsEqualAddresses                                                                                     0x2f7c4677                                         
IsPortsEmpty                                                                                         0x24040b08                                         
IsRuleLegacyICMPSettings                                                                             0x56501ce8                                         
IsRulePerInterfaceIcmp                                                                               0x6ea1317a                                         
IsRulePerInterfaceOpenPort                                                                           0xb611c128                                         
IsUnicastExplicitAddressesEmpty                                                                      0xc2dca107                                         
Isv4Orv6AddressesEmpty                                                                               0x6d6561a5                                         
LoadGPExtensionDll                                                                                   0xf2e5aab5                                         
MakeAbsoluteInterfaces                                                                               0x53fe67a6                                         
OpenPortOrAuthAppAddrToString                                                                        0x40b46645                                         
OpenPortOrAuthAppAddrToStringInt2                                                                    0xb581eb82                                         
OpenPortOrAuthAppAddrToStringInt3                                                                    0xb581eb83                                         
