DLL Path: C:\Windows\System32\lsasrv.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
InitializeLsaExtension                                                                               0x9e946194                                         
IsTraceLevelEnabled                                                                                  0xb8063913                                         
LsaDbLookupSidChainRequest                                                                           0xff16fed1                                         
LsaIAddNamesToLogonSession                                                                           0x3176d951                                         
LsaIAdjustTokenObjectIntegrity                                                                       0x27e340b0                                         
LsaIAdtAuditingEnabledByCategory                                                                     0x92b04a40                                         
LsaIAdtAuditingEnabledBySubCategory                                                                  0x4f60bd8a                                         
LsaIAllocateHeap                                                                                     0x51939f91                                         
LsaIAllocateHeapZero                                                                                 0x2abe16f1                                         
LsaIAllowProtectedCredLogon                                                                          0x2a864b94                                         
LsaIAuditAccountLogon                                                                                0x2a6d7ff1                                         
LsaIAuditAccountLogonEx                                                                              0x7bcd498e                                         
LsaIAuditInitializeParametersAndWriteEvent                                                           0xb2d6d34b                                         
LsaIAuditKdcEvent                                                                                    0x9390fbd9                                         
LsaIAuditKerberosLogon                                                                               0xd0810421                                         
LsaIAuditLogonEx                                                                                     0x7afee241                                         
LsaIAuditLogonUsingExplicitCreds                                                                     0x8cb6625d                                         
LsaIAuditNotifyPackageLoad                                                                           0xa7e103aa                                         
LsaIAuditPasswordAccessEvent                                                                         0xd42b33cc                                         
LsaIAuditReplay                                                                                      0x7da42c92                                         
LsaIAuditSamEvent                                                                                    0x260482e8                                         
LsaICallPackage                                                                                      0xefd90076                                         
LsaICallPackageEx                                                                                    0x4a1aff53                                         
LsaICallPackagePassthrough                                                                           0xcd22e0ce                                         
LsaICancelNotification                                                                               0xbc80ae7b                                         
LsaIChangeSecretCipherKey                                                                            0x0725acfe                                         
LsaICheckProtectedUserByTokenInfo                                                                    0xd7ef99bd                                         
LsaICheckRestrictedMode                                                                              0x7711baaa                                         
LsaIClearOldSyskey                                                                                   0x51b2eefc                                         
LsaICryptProtectData                                                                                 0xf276869b                                         
LsaICryptProtectDataEx                                                                               0x6a32a2b8                                         
LsaICryptUnprotectData                                                                               0xb4a75e3e                                         
LsaICryptUnprotectDataEx                                                                             0x7bf7ef1b                                         
LsaIDereferenceCredHandle                                                                            0x16379a90                                         
LsaIDeriveCredentialKey                                                                              0x1f4b0871                                         
LsaIDsNotifiedObjectChange                                                                           0xdd937f94                                         
LsaIEfsAcceptSmartcardCredentials                                                                    0x0e05c40b                                         
LsaIEqualLogonProcessName                                                                            0xd39335a5                                         
LsaIEqualSupplementalTokenInfo                                                                       0x88938d8d                                         
LsaIEventWritePackageNoCredential                                                                    0xfeb7fd7f                                         
LsaIEventWritePackageNotCacheLogonUser                                                               0xaa938a4a                                         
LsaIExtractTargetInfo                                                                                0xc051f9fc                                         
LsaIFilterInboundNamespace                                                                           0x072531d0                                         
LsaIFilterNamespace                                                                                  0x8cf72b81                                         
LsaIFilterSids                                                                                       0x41bd0b07                                         
LsaIFlushIdentityCacheForSid                                                                         0x3b5ef315                                         
LsaIForestTrustFindMatch                                                                             0xe1a9e1f1                                         
LsaIFreeFilterInboundNamespaceResult                                                                 0xa39c3ed1                                         
LsaIFreeForestTrustInfo                                                                              0xa1810251                                         
LsaIFreeHeap                                                                                         0x5d5a4c0e                                         
LsaIFreeReturnBuffer                                                                                 0xcfb75bea                                         
LsaIFreeSupplementalTokenInfo                                                                        0x28969eb7                                         
LsaIFree_LSAI_PRIVATE_DATA                                                                           0xc9d20f6b                                         
LsaIFree_LSAI_SECRET_ENUM_BUFFER                                                                     0x8062fd2a                                         
LsaIFree_LSAPR_ACCOUNT_ENUM_BUFFER                                                                   0xb456f5aa                                         
LsaIFree_LSAPR_CR_CIPHER_VALUE                                                                       0x0d3e007b                                         
LsaIFree_LSAPR_POLICY_DOMAIN_INFORMATION                                                             0x841dc1fc                                         
LsaIFree_LSAPR_POLICY_INFORMATION                                                                    0x50a921e5                                         
LsaIFree_LSAPR_PRIVILEGE_ENUM_BUFFER                                                                 0xebbec3e4                                         
LsaIFree_LSAPR_PRIVILEGE_SET                                                                         0x5d7b5b22                                         
LsaIFree_LSAPR_REFERENCED_DOMAIN_LIST                                                                0xec4ac575                                         
LsaIFree_LSAPR_SR_SECURITY_DESCRIPTOR                                                                0x966df9aa                                         
LsaIFree_LSAPR_TRANSLATED_NAMES                                                                      0x7f4afdf5                                         
LsaIFree_LSAPR_TRANSLATED_SIDS                                                                       0x5933b034                                         
LsaIFree_LSAPR_TRUSTED_DOMAIN_INFO                                                                   0xe46cc01d                                         
LsaIFree_LSAPR_TRUSTED_ENUM_BUFFER                                                                   0x9d84fb88                                         
LsaIFree_LSAPR_TRUSTED_ENUM_BUFFER_EX                                                                0x68f34be4                                         
LsaIFree_LSAPR_TRUST_INFORMATION                                                                     0x06dfea77                                         
LsaIFree_LSAPR_UNICODE_STRING                                                                        0xdd7c85ed                                         
LsaIFree_LSAPR_UNICODE_STRING_BUFFER                                                                 0x7781b6c6                                         
LsaIFree_LSAP_SITENAME_INFO                                                                          0xb5668ddf                                         
LsaIFree_LSAP_SITE_INFO                                                                              0xc659a77e                                         
LsaIFree_LSAP_SUBNET_INFO                                                                            0x5ae4b47a                                         
LsaIFree_LSAP_UPN_SUFFIXES                                                                           0x695ef05d                                         
LsaIFree_LSA_FOREST_TRUST_COLLISION_INFORMATION                                                      0xef1edd92                                         
LsaIFree_LSA_FOREST_TRUST_INFORMATION                                                                0x1abb8847                                         
LsaIGetCallInfo                                                                                      0x19a5c096                                         
LsaIGetCcgClient                                                                                     0x48d1635a                                         
LsaIGetClientOsInfo                                                                                  0x3ec1f0bb                                         
LsaIGetForestTrustInformation                                                                        0xf24dc949                                         
LsaIGetLogonGuid                                                                                     0xdafc2216                                         
LsaIGetNameFromLuid                                                                                  0x7461f651                                         
LsaIGetNbAndDnsDomainNames                                                                           0x754cf2a2                                         
LsaIGetNego2Package                                                                                  0x2ec497f5                                         
LsaIGetRemoteCredGuardLogonBuffer                                                                    0x70d54a84                                         
LsaIGetRemoteCredGuardSupplementalCreds                                                              0x8cc57e96                                         
LsaIGetSiteName                                                                                      0x57c215a4                                         
LsaIGetSupplementalTokenInfo                                                                         0x5bd1ca55                                         
LsaIGetTokenInformationForLocalUser                                                                  0x21d10486                                         
LsaIHealthCheck                                                                                      0x7ab9f702                                         
LsaIImpersonateClient                                                                                0x07995594                                         
LsaIInitializeNetlogonFuncPtrs                                                                       0xb8c6cfbb                                         
LsaIIsContainerized                                                                                  0x28dda059                                         
LsaIIsDomainWithinForest                                                                             0x7826d308                                         
LsaIIsDsPaused                                                                                       0x71588243                                         
LsaIIsInEmulatedDomainJoinMode                                                                       0x53402a5f                                         
LsaIIsLastInteractiveLogonInfoEnabled                                                                0xdbae7232                                         
LsaIIsLocalHost                                                                                      0x451d3d93                                         
LsaIIsMachineSecureByDefault                                                                         0xe5389d06                                         
LsaIIsSuppressChannelBindingInfo                                                                     0xa62e4ecf                                         
LsaIIsTargetPrivate                                                                                  0xb2f1542c                                         
LsaIIsTrustedDomainsEnabled                                                                          0xb093e14b                                         
LsaIIsUserMSA                                                                                        0xa572f16a                                         
LsaIKerberosRegisterTrustNotification                                                                0x00d180b9                                         
LsaILookupUserAccountType                                                                            0xab9ce536                                         
LsaILookupWellKnownName                                                                              0x843e784a                                         
LsaIModifyPerformanceCounter                                                                         0x5f146f08                                         
LsaINoConnectedUserPolicy                                                                            0x11e5ef8d                                         
LsaINoMoreWin2KDomain                                                                                0xec4a9ca1                                         
LsaINotifyChangeNotification                                                                         0xcfd4e814                                         
LsaINotifyGCStatusChange                                                                             0x56f8eefb                                         
LsaINotifyNetlogonParametersChangeW                                                                  0xf16f585e                                         
LsaINotifyNewPassword                                                                                0x9655e504                                         
LsaINotifyPasswordChanged                                                                            0xcc802fe4                                         
LsaIOpenPolicyTrusted                                                                                0x93bbc29b                                         
LsaIQueryForestTrustInfo                                                                             0x3b099aa5                                         
LsaIQueryForestTrustInformation                                                                      0x84349bbf                                         
LsaIQueryInformationPolicyTrusted                                                                    0xa21730a5                                         
LsaIQueryPackageAttrInLogonSession                                                                   0x5634c905                                         
LsaIQuerySiteInfo                                                                                    0x866faa25                                         
LsaIQuerySubnetInfo                                                                                  0xb0b06561                                         
LsaIQueryUpnSuffixes                                                                                 0xf92b6664                                         
LsaIReferenceCredHandle                                                                              0x9bcfe067                                         
LsaIRegisterLogonSessionCallback                                                                     0xcc59f5e3                                         
LsaIRegisterNotification                                                                             0xa6a3a99a                                         
LsaIRegisterPolicyChangeNotificationCallback                                                         0x9bbc685d                                         
LsaIRenewCertificate                                                                                 0x9a5e80d2                                         
LsaIReplicateClientObject                                                                            0x8159f05d                                         
