DLL Path: C:\Windows\System32\mf.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AppendPropVariant                                                                                    0x405a01d3                                         
ConvertPropVariant                                                                                   0xe2abc41c                                         
CopyPropertyStore                                                                                    0xfff96952                                         
CreateNamedPropertyStore                                                                             0x36576970                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetActivationFactory                                                                              0xb8e9118b                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
ExtractPropVariant                                                                                   0x110fb196                                         
MFCreate3GPMediaSink                                                                                 0x445f8d0b                                         
MFCreateAC3MediaSink                                                                                 0x67096298                                         
MFCreateADTSMediaSink                                                                                0x55aa5b6d                                         
MFCreateASFByteStreamPlugin                                                                          0xd4fcbbf5                                         
MFCreateASFContentInfo                                                                               0x00ff2f2d                                         
MFCreateASFIndexer                                                                                   0xaa13d255                                         
MFCreateASFIndexerByteStream                                                                         0x42734715                                         
MFCreateASFMediaSink                                                                                 0x099d7c1b                                         
MFCreateASFMediaSinkActivate                                                                         0xbe3ac96c                                         
MFCreateASFMultiplexer                                                                               0x9df6cdc1                                         
MFCreateASFProfile                                                                                   0xcf077917                                         
MFCreateASFProfileFromPresentationDescriptor                                                         0xf1fe82c6                                         
MFCreateASFSplitter                                                                                  0xd4049b5d                                         
MFCreateASFStreamSelector                                                                            0x903598d3                                         
MFCreateASFStreamingMediaSink                                                                        0x4f555c45                                         
MFCreateASFStreamingMediaSinkActivate                                                                0xca3d3396                                         
MFCreateAggregateSource                                                                              0xdb7b49a4                                         
MFCreateAppSourceProxy                                                                               0x01f77ee0                                         
MFCreateAudioRenderer                                                                                0xab7b92b5                                         
MFCreateAudioRendererActivate                                                                        0x22aada06                                         
MFCreateByteCacheFile                                                                                0x2eceb454                                         
MFCreateCacheManager                                                                                 0x78b6a41b                                         
MFCreateCredentialCache                                                                              0xffb23ddb                                         
MFCreateDeviceSource                                                                                 0xbec91b0d                                         
MFCreateDeviceSourceActivate                                                                         0x59c73a5e                                         
MFCreateDrmNetNDSchemePlugin                                                                         0x4a73626c                                         
MFCreateEncryptedMediaExtensionsStoreActivate                                                        0x14b28c48                                         
MFCreateFMPEG4MediaSink                                                                              0xcfc3fb44                                         
MFCreateFileBlockMap                                                                                 0x2293a5f5                                         
MFCreateFileSchemePlugin                                                                             0x34108a50                                         
MFCreateHttpSchemePlugin                                                                             0x93a3c2f0                                         
MFCreateLPCMByteStreamPlugin                                                                         0x70672407                                         
MFCreateMP3ByteStreamPlugin                                                                          0x6ecb5a8b                                         
MFCreateMP3MediaSink                                                                                 0x7826f771                                         
MFCreateMPEG4MediaSink                                                                               0x9a184efe                                         
MFCreateMediaProcessor                                                                               0x1470de8c                                         
MFCreateMediaSession                                                                                 0x16c13fb0                                         
MFCreateMuxSink                                                                                      0xe03b5f9b                                         
MFCreateNSCByteStreamPlugin                                                                          0x1786473f                                         
MFCreateNetSchemePlugin                                                                              0x1836bd17                                         
MFCreatePMPHost                                                                                      0x6701fa97                                         
MFCreatePMPMediaSession                                                                              0x02fb463d                                         
MFCreatePMPServer                                                                                    0x485e4fd0                                         
MFCreatePresentationClock                                                                            0xba4430f4                                         
MFCreatePresentationDescriptorFromASFProfile                                                         0xc0f55046                                         
MFCreateProtectedEnvironmentAccess                                                                   0x6bac141d                                         
MFCreateProxyLocator                                                                                 0x908c11a2                                         
MFCreateRemoteDesktopPlugin                                                                          0x667521c1                                         
MFCreateSAMIByteStreamPlugin                                                                         0xaa233825                                         
MFCreateSampleCopierMFT                                                                              0x48437077                                         
MFCreateSampleGrabberSinkActivate                                                                    0x20c428c9                                         
MFCreateSecureHttpSchemePlugin                                                                       0xf269db57                                         
MFCreateSequencerSegmentOffset                                                                       0x7a248171                                         
MFCreateSequencerSource                                                                              0xa2ad7ba8                                         
MFCreateSequencerSourceRemoteStream                                                                  0x8ab66060                                         
MFCreateSimpleTypeHandler                                                                            0x3d7a7556                                         
MFCreateSoundEventSchemePlugin                                                                       0xbb9a29db                                         
MFCreateSourceResolver                                                                               0xb46149af                                         
MFCreateStandardQualityManager                                                                       0x6ae482c1                                         
MFCreateTopoLoader                                                                                   0x95e00705                                         
MFCreateTopology                                                                                     0x7ee9cb09                                         
MFCreateTopologyNode                                                                                 0x25a6d28f                                         
MFCreateTranscodeProfile                                                                             0x3e316240                                         
MFCreateTranscodeSinkActivate                                                                        0xa43a9015                                         
MFCreateTranscodeTopology                                                                            0xd16fff4c                                         
MFCreateTranscodeTopologyFromByteStream                                                              0xa5404200                                         
MFCreateUrlmonSchemePlugin                                                                           0xc5731f8d                                         
MFCreateVideoRenderer                                                                                0xd2b4b53a                                         
MFCreateVideoRendererActivate                                                                        0x7e8cb18b                                         
MFCreateWMAEncoderActivate                                                                           0x10615b42                                         
MFCreateWMVEncoderActivate                                                                           0x10bd76b7                                         
MFEnumDeviceSources                                                                                  0xf5ddb081                                         
MFGetLocalId                                                                                         0x8f77dcf0                                         
MFGetMultipleServiceProviders                                                                        0xaf551af3                                         
MFGetService                                                                                         0x9416da09                                         
MFGetSupportedMimeTypes                                                                              0x14c13a1b                                         
MFGetSupportedSchemes                                                                                0xe7bc0de6                                         
MFGetSystemId                                                                                        0x1cadc7aa                                         
MFGetTopoNodeCurrentType                                                                             0x6bbb97c5                                         
MFLoadSignedLibrary                                                                                  0xafdf3d47                                         
MFRR_CreateActivate                                                                                  0x5d8bc4a0                                         
MFReadSequencerSegmentOffset                                                                         0xdde86139                                         
MFRequireProtectedEnvironment                                                                        0x62a836b4                                         
MFShutdownObject                                                                                     0x0ca0c6cb                                         
MFTranscodeGetAudioOutputAvailableTypes                                                              0x828aca34                                         
MergePropertyStore                                                                                   0xcb15bb47                                         
