DLL Path: C:\Windows\System32\migwiz\cmi2migxml.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CAppendNewAttributeRule@Mig@@QEAA@AEBV01@@Z                                                       0xa282d112                                         
??0CAppendNewAttributeRule@Mig@@QEAA@PEAVString@UnBCL@@00PEAUITranslationRule@1@@Z                   0x4104af96                                         
??0CAppendNewChildRule@Mig@@QEAA@AEBV01@@Z                                                           0x944061c2                                         
??0CAppendNewChildRule@Mig@@QEAA@PEAVString@UnBCL@@W4XmlNodeType@3@PEAUITranslationRule@1@H@Z        0xbf29e8c5                                         
??0CComponentPathRule@Mig@@QEAA@$$QEAV01@@Z                                                          0x82b89c53                                         
??0CComponentPathRule@Mig@@QEAA@AEBV01@@Z                                                            0xdc2a0e7c                                         
??0CComponentPathRule@Mig@@QEAA@XZ                                                                   0x35dafa35                                         
??0CCopyAttributesRule@Mig@@QEAA@$$QEAV01@@Z                                                         0x8d749915                                         
??0CCopyAttributesRule@Mig@@QEAA@AEBV01@@Z                                                           0x72dbf2be                                         
??0CCopyAttributesRule@Mig@@QEAA@XZ                                                                  0xfc2e04b7                                         
??0CCopyChildrenRule@Mig@@QEAA@$$QEAV01@@Z                                                           0x2d9454f7                                         
??0CCopyChildrenRule@Mig@@QEAA@AEBV01@@Z                                                             0xaeb74e20                                         
??0CCopyChildrenRule@Mig@@QEAA@XZ                                                                    0x80404a59                                         
??0CEnvExpandRule@Mig@@QEAA@AEBV01@@Z                                                                0x4baaa3c5                                         
??0CEnvExpandRule@Mig@@QEAA@PEAVString@UnBCL@@@Z                                                     0xeef524dd                                         
??0CIdStringAsInnerTextRule@Mig@@QEAA@$$QEAV01@@Z                                                    0x6a6ae5ac                                         
??0CIdStringAsInnerTextRule@Mig@@QEAA@AEBV01@@Z                                                      0x1fd82d95                                         
??0CIdStringAsInnerTextRule@Mig@@QEAA@XZ                                                             0x40ced36e                                         
??0CLinkedRule@Mig@@QEAA@AEBV01@@Z                                                                   0x59925413                                         
??0CLinkedRule@Mig@@QEAA@PEAUITranslationRule@1@@Z                                                   0x244ed680                                         
??0CNodeInnerTextCopyRule@Mig@@QEAA@$$QEAV01@@Z                                                      0x6a619bb5                                         
??0CNodeInnerTextCopyRule@Mig@@QEAA@AEBV01@@Z                                                        0x7d67cd5e                                         
??0CNodeInnerTextCopyRule@Mig@@QEAA@XZ                                                               0x11c09357                                         
??0CSelectRule@Mig@@QEAA@AEBV01@@Z                                                                   0x1d8566fc                                         
??0CSelectRule@Mig@@QEAA@XZ                                                                          0x4900e2b5                                         
??0CStatePatternRule@Mig@@QEAA@$$QEAV01@@Z                                                           0x9554f652                                         
??0CStatePatternRule@Mig@@QEAA@AEBV01@@Z                                                             0x5399dcbb                                         
??0CStatePatternRule@Mig@@QEAA@XZ                                                                    0xd63be154                                         
??0CSupportedIdRule@Mig@@QEAA@$$QEAV01@@Z                                                            0x4402dbc6                                         
??0CSupportedIdRule@Mig@@QEAA@AEBV01@@Z                                                              0xf6e7d52f                                         
??0CSupportedIdRule@Mig@@QEAA@XZ                                                                     0x317b3448                                         
??0CTranslationMigAttrib@Mig@@QEAA@AEBV01@@Z                                                         0x0c1794b6                                         
??0CTranslationMigAttrib@Mig@@QEAA@PEAVString@UnBCL@@PEAVXmlNode@3@@Z                                0x060dd544                                         
??0CTranslationPattern@Mig@@QEAA@AEBV01@@Z                                                           0xbac58e11                                         
??0CTranslationPattern@Mig@@QEAA@PEAVString@UnBCL@@0@Z                                               0x229a35b9                                         
??0CTranslationRuleCollection@Mig@@QEAA@AEBV01@@Z                                                    0xde9a5037                                         
??0CTranslationRuleCollection@Mig@@QEAA@XZ                                                           0x2c858850                                         
??0CUrlIdRule@Mig@@QEAA@$$QEAV01@@Z                                                                  0xfd721a73                                         
??0CUrlIdRule@Mig@@QEAA@AEBV01@@Z                                                                    0x482d849c                                         
??0CUrlIdRule@Mig@@QEAA@XZ                                                                           0x25451455                                         
??0CXPathRule@Mig@@QEAA@AEBV01@@Z                                                                    0x36cabf01                                         
??0CXPathRule@Mig@@QEAA@PEAVString@UnBCL@@IIPEAUITranslationRule@1@@Z                                0xdcb8bc97                                         
??0ITranslationRule@Mig@@QEAA@$$QEAU01@@Z                                                            0x98322487                                         
??0ITranslationRule@Mig@@QEAA@AEBU01@@Z                                                              0x53275d70                                         
??0ITranslationRule@Mig@@QEAA@XZ                                                                     0xb483ff6a                                         
??1CAppendNewAttributeRule@Mig@@UEAA@XZ                                                              0xc343e910                                         
??1CAppendNewChildRule@Mig@@UEAA@XZ                                                                  0x893bc740                                         
??1CComponentPathRule@Mig@@UEAA@XZ                                                                   0xcf22b51a                                         
??1CCopyAttributesRule@Mig@@UEAA@XZ                                                                  0x414ebbbc                                         
??1CCopyChildrenRule@Mig@@UEAA@XZ                                                                    0x80ee0d1e                                         
??1CEnvExpandRule@Mig@@UEAA@XZ                                                                       0x70d3d203                                         
