DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CCritSec@@QEAA@XZ                                                                                 0xe57ddc4d                                         
??0CDoubleList@@QEAA@XZ                                                                              0x238108b7                                         
??0CEXAutoBackupFile@@QEAA@PEBG@Z                                                                    0xb2c2ea72                                         
??0CEXAutoBackupFile@@QEAA@XZ                                                                        0x7906746c                                         
??0CExFileOperation@@QEAA@XZ                                                                         0xe46fd1ae                                         
??0CFakeLock@@QEAA@XZ                                                                                0xac6a45e0                                         
??0CLKRHashTable@@QEAA@PEBDP6A?B_KPEBX@ZP6AK_K@ZP6A_N33@ZP6AX1H@ZNKK_N7PEAVCLKRhashAllocator@@@Z     0xa9ba4074                                         
??0CLKRHashTableStats@@QEAA@XZ                                                                       0x331bd664                                         
??0CLKRHashTable_Iterator@@IEAA@PEAVCLKRHashTable@@F@Z                                               0x786f1e08                                         
??0CLKRHashTable_Iterator@@QEAA@$$QEAV0@@Z                                                           0x0884ffcb                                         
??0CLKRHashTable_Iterator@@QEAA@AEBV0@@Z                                                             0x75aefa94                                         
??0CLKRHashTable_Iterator@@QEAA@XZ                                                                   0x1b71403e                                         
??0CLKRLinearHashTable@@AEAA@PEBDP6A?B_KPEBX@ZP6AK_K@ZP6A_N33@ZP6AX1H@ZNKPEAVCLKRHashTable@@_N8PEAVCLKRhashAllocator@@@Z 0x367c0739                                         
??0CLKRLinearHashTable@@QEAA@PEBDP6A?B_KPEBX@ZP6AK_K@ZP6A_N33@ZP6AX1H@ZNKK_N7PEAVCLKRhashAllocator@@@Z 0x3674550f                                         
??0CLKRLinearHashTable_Iterator@@IEAA@PEAVCLKRLinearHashTable@@PEAVCNodeClump@@KF@Z                  0xe397485f                                         
??0CLKRLinearHashTable_Iterator@@QEAA@AEBV0@@Z                                                       0x19a6222f                                         
??0CLKRLinearHashTable_Iterator@@QEAA@XZ                                                             0xc6b58f99                                         
??0CLKRhashDefaultAllocator@@QEAA@XZ                                                                 0x6c783773                                         
??0CLockedDoubleList@@QEAA@$$QEAV0@@Z                                                                0x44e59456                                         
??0CLockedDoubleList@@QEAA@AEBV0@@Z                                                                  0x1f3af05f                                         
??0CLockedDoubleList@@QEAA@XZ                                                                        0x1d1779c9                                         
??0CLockedSingleList@@QEAA@$$QEAV0@@Z                                                                0xa412cbbd                                         
??0CLockedSingleList@@QEAA@AEBV0@@Z                                                                  0x1f152206                                         
