DLL Path: C:\Windows\System32\msdrm.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DRMAcquireAdvisories                                                                                 0x5822d70b                                         
DRMAcquireIssuanceLicenseTemplate                                                                    0xa8a90c2c                                         
DRMAcquireLicense                                                                                    0x5ea132b5                                         
DRMActivate                                                                                          0x849bc959                                         
DRMAddLicense                                                                                        0xf482e154                                         
DRMAddRightWithUser                                                                                  0x2b11926a                                         
DRMAttest                                                                                            0x5798c93d                                         
DRMCheckSecurity                                                                                     0x890c8d9e                                         
DRMClearAllRights                                                                                    0xa13b4119                                         
DRMCloseEnvironmentHandle                                                                            0x19f7f35f                                         
DRMCloseHandle                                                                                       0x3c206c2a                                         
DRMClosePubHandle                                                                                    0xbeac6c71                                         
DRMCloseQueryHandle                                                                                  0x9fb4c560                                         
DRMCloseSession                                                                                      0x18a5d962                                         
DRMConstructCertificateChain                                                                         0x2dda1c73                                         
DRMCreateBoundLicense                                                                                0x8304f017                                         
DRMCreateClientSession                                                                               0x1abefd1f                                         
DRMCreateEnablingBitsDecryptor                                                                       0x9d5da2ca                                         
DRMCreateEnablingBitsEncryptor                                                                       0x602a8fb4                                         
DRMCreateEnablingPrincipal                                                                           0x23cb925e                                         
DRMCreateIssuanceLicense                                                                             0xf9bab99a                                         
DRMCreateLicenseStorageSession                                                                       0x96999098                                         
DRMCreateRight                                                                                       0xf01f797a                                         
DRMCreateUser                                                                                        0xb1f33fbb                                         
DRMDecode                                                                                            0x5d7fa9ac                                         
DRMDeconstructCertificateChain                                                                       0xb0b577dc                                         
DRMDecrypt                                                                                           0x0d76df83                                         
DRMDeleteLicense                                                                                     0x3072c6de                                         
DRMDuplicateEnvironmentHandle                                                                        0x2177d9c4                                         
DRMDuplicateHandle                                                                                   0xa7c0afaf                                         
DRMDuplicatePubHandle                                                                                0x2b52bdd6                                         
DRMDuplicateSession                                                                                  0xf84e8d87                                         
DRMEncode                                                                                            0x6077aed6                                         
DRMEncrypt                                                                                           0x6f6f89ed                                         
DRMEnumerateLicense                                                                                  0xff24dfb1                                         
DRMGetApplicationSpecificData                                                                        0x6dd2f09c                                         
DRMGetBoundLicenseAttribute                                                                          0x9081ed97                                         
DRMGetBoundLicenseAttributeCount                                                                     0x44f44c20                                         
DRMGetBoundLicenseObject                                                                             0x25d3dd1a                                         
DRMGetBoundLicenseObjectCount                                                                        0x87676583                                         
DRMGetCertificateChainCount                                                                          0x74b77837                                         
DRMGetClientVersion                                                                                  0xe63d910d                                         
DRMGetEnvironmentInfo                                                                                0x4fe0ea69                                         
DRMGetInfo                                                                                           0xf5828ab4                                         
DRMGetIntervalTime                                                                                   0x9a62e9fc                                         
DRMGetIssuanceLicenseInfo                                                                            0x3040c6f2                                         
DRMGetIssuanceLicenseTemplate                                                                        0xe2fa0ca2                                         
DRMGetMetaData                                                                                       0xd07dcce9                                         
DRMGetNameAndDescription                                                                             0x2652aea0                                         
DRMGetOwnerLicense                                                                                   0xc91bec16                                         
DRMGetProcAddress                                                                                    0x41694e62                                         
DRMGetRevocationPoint                                                                                0xab241a4c                                         
DRMGetRightExtendedInfo                                                                              0x90fdddc3                                         
DRMGetRightInfo                                                                                      0x02a34fd2                                         
DRMGetSecurityProvider                                                                               0xc400454b                                         
DRMGetServiceLocation                                                                                0xe0a63492                                         
DRMGetSignedIssuanceLicense                                                                          0x764a3300                                         
DRMGetSignedIssuanceLicenseEx                                                                        0x31a2fc5d                                         
DRMGetTime                                                                                           0xf5887e77                                         
DRMGetUnboundLicenseAttribute                                                                        0x99b9c6fa                                         
DRMGetUnboundLicenseAttributeCount                                                                   0xbeea7b63                                         
DRMGetUnboundLicenseObject                                                                           0x465c795d                                         
DRMGetUnboundLicenseObjectCount                                                                      0xbdfb23a6                                         
DRMGetUsagePolicy                                                                                    0xd7c9c00d                                         
DRMGetUserInfo                                                                                       0x4674f913                                         
DRMGetUserRights                                                                                     0xcc3bfaf8                                         
DRMGetUsers                                                                                          0xa6afc1ba                                         
DRMInitEnvironment                                                                                   0xaccac551                                         
DRMIsActivated                                                                                       0x9735f839                                         
DRMIsWindowProtected                                                                                 0x4a1b9f46                                         
DRMLoadLibrary                                                                                       0x8a77639d                                         
DRMParseUnboundLicense                                                                               0x4778d5c1                                         
DRMRegisterContent                                                                                   0x1ae026c8                                         
DRMRegisterProtectedWindow                                                                           0xae7e192f                                         
DRMRegisterRevocationList                                                                            0x6edac3c3                                         
DRMRepair                                                                                            0x7e2ec88b                                         
DRMSetApplicationSpecificData                                                                        0xa3735628                                         
DRMSetGlobalOptions                                                                                  0x7cd389f1                                         
DRMSetIntervalTime                                                                                   0x41bc0f08                                         
DRMSetMetaData                                                                                       0x10d64bf5                                         
DRMSetNameAndDescription                                                                             0xf2ee6cac                                         
DRMSetRevocationPoint                                                                                0xd42db3d8                                         
DRMSetUsagePolicy                                                                                    0x9ecc7399                                         
DRMVerify                                                                                            0x8784a57d                                         
DRMpCloseFile                                                                                        0xae149c0e                                         
DRMpFileInitialize                                                                                   0xc03e852a                                         
DRMpFileIsProtected                                                                                  0x9d46aebe                                         
DRMpFileProtect                                                                                      0xd7204fb9                                         
DRMpFileUnprotect                                                                                    0xfee803dc                                         
DRMpFreeMemory                                                                                       0x91a83cd3                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
__AddMachineCertToLicenseStore                                                                       0x0365ac22                                         
