DLL Path: C:\Windows\System32\opengl32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
GlmfBeginGlsBlock                                                                                    0xaeb16281                                         
GlmfCloseMetaFile                                                                                    0x02cbdb68                                         
GlmfEndGlsBlock                                                                                      0x6d9aea33                                         
GlmfEndPlayback                                                                                      0x95cc1729                                         
GlmfInitPlayback                                                                                     0xca036706                                         
GlmfPlayGlsRecord                                                                                    0xb3e8adc6                                         
glAccum                                                                                              0xfd2b69e1                                         
glAlphaFunc                                                                                          0x2ea130aa                                         
glAreTexturesResident                                                                                0xf196d6d2                                         
glArrayElement                                                                                       0x8e225961                                         
glBegin                                                                                              0xfd3eaa9d                                         
glBindTexture                                                                                        0x9ac194a6                                         
glBitmap                                                                                             0xa56390f5                                         
glBlendFunc                                                                                          0x629242a9                                         
glCallList                                                                                           0xfe34a110                                         
glCallLists                                                                                          0xc4c8c383                                         
glClear                                                                                              0xfd54903f                                         
glClearAccum                                                                                         0xf073c688                                         
glClearColor                                                                                         0xf09eb19e                                         
glClearDepth                                                                                         0xf0ab5ff4                                         
glClearIndex                                                                                         0xf10a94f7                                         
glClearStencil                                                                                       0x6ddfbe91                                         
glClipPlane                                                                                          0x0e4c8f30                                         
glColor3b                                                                                            0xac3f75ac                                         
glColor3bv                                                                                           0x342e2ba2                                         
glColor3d                                                                                            0xac3f75ae                                         
glColor3dv                                                                                           0x342e2be4                                         
glColor3f                                                                                            0xac3f75b0                                         
glColor3fv                                                                                           0x342e2c26                                         
glColor3i                                                                                            0xac3f75b3                                         
glColor3iv                                                                                           0x342e2c89                                         
glColor3s                                                                                            0xac3f75bd                                         
glColor3sv                                                                                           0x342e2dd3                                         
glColor3ub                                                                                           0x342e2e01                                         
glColor3ubv                                                                                          0xb9f3ee97                                         
glColor3ui                                                                                           0x342e2e08                                         
glColor3uiv                                                                                          0xb9f3ef7e                                         
glColor3us                                                                                           0x342e2e12                                         
glColor3usv                                                                                          0xb9f3f0c8                                         
glColor4b                                                                                            0xac3f75cd                                         
glColor4bv                                                                                           0x342e2fe3                                         
glColor4d                                                                                            0xac3f75cf                                         
glColor4dv                                                                                           0x342e3025                                         
glColor4f                                                                                            0xac3f75d1                                         
glColor4fv                                                                                           0x342e3067                                         
glColor4i                                                                                            0xac3f75d4                                         
glColor4iv                                                                                           0x342e30ca                                         
glColor4s                                                                                            0xac3f75de                                         
glColor4sv                                                                                           0x342e3214                                         
glColor4ub                                                                                           0x342e3242                                         
glColor4ubv                                                                                          0xb9f47af8                                         
glColor4ui                                                                                           0x342e3249                                         
glColor4uiv                                                                                          0xb9f47bdf                                         
glColor4us                                                                                           0x342e3253                                         
glColor4usv                                                                                          0xb9f47d29                                         
glColorMask                                                                                          0xba01dd83                                         
glColorMaterial                                                                                      0x7d13cb66                                         
glColorPointer                                                                                       0x86be2cb8                                         
glCopyPixels                                                                                         0x5fc2eb68                                         
glCopyTexImage1D                                                                                     0xe8bdd99c                                         
glCopyTexImage2D                                                                                     0xe8bdd9bd                                         
glCopyTexSubImage1D                                                                                  0xcc4f7066                                         
glCopyTexSubImage2D                                                                                  0xcc4f7087                                         
glCullFace                                                                                           0x01bdf1b7                                         
glDebugEntry                                                                                         0xea847451                                         
glDeleteLists                                                                                        0x34beff1a                                         
glDeleteTextures                                                                                     0xa9b36b2f                                         
glDepthFunc                                                                                          0x32c64499                                         
glDepthMask                                                                                          0x32c9c6d9                                         
glDepthRange                                                                                         0x8c5d071a                                         
glDisable                                                                                            0xebb1802c                                         
glDisableClientState                                                                                 0x748d4a6c                                         
glDrawArrays                                                                                         0x2d14fe58                                         
glDrawBuffer                                                                                         0x2f99eea0                                         
glDrawElements                                                                                       0x8bf2f3c3                                         
glDrawPixels                                                                                         0x4f72dcdb                                         
glEdgeFlag                                                                                           0xb17b4a87                                         
glEdgeFlagPointer                                                                                    0x90254048                                         
glEdgeFlagv                                                                                          0xe0e49bdd                                         
glEnable                                                                                             0xacb2ecbf                                         
glEnableClientState                                                                                  0xba11d51f                                         
glEnd                                                                                                0x0f83490f                                         
glEndList                                                                                            0x433ab34b                                         
glEvalCoord1d                                                                                        0xd12f448c                                         
glEvalCoord1dv                                                                                       0xf717d682                                         
glEvalCoord1f                                                                                        0xd12f448e                                         
glEvalCoord1fv                                                                                       0xf717d6c4                                         
glEvalCoord2d                                                                                        0xd12f44ad                                         
glEvalCoord2dv                                                                                       0xf717dac3                                         
glEvalCoord2f                                                                                        0xd12f44af                                         
glEvalCoord2fv                                                                                       0xf717db05                                         
glEvalMesh1                                                                                          0xc07764de                                         
glEvalMesh2                                                                                          0xc07764df                                         
glEvalPoint1                                                                                         0xd713161b                                         
glEvalPoint2                                                                                         0xd713161c                                         
glFeedbackBuffer                                                                                     0x514ba2b7                                         
glFinish                                                                                             0xaeb4da79                                         
glFlush                                                                                              0xfd8b201a                                         
glFogf                                                                                               0xffecfc5a                                         
glFogfv                                                                                              0xfd8c8810                                         
glFogi                                                                                               0xffecfc5d                                         
glFogiv                                                                                              0xfd8c8873                                         
glFrontFace                                                                                          0xc0f69510                                         
glFrustum                                                                                            0x9ad2c4ee                                         
glGenLists                                                                                           0xe59c3a61                                         
glGenTextures                                                                                        0xa9f1b516                                         
glGetBooleanv                                                                                        0xb46983ee                                         
glGetClipPlane                                                                                       0x2b51f7b0                                         
glGetDoublev                                                                                         0xed66a389                                         
glGetError                                                                                           0xf3216d22                                         
glGetFloatv                                                                                          0x5935c704                                         
glGetIntegerv                                                                                        0xe868633c                                         
glGetLightfv                                                                                         0x463fab2c                                         
glGetLightiv                                                                                         0x463fab8f                                         
glGetMapdv                                                                                           0xf3a8d4d0                                         
glGetMapfv                                                                                           0xf3a8d512                                         
glGetMapiv                                                                                           0xf3a8d575                                         
glGetMaterialfv                                                                                      0xe3ce5b43                                         
glGetMaterialiv                                                                                      0xe3ce5ba6                                         
glGetPixelMapfv                                                                                      0x34df5954                                         
glGetPixelMapuiv                                                                                     0xd0cac26c                                         
glGetPixelMapusv                                                                                     0xd0cac3b6                                         
glGetPointerv                                                                                        0x9230b0af                                         
glGetPolygonStipple                                                                                  0xa4314e61                                         
glGetString                                                                                          0x781b618f                                         
glGetTexEnvfv                                                                                        0x618615ee                                         
glGetTexEnviv                                                                                        0x61861651                                         
glGetTexGendv                                                                                        0x61a5353d                                         
glGetTexGenfv                                                                                        0x61a5357f                                         
glGetTexGeniv                                                                                        0x61a535e2                                         
glGetTexImage                                                                                        0x61cd924c                                         
glGetTexLevelParameterfv                                                                             0xcda735be                                         
glGetTexLevelParameteriv                                                                             0xcda73621                                         
glGetTexParameterfv                                                                                  0x5c172326                                         
glGetTexParameteriv                                                                                  0x5c172389                                         
glHint                                                                                               0xffedfc8b                                         
glIndexMask                                                                                          0x09f1c55c                                         
glIndexPointer                                                                                       0x036fb1f1                                         
glIndexd                                                                                             0xb60942b4                                         
glIndexdv                                                                                            0x773199aa                                         
glIndexf                                                                                             0xb60942b6                                         
glIndexfv                                                                                            0x773199ec                                         
glIndexi                                                                                             0xb60942b9                                         
glIndexiv                                                                                            0x77319a4f                                         
glIndexs                                                                                             0xb60942c3                                         
glIndexsv                                                                                            0x77319b99                                         
glIndexub                                                                                            0x77319bc7                                         
glIndexubv                                                                                           0x5d65151d                                         
glInitNames                                                                                          0xaae57a40                                         
glInterleavedArrays                                                                                  0x0608f13d                                         
glIsEnabled                                                                                          0x68577d5f                                         
glIsList                                                                                             0xb656a490                                         
glIsTexture                                                                                          0xd7acd965                                         
glLightModelf                                                                                        0xb8a0c747                                         
glLightModelfv                                                                                       0xccb9b09d                                         
glLightModeli                                                                                        0xb8a0c74a                                         
glLightModeliv                                                                                       0xccb9b100                                         
glLightf                                                                                             0xbcaff376                                         
glLightfv                                                                                            0x52ae62ac                                         
glLighti                                                                                             0xbcaff379                                         
glLightiv                                                                                            0x52ae630f                                         
glLineStipple                                                                                        0x9193eba1                                         
glLineWidth                                                                                          0xc99e8e60                                         
glListBase                                                                                           0xc536458f                                         
glLoadIdentity                                                                                       0x278b0662                                         
glLoadMatrixd                                                                                        0xd9d85a11                                         
glLoadMatrixf                                                                                        0xd9d85a13                                         
glLoadName                                                                                           0x67fbe279                                         
glLogicOp                                                                                            0x60ad9785                                         
glMap1d                                                                                              0xfe03a5ab                                         
glMap1f                                                                                              0xfe03a5ad                                         
glMap2d                                                                                              0xfe03a5cc                                         
glMap2f                                                                                              0xfe03a5ce                                         
glMapGrid1d                                                                                          0x31ee9bf1                                         
glMapGrid1f                                                                                          0x31ee9bf3                                         
glMapGrid2d                                                                                          0x31ee9c12                                         
glMapGrid2f                                                                                          0x31ee9c14                                         
glMaterialf                                                                                          0xabd24cad                                         
glMaterialfv                                                                                         0x261be2c3                                         
glMateriali                                                                                          0xabd24cb0                                         
glMaterialiv                                                                                         0x261be326                                         
glMatrixMode                                                                                         0xfad70f52                                         
glMultMatrixd                                                                                        0x3cea9f33                                         
glMultMatrixf                                                                                        0x3cea9f35                                         
glNewList                                                                                            0xe46039fe                                         
glNormal3b                                                                                           0x68d4adf6                                         
glNormal3bv                                                                                          0x836a6d2c                                         
glNormal3d                                                                                           0x68d4adf8                                         
glNormal3dv                                                                                          0x836a6d6e                                         
glNormal3f                                                                                           0x68d4adfa                                         
glNormal3fv                                                                                          0x836a6db0                                         
glNormal3i                                                                                           0x68d4adfd                                         
glNormal3iv                                                                                          0x836a6e13                                         
glNormal3s                                                                                           0x68d4ae07                                         
glNormal3sv                                                                                          0x836a6f5d                                         
glNormalPointer                                                                                      0xb5f42342                                         
glOrtho                                                                                              0xfe314144                                         
glPassThrough                                                                                        0xea58caf0                                         
glPixelMapfv                                                                                         0x772ce0d4                                         
glPixelMapuiv                                                                                        0x5cc939ec                                         
glPixelMapusv                                                                                        0x5cc93b36                                         
glPixelStoref                                                                                        0x6c1f658d                                         
glPixelStorei                                                                                        0x6c1f6590                                         
glPixelTransferf                                                                                     0x81627c65                                         
glPixelTransferi                                                                                     0x81627c68                                         
glPixelZoom                                                                                          0x9ecaa8ff                                         
glPointSize                                                                                          0xbb3759dd                                         
glPolygonMode                                                                                        0x439c1ee5                                         
glPolygonOffset                                                                                      0x9f2842a7                                         
glPolygonStipple                                                                                     0xd8f695e1                                         
glPopAttrib                                                                                          0x6d291b6d                                         
glPopClientAttrib                                                                                    0xda0db88c                                         
glPopMatrix                                                                                          0x87cf317c                                         
glPopName                                                                                            0x952a9428                                         
glPrioritizeTextures                                                                                 0xb821bdad                                         
glPushAttrib                                                                                         0xd526175e                                         
glPushClientAttrib                                                                                   0x202e253d                                         
glPushMatrix                                                                                         0xefcc2d6d                                         
glPushName                                                                                           0x1125dfd9                                         
glRasterPos2d                                                                                        0x12de58f1                                         
glRasterPos2dv                                                                                       0x6ea97787                                         
glRasterPos2f                                                                                        0x12de58f3                                         
glRasterPos2fv                                                                                       0x6ea977c9                                         
glRasterPos2i                                                                                        0x12de58f6                                         
glRasterPos2iv                                                                                       0x6ea9782c                                         
glRasterPos2s                                                                                        0x12de5900                                         
glRasterPos2sv                                                                                       0x6ea97976                                         
glRasterPos3d                                                                                        0x12de5912                                         
glRasterPos3dv                                                                                       0x6ea97bc8                                         
glRasterPos3f                                                                                        0x12de5914                                         
glRasterPos3fv                                                                                       0x6ea97c0a                                         
glRasterPos3i                                                                                        0x12de5917                                         
glRasterPos3iv                                                                                       0x6ea97c6d                                         
glRasterPos3s                                                                                        0x12de5921                                         
glRasterPos3sv                                                                                       0x6ea97db7                                         
glRasterPos4d                                                                                        0x12de5933                                         
glRasterPos4dv                                                                                       0x6ea98009                                         
glRasterPos4f                                                                                        0x12de5935                                         
glRasterPos4fv                                                                                       0x6ea9804b                                         
glRasterPos4i                                                                                        0x12de5938                                         
glRasterPos4iv                                                                                       0x6ea980ae                                         
glRasterPos4s                                                                                        0x12de5942                                         
glRasterPos4sv                                                                                       0x6ea981f8                                         
glReadBuffer                                                                                         0xc7499f0e                                         
glReadPixels                                                                                         0xe7228d49                                         
glRectd                                                                                              0xfe60230a                                         
glRectdv                                                                                             0xca6484c0                                         
glRectf                                                                                              0xfe60230c                                         
glRectfv                                                                                             0xca648502                                         
glRecti                                                                                              0xfe60230f                                         
glRectiv                                                                                             0xca648565                                         
glRects                                                                                              0xfe602319                                         
glRectsv                                                                                             0xca6486af                                         
glRenderMode                                                                                         0x1802239d                                         
glRotated                                                                                            0x2f722aab                                         
glRotatef                                                                                            0x2f722aad                                         
glScaled                                                                                             0xcc9441a4                                         
glScalef                                                                                             0xcc9441a6                                         
glScissor                                                                                            0x5fb14e3e                                         
glSelectBuffer                                                                                       0x66a9f952                                         
glShadeModel                                                                                         0x779f23ee                                         
glStencilFunc                                                                                        0x4f9c03f6                                         
glStencilMask                                                                                        0x4f9f8636                                         
glStencilOp                                                                                          0x80e55949                                         
glTexCoord1d                                                                                         0x85992335                                         
glTexCoord1dv                                                                                        0x38bd8a4b                                         
glTexCoord1f                                                                                         0x85992337                                         
glTexCoord1fv                                                                                        0x38bd8a8d                                         
glTexCoord1i                                                                                         0x8599233a                                         
glTexCoord1iv                                                                                        0x38bd8af0                                         
glTexCoord1s                                                                                         0x85992344                                         
glTexCoord1sv                                                                                        0x38bd8c3a                                         
glTexCoord2d                                                                                         0x85992356                                         
glTexCoord2dv                                                                                        0x38bd8e8c                                         
glTexCoord2f                                                                                         0x85992358                                         
glTexCoord2fv                                                                                        0x38bd8ece                                         
glTexCoord2i                                                                                         0x8599235b                                         
glTexCoord2iv                                                                                        0x38bd8f31                                         
glTexCoord2s                                                                                         0x85992365                                         
glTexCoord2sv                                                                                        0x38bd907b                                         
glTexCoord3d                                                                                         0x85992377                                         
glTexCoord3dv                                                                                        0x38bd92cd                                         
glTexCoord3f                                                                                         0x85992379                                         
glTexCoord3fv                                                                                        0x38bd930f                                         
glTexCoord3i                                                                                         0x8599237c                                         
glTexCoord3iv                                                                                        0x38bd9372                                         
glTexCoord3s                                                                                         0x85992386                                         
glTexCoord3sv                                                                                        0x38bd94bc                                         
glTexCoord4d                                                                                         0x85992398                                         
glTexCoord4dv                                                                                        0x38bd970e                                         
glTexCoord4f                                                                                         0x8599239a                                         
glTexCoord4fv                                                                                        0x38bd9750                                         
glTexCoord4i                                                                                         0x8599239d                                         
glTexCoord4iv                                                                                        0x38bd97b3                                         
glTexCoord4s                                                                                         0x859923a7                                         
glTexCoord4sv                                                                                        0x38bd98fd                                         
glTexCoordPointer                                                                                    0x8108e021                                         
glTexEnvf                                                                                            0xb24bfdf8                                         
glTexEnvfv                                                                                           0xfbcbbd6e                                         
glTexEnvi                                                                                            0xb24bfdfb                                         
glTexEnviv                                                                                           0xfbcbbdd1                                         
glTexGend                                                                                            0xb24cef67                                         
glTexGendv                                                                                           0xfbeadcbd                                         
glTexGenf                                                                                            0xb24cef69                                         
