DLL Path: C:\Windows\System32\wbemcomn.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@$$QEAV0@@Z                                           0x0220a6e9                                         
??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@AEAV0@@Z                                             0x55051991                                         
??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@XZ                                                   0x071ea95c                                         
??0?$SZLess@PEBG@@QEAA@AEBU0@@Z                                                                      0x20a2ab37                                         
??0?$SZLess@PEBG@@QEAA@XZ                                                                            0x83affe62                                         
??0C9XAce@@QEAA@AEBV0@@Z                                                                             0xe07ec2f0                                         
??0C9XAce@@QEAA@KKKPEAG@Z                                                                            0xaf086100                                         
??0C9XAce@@QEAA@XZ                                                                                   0x6298f39a                                         
??0CAbstractQl1Parser@@QEAA@AEBV0@@Z                                                                 0x69b96b25                                         
??0CAbstractQl1Parser@@QEAA@PEAVCGenLexSource@@@Z                                                    0x0064ab7a                                         
??0CArena@@QEAA@$$QEAV0@@Z                                                                           0xcda87734                                         
??0CArena@@QEAA@AEBV0@@Z                                                                             0xd18b83bd                                         
??0CArena@@QEAA@XZ                                                                                   0xd94c5ea7                                         
??0CBaseAce@@QEAA@AEBV0@@Z                                                                           0x95c52c1a                                         
??0CBaseAce@@QEAA@XZ                                                                                 0x37ba4544                                         
??0CBasicUnloadInstruction@@IEAA@XZ                                                                  0xdc25b37f                                         
??0CBasicUnloadInstruction@@QEAA@AEBV0@@Z                                                            0x5d2f669d                                         
??0CBasicUnloadInstruction@@QEAA@VCWbemInterval@@@Z                                                  0x68377598                                         
??0CBuffer@@QEAA@AEBV0@@Z                                                                            0xcce40870                                         
??0CBuffer@@QEAA@PEAEKH@Z                                                                            0xa145a8b0                                         
??0CCheckedInCritSec@@QEAA@PEAVCCritSec@@@Z                                                          0x55cc49af                                         
??0CCircularQueue@@QEAA@XZ                                                                           0x30a7e99a                                         
??0CClientOpsNode@@QEAA@XZ                                                                           0x1f727137                                         
??0CContainerControl@@QEAA@$$QEAV0@@Z                                                                0x5d562fb1                                         
??0CContainerControl@@QEAA@AEBV0@@Z                                                                  0xb486f8fa                                         
??0CContainerControl@@QEAA@PEAUIUnknown@@@Z                                                          0x86d64590                                         
??0CCritSec@@QEAA@XZ                                                                                 0xe57ddc4d                                         
??0CDMTFParser@@QEAA@PEBG@Z                                                                          0x55a4411e                                         
??0CDatePart@@QEAA@XZ                                                                                0xc9342155                                         
??0CDateTimeParser@@IEAA@XZ                                                                          0x188a9312                                         
??0CDateTimeParser@@QEAA@PEBG@Z                                                                      0xc9c79620                                         
??0CEnterWbemCriticalSection@@QEAA@PEAVCWbemCriticalSection@@K@Z                                     0xafc683f6                                         
??0CEventLog@@QEAA@AEBV0@@Z                                                                          0x646cc4ba                                         
??0CEventLog@@QEAA@PEBGAEBU_GUID@@K@Z                                                                0x37cfb9ba                                         
??0CEventLogRecord@@QEAA@AEAV0@@Z                                                                    0xa1f958f8                                         
??0CEventLogRecord@@QEAA@GAEBU_EVENT_DESCRIPTOR@@VCInsertionString@@111111111@Z                      0x860c5992                                         
??0CExecQueue@@QEAA@AEAV0@@Z                                                                         0x135a7aff                                         
??0CExecQueue@@QEAA@XZ                                                                               0x139b104a                                         
??0CExecRequest@@QEAA@AEBV0@@Z                                                                       0x0b5ca324                                         
??0CExecRequest@@QEAA@XZ                                                                             0xe86fbcce                                         
??0CFlexArray@@QEAA@AEAV0@@Z                                                                         0xe30ffdc3                                         
??0CFlexArray@@QEAA@HH@Z                                                                             0xe9120186                                         
??0CFlexQueue@@QEAA@H@Z                                                                              0x0f29baa4                                         
??0CHaltable@@QEAA@AEBV0@@Z                                                                          0xd9ead7d3                                         
??0CHaltable@@QEAA@XZ                                                                                0x8c9bda3d                                         
??0CHex@@QEAA@J@Z                                                                                    0x1fb89c97                                         
??0CIdentitySecurity@@QEAA@AEBV0@@Z                                                                  0x77082698                                         
??0CIdentitySecurity@@QEAA@_N@Z                                                                      0xd101bdf7                                         
??0CIdentityTest@@QEAA@AEBV0@@Z                                                                      0xca69d6c0                                         
??0CIdentityTest@@QEAA@PEAVCTimerInstruction@@@Z                                                     0x8ba1afa4                                         
??0CInCritSec@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z                                                    0x45a0e206                                         
??0CInsertionString@@QEAA@$$QEAV0@@Z                                                                 0xa565dc3f                                         
??0CInsertionString@@QEAA@AEBV0@@Z                                                                   0x20062a08                                         
??0CInsertionString@@QEAA@J@Z                                                                        0xd9a3c064                                         
??0CInsertionString@@QEAA@PEBD@Z                                                                     0x129004f5                                         
??0CInsertionString@@QEAA@PEBG@Z                                                                     0x129011b8                                         
??0CInsertionString@@QEAA@VCHex@@@Z                                                                  0xcc6eb598                                         
??0CInsertionString@@QEAA@XZ                                                                         0xc0c6e8b2                                         
??0CInstructionQueue@@QEAA@XZ                                                                        0xb4fe1827                                         
??0CInstructionTest@@QEAA@$$QEAV0@@Z                                                                 0x8cb11d8f                                         
??0CInstructionTest@@QEAA@AEBV0@@Z                                                                   0xe1f0d758                                         
??0CInstructionTest@@QEAA@XZ                                                                         0x74cdda02                                         
??0CLifeControl@@QEAA@$$QEAV0@@Z                                                                     0xe8f9172e                                         
??0CLifeControl@@QEAA@AEBV0@@Z                                                                       0x665fdd37                                         
??0CLifeControl@@QEAA@XZ                                                                             0x23a1a4a1                                         
??0CLike@@QEAA@AEBV0@@Z                                                                              0xf8c2c6bb                                         
??0CLike@@QEAA@PEBGG@Z                                                                               0xef04b5d2                                         
??0CLike@@QEAA@XZ                                                                                    0xe584bb25                                         
