DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\IntelControlLib32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
ctlAUXAccess                                                                                         0x83874fe8                                         
ctlAllowPCIeLinkSpeedUpdate                                                                          0xeb63d50a                                         
ctlCheckDriverVersion                                                                                0xf309dad8                                         
ctlClose                                                                                             0xbb72d27e                                         
ctlEdidManagement                                                                                    0xd24011bb                                         
ctlEngineGetActivity                                                                                 0x9fc64dab                                         
ctlEngineGetProperties                                                                               0x1102f88b                                         
ctlEnumEngineGroups                                                                                  0x387840d3                                         
ctlEnumFans                                                                                          0x5199d945                                         
ctlEnumFrequencyDomains                                                                              0x846824da                                         
ctlEnumMemoryModules                                                                                 0x4f833d6f                                         
ctlEnumPowerDomains                                                                                  0x68b2c3f5                                         
ctlEnumTemperatureSensors                                                                            0x1c0f7b98                                         
ctlEnumerateDevices                                                                                  0x611d7211                                         
ctlEnumerateDisplayOutputs                                                                           0x66628228                                         
ctlEnumerateFirmwareComponents                                                                       0x29e86f31                                         
ctlEnumerateI2CPinPairs                                                                              0x1dcfe532                                         
ctlFanGetConfig                                                                                      0xc46d84d3                                         
ctlFanGetProperties                                                                                  0x0e346f8a                                         
ctlFanGetState                                                                                       0x9a7cb75e                                         
ctlFanSetDefaultMode                                                                                 0xf83d6b13                                         
ctlFanSetFixedSpeedMode                                                                              0xaa94cdaf                                         
ctlFanSetSpeedTableMode                                                                              0xfc7985a7                                         
ctlFrequencyGetAvailableClocks                                                                       0xce792fba                                         
ctlFrequencyGetProperties                                                                            0xb3ddc607                                         
ctlFrequencyGetRange                                                                                 0xd3cd7da7                                         
ctlFrequencyGetState                                                                                 0xd3e9cbbb                                         
ctlFrequencyGetThrottleTime                                                                          0xa70de43f                                         
ctlFrequencySetRange                                                                                 0xe6e37833                                         
ctlGetAdaperDisplayEncoderProperties                                                                 0x94fa3178                                         
ctlGetBrightnessSetting                                                                              0xd92d9fdf                                         
ctlGetCurrentScaling                                                                                 0x438c376c                                         
ctlGetCurrentSharpness                                                                               0x033e90e2                                         
ctlGetDeviceProperties                                                                               0x4f5d73e5                                         
ctlGetDisplayProperties                                                                              0x9b4a644b                                         
ctlGetFirmwareComponentProperties                                                                    0x76680cc5                                         
ctlGetFirmwareProperties                                                                             0x28893812                                         
ctlGetIntelArcSyncInfoForMonitor                                                                     0x2a548572                                         
ctlGetIntelArcSyncProfile                                                                            0xd061d2c8                                         
ctlGetLACEConfig                                                                                     0x32f9fd73                                         
ctlGetLinkedDisplayAdapters                                                                          0xbfd71fc9                                         
ctlGetMuxProperties                                                                                  0x0beb8a4f                                         
ctlGetPowerOptimizationCaps                                                                          0x6ffd4f03                                         
ctlGetPowerOptimizationSetting                                                                       0xcf73be5a                                         
ctlGetSet3DFeature                                                                                   0x09418ad7                                         
ctlGetSetCombinedDisplay                                                                             0x5e1c9d8b                                         
ctlGetSetCustomMode                                                                                  0xe83d2574                                         
ctlGetSetDisplaySettings                                                                             0xf24b56fb                                         
