DLL Path: C:\Windows\System32\Microsoft-Edge-WebView\msedge_elf.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0PwaHelperImpl@edge_pwahelper@@QEAA@XZ                                                             0x2c751a73                                         
??1PwaHelperImpl@edge_pwahelper@@UEAA@XZ                                                             0x01657a18                                         
??_7PwaHelperImpl@edge_pwahelper@@6B@                                                                0x07809007                                         
?AppendMojoServerBindingInfo@PwaHelperImpl@edge_pwahelper@@AEAAXPEAVCommandLine@base@@@Z             0xd4a23f4d                                         
?BadgeNotification@PwaHelperImpl@edge_pwahelper@@UEAAXW4BadgeNotificationType@mojom@2@AEBV?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@@Z 0x35ce5ec9                                         
?BindWidgetManager@PwaHelperImpl@edge_pwahelper@@AEAAXV?$ScopedHandleBase@VMessagePipeHandle@mojo@@@mojo@@@Z 0x39a8f0ed                                         
?DigitalGoodsAbortPaymentApp@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AX_N@Z@base@@@Z  0x4e0b239e                                         
?DigitalGoodsConsume@PwaHelperImpl@edge_pwahelper@@UEAAXAEBV?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@V?$OnceCallback@$$A6AXW4BillingResponseCode@mojom@payments@@@Z@base@@@Z 0xf30b7269                                         
?DigitalGoodsGetDetails@PwaHelperImpl@edge_pwahelper@@UEAAXAEBV?$vector@V?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@@23@@__Cr@std@@V?$OnceCallback@$$A6AXW4BillingResponseCode@mojom@payments@@V?$vector@V?$StructPtr@VItemDetails@mojom@payments@@@mojo@@V?$allocator@V?$StructPtr@VItemDetails@mojom@payments@@@mojo@@@__Cr@std@@@__Cr@std@@@Z@base@@@Z 0xe4b2e332                                         
?DigitalGoodsInvokePaymentApp@PwaHelperImpl@edge_pwahelper@@UEAAXAEBV?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@V?$OnceCallback@$$A6AXW4PurchaseResponseCode@mojom@edge_pwahelper@@@Z@base@@@Z 0x36d4f2df                                         
?DigitalGoodsListPurchaseHistory@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AXW4BillingResponseCode@mojom@payments@@V?$vector@V?$InlinedStructPtr@VPurchaseReference@mojom@payments@@@mojo@@V?$allocator@V?$InlinedStructPtr@VPurchaseReference@mojom@payments@@@mojo@@@__Cr@std@@@__Cr@std@@@Z@base@@@Z 0xcd4c80ac                                         
?DigitalGoodsListPurchases@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AXW4BillingResponseCode@mojom@payments@@V?$vector@V?$InlinedStructPtr@VPurchaseReference@mojom@payments@@@mojo@@V?$allocator@V?$InlinedStructPtr@VPurchaseReference@mojom@payments@@@mojo@@@__Cr@std@@@__Cr@std@@@Z@base@@@Z 0x7ad8ea4d                                         
?GetAppAcquisitionDetail@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AXW4AcquisitionInfoResponseCode@mojom@edge_acquisition_info@@V?$InlinedStructPtr@VAcquisitionDetails@mojom@edge_acquisition_info@@@mojo@@@Z@base@@@Z 0xd1657aec                                         
?GetAppLocalFolderPath@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AXAEBV?$basic_string@DU?$char_traits@D@__Cr@std@@V?$allocator@D@23@@__Cr@std@@W4LocalFolderResponseCode@mojom@edge_pwahelper@@@Z@base@@@Z 0x8ba5875b                                         
?InitMojo@PwaHelperImpl@edge_pwahelper@@AEAAXXZ                                                      0xe8c9d055                                         
?InitializeAppUserModelIdForCurrentProcess@PwaHelperImpl@edge_pwahelper@@QEAA_NXZ                    0x576950aa                                         
?IsCurrentAppPinnedToTaskbar@PwaHelperImpl@edge_pwahelper@@UEAAXV?$OnceCallback@$$A6AX_N@Z@base@@@Z  0xdbaa9996                                         
?OnClientConnected@PwaHelperImpl@edge_pwahelper@@AEAAXPEAVWaitableEvent@base@@@Z                     0xc41c0b75                                         
?PinTileToStart@PwaHelperImpl@edge_pwahelper@@UEAAXXZ                                                0xbc73e4c6                                         
?PinTileToTaskbar@PwaHelperImpl@edge_pwahelper@@UEAAXXZ                                              0xc9b99e60                                         
?SetPwaHwnd@PwaHelperImpl@edge_pwahelper@@UEAAX_K@Z                                                  0x43059437                                         
?SetSingletonProcessId@PwaHelperImpl@edge_pwahelper@@UEAAXI@Z                                        0x565a91fc                                         
?Shutdown@PwaHelperImpl@edge_pwahelper@@AEAAXI@Z                                                     0xf3e3b6f9                                         
?StartAppWithIncomingMojo@PwaHelperImpl@edge_pwahelper@@QEAAXVPlatformChannelEndpoint@mojo@@@Z       0x9d3dece2                                         
?StartAppWithPlatformChannel@PwaHelperImpl@edge_pwahelper@@QEAAXV?$unique_ptr@VCommandLine@base@@U?$default_delete@VCommandLine@base@@@__Cr@std@@@__Cr@std@@@Z 0xfc61b10d                                         
?StartProcessWithMojoIPC@PwaHelperImpl@edge_pwahelper@@QEAAKPEAXV?$unique_ptr@VCommandLine@base@@U?$default_delete@VCommandLine@base@@@__Cr@std@@@__Cr@std@@V?$unique_ptr@VScopedTempDir@base@@U?$default_delete@VScopedTempDir@base@@@__Cr@std@@@45@@Z 0x78f6f282                                         
?TryActivateInstance@PwaHelperImpl@edge_pwahelper@@AEAAXPEAVCommandLine@base@@@Z                     0x578d5267                                         
?ValidateHandShake@PwaHelperImpl@edge_pwahelper@@AEAAXXZ                                             0xcb70e5dd                                         
ClearMetricsClientId_ExportThunk                                                                     0xb19b1a9a                                         
ClearReportsBetween_ExportThunk                                                                      0x0510bf10                                         
CrashForException_ExportThunk                                                                        0xe05222f7                                         
DisableHook                                                                                          0x543d534a                                         
DrainLog                                                                                             0x6e8cf955                                         
DumpHungProcessWithPtype_ExportThunk                                                                 0xc04b4705                                         
DumpProcessWithoutCrash                                                                              0x2b6114ff                                         
EdgeElfBeaconDetect                                                                                  0x6174cb52                                         
EdgeGetElfCommandLine                                                                                0x9688a838                                         
EdgeGetElfLoadThreadId                                                                               0x2c8001b6                                         
EdgeGetInjectionMitigationStatus                                                                     0xc9673276                                         
EdgeGetMitigationHistogramData                                                                       0xecc1b517                                         
