DLL Path: C:\Windows\System32\Phoneutil.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AsyncWorkDispatcher_CreateInstance                                                                   0xf0220c15                                         
CauseCode_GetCodeFriendlyText                                                                        0x8939768d                                         
CauseCode_IsCodeRegistered                                                                           0x4bccc675                                         
CellularApiHelper_CreateInstance                                                                     0x030ccddb                                         
CellularApiHelper_FreeCountedModemArray                                                              0xf2b93c57                                         
CellularApiHelper_FreeCountedRegistrationStatusArray                                                 0xbd1f2304                                         
CellularApiHelper_FreeCountedSimAppArray                                                             0x82066a2f                                         
CellularApiHelper_FreeCountedSimArray                                                                0x931fcc8e                                         
CellularApiHelper_FreeCountedSimLineArray                                                            0x04ee8b16                                         
CellularApiHelper_FreeCountedSlotArray                                                               0xc9540387                                         
CellularApiHelper_FreeCountedSlotCanAssociationArray                                                 0xb05348d6                                         
CheckIfShellReady                                                                                    0xc963eeff                                         
ComparePhoneNumbers                                                                                  0x32557f42                                         
ConvertPhoneNumberToUINT64                                                                           0x0394cf56                                         
CopyOnlyCharsetCharacters                                                                            0x53838e8c                                         
CreateAudioHardwareHelper                                                                            0x740606b9                                         
CreateBrandingInfo                                                                                   0x67fdef4a                                         
CreateCellularApiLineConfig                                                                          0xcba8b245                                         
CreateCellularPhoneLineConfig                                                                        0xe91074a5                                         
CreateDialAssist                                                                                     0x5d13d30a                                         
CreatePerUserSecurityPolicy                                                                          0x0c97a387                                         
CreatePerUserSecurityToken                                                                           0x9bd0d698                                         
CreatePerUserSecurityTokenForRpcClient                                                               0x7e385703                                         
DeinitDialingPrefixTable                                                                             0x610cc6f0                                         
DetectMultiPrefix                                                                                    0x04617297                                         
DuplicateSidIfValid                                                                                  0x6c338c1f                                         
FindAreaCode                                                                                         0xe21c339a                                         
FormatPhoneNumberWithLeftToRightMarker                                                               0x8cf7ce9b                                         
FreeTextReplyPresetMessages                                                                          0xc099d363                                         
Get3GGPInCallToneDefaultForRegion                                                                    0xf098ac4f                                         
Get3GPPInCallToneDefault                                                                             0xbd93436d                                         
Get3GPPInCallToneForTypeAndMcc                                                                       0xd841c577                                         
Get3GPPInCallToneTypeString                                                                          0xd7cb6561                                         
GetAdjustCDMACallTimeSetting                                                                         0xbc48fb6e                                         
GetAppUserModelIdFromPkgFamilyNameAndUser                                                            0x52f1da8e                                         
GetCchTailMin                                                                                        0x70080ac1                                         
GetCountryCodeFromOperatorNum                                                                        0xbe586284                                         
GetDefaultWiFiCallingBranding                                                                        0xc990f858                                         
GetDialStringFromTelUri                                                                              0x2e17ca9f                                         
GetDialableNumber                                                                                    0x01f4d79c                                         
GetDialableNumberAndDTMF                                                                             0x9cb3ddfa                                         
GetDialableNumberEtc                                                                                 0xa3b036f8                                         
GetDialingPrefixes                                                                                   0xa1831303                                         
GetDisplayNameFromCallInformation                                                                    0x4effb472                                         
GetDisplayNumberWithLeftToRightMarker                                                                0x12e89fce                                         
GetDtmfInCallToneTypeString                                                                          0xbb5b2d92                                         
GetIddPrefix                                                                                         0xb456ca84                                         
GetIddPrefixTable                                                                                    0x4634e74c                                         
GetMethodFromPropId                                                                                  0x2e869b48                                         
GetNationalNumberLength                                                                              0xcb046ea6                                         
GetNddPrefix                                                                                         0xfac4ff89                                         
